dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
airfoil.csv,2,0.0001,0.038,40.09681891561105,4,0,30
airfoil.csv,2,0.0002,0.037,40.09681891561105,4,0,30
airfoil.csv,2,0.0005,0.037,40.09681891561105,4,0,30
airfoil.csv,2,0.001,0.033,40.09681891561105,4,0,30
airfoil.csv,2,0.002,0.032,40.09681891561105,4,0,30
airfoil.csv,2,0.003,0.032,40.09681891561105,4,0,30
airfoil.csv,2,0.004,0.037,40.09681891561105,4,0,30
airfoil.csv,2,0.005,0.032,40.09681891561105,4,0,30
airfoil.csv,2,0.006,0.031,40.09681891561105,4,0,30
airfoil.csv,2,0.007,0.03,40.09681891561105,4,0,30
airfoil.csv,2,0.008,0.031,40.09681891561105,4,0,30
airfoil.csv,2,0.009000000000000001,0.03,40.09681891561105,4,0,30
airfoil.csv,2,0.01,0.031,40.09681891561105,4,0,30
airfoil.csv,2,0.035,0.028,40.66022430883543,3,0,30
airfoil.csv,2,0.060000000000000005,-2,-1,-1,-1,30
airfoil.csv,2,0.085,-2,-1,-1,-1,30
airfoil.csv,2,0.1,-2,-1,-1,-1,30
airfoil.csv,2,0.2,-2,-1,-1,-1,30
airfoil.csv,2,0.5,-2,-1,-1,-1,30
airfoil.csv,3,0.0001,0.244,37.31331849197141,8,0,30
airfoil.csv,3,0.0002,0.238,37.31331849197141,8,0,30
airfoil.csv,3,0.0005,0.231,37.31331849197141,8,0,30
airfoil.csv,3,0.001,0.226,37.31331849197141,8,0,30
airfoil.csv,3,0.002,0.225,37.31331849197141,8,0,30
airfoil.csv,3,0.003,0.184,37.31331849197141,8,0,30
airfoil.csv,3,0.004,0.182,37.31331849197141,8,0,30
airfoil.csv,3,0.005,0.143,37.515197477542436,7,0,30
airfoil.csv,3,0.006,0.171,37.515197477542436,7,0,30
airfoil.csv,3,0.007,0.141,37.515197477542436,7,0,30
airfoil.csv,3,0.008,0.137,37.515197477542436,7,0,30
airfoil.csv,3,0.009000000000000001,0.134,37.515197477542436,7,0,30
airfoil.csv,3,0.01,0.133,37.515197477542436,7,0,30
airfoil.csv,3,0.035,0.123,40.66022430883543,3,0,30
airfoil.csv,3,0.060000000000000005,-2,-1,-1,-1,30
airfoil.csv,3,0.085,-2,-1,-1,-1,30
airfoil.csv,3,0.1,-2,-1,-1,-1,30
airfoil.csv,3,0.2,-2,-1,-1,-1,30
airfoil.csv,3,0.5,-2,-1,-1,-1,30
airfoil.csv,4,0.0001,1.209,33.86275314687788,16,0,30
airfoil.csv,4,0.0002,1.363,33.87164546376308,15,0,30
airfoil.csv,4,0.0005,1.122,33.87164546376308,15,0,30
airfoil.csv,4,0.001,0.877,33.90216530383289,14,0,30
airfoil.csv,4,0.002,0.83,33.90216530383289,14,0,30
airfoil.csv,4,0.003,0.821,33.90216530383289,14,0,30
airfoil.csv,4,0.004,0.729,34.43673224830925,11,0,30
airfoil.csv,4,0.005,0.649,34.43673224830925,11,0,30
airfoil.csv,4,0.006,0.647,34.43673224830925,11,0,30
