dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
airfoil.csv,2,0.0001,0.001,40.0968,4,1,30
airfoil.csv,2,0.0002,0.001,40.0968,4,1,30
airfoil.csv,2,0.0005,0.001,40.0968,4,1,30
airfoil.csv,2,0.001,0.001,40.0968,4,1,30
airfoil.csv,2,0.002,0.001,40.0968,4,1,30
airfoil.csv,2,0.003,0.001,40.0968,4,1,30
airfoil.csv,2,0.004,0.001,40.0968,4,1,30
airfoil.csv,2,0.005,0.001,40.0968,4,1,30
airfoil.csv,2,0.006,0.002,40.0968,4,1,30
airfoil.csv,2,0.007,0.001,40.0968,4,1,30
airfoil.csv,2,0.008,0.001,40.0968,4,1,30
airfoil.csv,2,0.009000000000000001,0.001,40.0968,4,1,30
airfoil.csv,2,0.01,0.001,40.0968,4,1,30
airfoil.csv,2,0.035,0.001,40.6602,3,1,30
airfoil.csv,2,0.060000000000000005,0.001,40.6602,3,1,30
airfoil.csv,2,0.085,0.001,47.5598,1,1,30
airfoil.csv,2,0.1,0.001,47.5598,1,1,30
airfoil.csv,2,0.2,0.001,47.5598,1,1,30
airfoil.csv,2,0.5,0.001,47.5598,1,1,30
airfoil.csv,3,0.0001,0.003,37.3623,8,18,30
airfoil.csv,3,0.0002,0.003,37.3623,8,18,30
airfoil.csv,3,0.0005,0.003,37.3623,8,18,30
airfoil.csv,3,0.001,0.003,37.3623,8,18,30
airfoil.csv,3,0.002,0.002,37.3623,8,18,30
airfoil.csv,3,0.003,0.003,37.3623,8,18,30
airfoil.csv,3,0.004,0.003,37.5152,7,18,30
airfoil.csv,3,0.005,0.003,37.5152,7,18,30
airfoil.csv,3,0.006,0.003,37.5152,7,18,30
airfoil.csv,3,0.007,0.002,37.5152,7,18,30
airfoil.csv,3,0.008,0.002,37.5152,7,18,30
airfoil.csv,3,0.009000000000000001,0.002,37.5152,7,18,30
airfoil.csv,3,0.01,0.003,37.5152,7,19,30
airfoil.csv,3,0.035,0.003,40.6602,3,31,30
airfoil.csv,3,0.060000000000000005,0.003,40.6602,3,32,30
airfoil.csv,3,0.085,0.004,47.5598,1,30,30
airfoil.csv,3,0.1,0.003,47.5598,1,28,30
airfoil.csv,3,0.2,0.003,47.5598,1,14,30
airfoil.csv,3,0.5,0.002,47.5598,1,10,30
airfoil.csv,4,0.0001,0.01,33.9162,16,124,30
airfoil.csv,4,0.0002,0.009,33.9251,15,127,30
airfoil.csv,4,0.0005,0.009,33.9251,15,129,30
airfoil.csv,4,0.001,0.01,33.9556,14,131,30
airfoil.csv,4,0.002,0.009,33.9556,14,134,30
airfoil.csv,4,0.003,0.01,33.9556,14,149,30
airfoil.csv,4,0.004,0.012,34.3119,12,165,30
airfoil.csv,4,0.005,0.012,34.3119,12,171,30
airfoil.csv,4,0.006,0.015,34.5921,11,196,30
airfoil.csv,4,0.007,0.015,34.4367,11,201,30
airfoil.csv,4,0.008,0.016,34.4367,11,214,30
airfoil.csv,4,0.009000000000000001,0.017,34.4367,11,240,30
airfoil.csv,4,0.01,0.02,34.4367,11,264,30
airfoil.csv,4,0.035,0.025,40.6602,3,348,30
airfoil.csv,4,0.060000000000000005,0.025,40.6602,3,321,30
airfoil.csv,4,0.085,0.025,47.5598,1,292,30
airfoil.csv,4,0.1,0.023,47.5598,1,266,30
airfoil.csv,4,0.2,0.006,47.5598,1,26,30
airfoil.csv,4,0.5,0.004,47.5598,1,0,30
airfoil.csv,5,0.0001,0.03,29.9921,30,554,30
airfoil.csv,5,0.0002,0.03,30.0081,28,557,30
airfoil.csv,5,0.0005,0.031,30.0522,25,580,30
airfoil.csv,5,0.001,0.036,30.1078,23,668,30
airfoil.csv,5,0.002,0.044,30.1078,23,902,30
airfoil.csv,5,0.003,0.06,30.4423,20,1125,30
airfoil.csv,5,0.004,0.067,30.5952,19,1284,30
airfoil.csv,5,0.005,0.085,30.8003,18,1564,30
airfoil.csv,5,0.006,0.095,32.0997,13,1739,30
airfoil.csv,5,0.007,0.1,31.6212,14,1810,30
airfoil.csv,5,0.008,0.114,31.6212,14,1991,30
airfoil.csv,5,0.009000000000000001,0.121,32.8427,11,2113,30
airfoil.csv,5,0.01,0.13,32.8427,11,2186,30
airfoil.csv,5,0.035,0.174,40.6602,3,2559,30
airfoil.csv,5,0.060000000000000005,0.164,40.6602,3,2131,30
airfoil.csv,5,0.085,0.121,47.5598,1,1405,30
airfoil.csv,5,0.1,0.091,47.5598,1,1023,30
airfoil.csv,5,0.2,0.021,47.5598,1,59,30
airfoil.csv,5,0.5,0.006,47.5598,1,0,30
airfoil.csv,6,0.0001,0.121,26.9332,48,2580,30
airfoil.csv,6,0.0002,0.125,26.9684,43,2724,30
airfoil.csv,6,0.0005,0.151,27.2875,35,3041,30
airfoil.csv,6,0.001,0.165,27.0357,34,3407,30
airfoil.csv,6,0.002,0.218,28.0676,24,4607,30
