dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
airfoil.csv,2,0.0001,0.001,40.0968,4,1,30
airfoil.csv,2,0.0002,0.001,40.0968,4,1,30
airfoil.csv,2,0.0005,0.001,40.0968,4,1,30
airfoil.csv,2,0.001,0.001,40.0968,4,1,30
airfoil.csv,2,0.002,0.001,40.0968,4,1,30
airfoil.csv,2,0.003,0.001,40.0968,4,1,30
airfoil.csv,2,0.004,0.001,40.0968,4,1,30
airfoil.csv,2,0.005,0.001,40.0968,4,1,30
airfoil.csv,2,0.006,0.001,40.0968,4,1,30
airfoil.csv,2,0.007,0.002,40.0968,4,1,30
airfoil.csv,2,0.008,0.001,40.0968,4,1,30
airfoil.csv,2,0.009000000000000001,0.001,40.0968,4,1,30
airfoil.csv,2,0.01,0.001,40.0968,4,1,30
airfoil.csv,2,0.035,0.0,40.6602,3,1,30
airfoil.csv,2,0.060000000000000005,0.001,40.6602,3,1,30
airfoil.csv,2,0.085,0.001,47.5598,1,1,30
airfoil.csv,2,0.1,0.001,47.5598,1,1,30
airfoil.csv,2,0.2,0.001,47.5598,1,1,30
airfoil.csv,2,0.5,0.001,47.5598,1,1,30
airfoil.csv,3,0.0001,0.003,37.3133,8,34,30
airfoil.csv,3,0.0002,0.003,37.3133,8,34,30
airfoil.csv,3,0.0005,0.003,37.3133,8,34,30
airfoil.csv,3,0.001,0.003,37.3133,8,34,30
airfoil.csv,3,0.002,0.003,37.3133,8,34,30
airfoil.csv,3,0.003,0.003,37.3133,8,34,30
airfoil.csv,3,0.004,0.004,37.3133,8,34,30
airfoil.csv,3,0.005,0.004,37.5152,7,34,30
airfoil.csv,3,0.006,0.003,37.5152,7,34,30
airfoil.csv,3,0.007,0.003,37.5152,7,34,30
airfoil.csv,3,0.008,0.003,37.5152,7,34,30
airfoil.csv,3,0.009000000000000001,0.003,37.5152,7,34,30
airfoil.csv,3,0.01,0.004,37.5152,7,34,30
airfoil.csv,3,0.035,0.003,40.6602,3,34,30
airfoil.csv,3,0.060000000000000005,0.003,40.6602,3,34,30
airfoil.csv,3,0.085,0.003,47.5598,1,34,30
airfoil.csv,3,0.1,0.003,47.5598,1,34,30
airfoil.csv,3,0.2,0.003,47.5598,1,33,30
airfoil.csv,3,0.5,0.003,47.5598,1,22,30
airfoil.csv,4,0.0001,0.025,33.8628,16,435,30
airfoil.csv,4,0.0002,0.025,33.8716,15,435,30
airfoil.csv,4,0.0005,0.025,33.8716,15,436,30
airfoil.csv,4,0.001,0.026,33.9022,14,437,30
airfoil.csv,4,0.002,0.026,33.9022,14,438,30
airfoil.csv,4,0.003,0.024,33.9022,14,440,30
airfoil.csv,4,0.004,0.024,34.4367,11,441,30
airfoil.csv,4,0.005,0.025,34.4367,11,442,30
airfoil.csv,4,0.006,0.025,34.4367,11,445,30
airfoil.csv,4,0.007,0.025,34.4367,11,447,30
airfoil.csv,4,0.008,0.025,34.4367,11,449,30
airfoil.csv,4,0.009000000000000001,0.026,34.4367,11,450,30
airfoil.csv,4,0.01,0.026,34.4367,11,450,30
airfoil.csv,4,0.035,0.025,40.6602,3,417,30
airfoil.csv,4,0.060000000000000005,0.024,40.6602,3,393,30
airfoil.csv,4,0.085,0.023,47.5598,1,367,30
airfoil.csv,4,0.1,0.024,47.5598,1,350,30
airfoil.csv,4,0.2,0.02,47.5598,1,285,30
airfoil.csv,4,0.5,0.008,47.5598,1,0,30
airfoil.csv,5,0.0001,0.15,28.6272,31,2896,30
airfoil.csv,5,0.0002,0.151,28.6432,29,2908,30
airfoil.csv,5,0.0005,0.151,28.6882,26,2918,30
airfoil.csv,5,0.001,0.151,28.7133,25,2931,30
airfoil.csv,5,0.002,0.157,28.8338,23,2947,30
airfoil.csv,5,0.003,0.155,29.1683,20,2981,30
airfoil.csv,5,0.004,0.153,29.5039,18,2999,30
airfoil.csv,5,0.005,0.153,29.5039,18,2996,30
airfoil.csv,5,0.006,0.149,30.0608,16,2980,30
airfoil.csv,5,0.007,0.154,30.0608,16,2940,30
airfoil.csv,5,0.008,0.155,30.7732,14,2920,30
airfoil.csv,5,0.009000000000000001,0.149,31.171,13,2905,30
airfoil.csv,5,0.01,0.157,31.171,13,2925,30
airfoil.csv,5,0.035,0.146,40.6602,3,2622,30
airfoil.csv,5,0.060000000000000005,0.141,43.6325,2,2199,30
airfoil.csv,5,0.085,0.134,47.5598,1,1812,30
airfoil.csv,5,0.1,0.128,47.5598,1,1798,30
airfoil.csv,5,0.2,0.102,47.5598,1,1167,30
airfoil.csv,5,0.5,0.007,47.5598,1,0,30
airfoil.csv,6,0.0001,0.664,25.933,48,13047,30
airfoil.csv,6,0.0002,0.681,25.9746,42,13155,30
airfoil.csv,6,0.0005,0.685,26.0569,37,13255,30
airfoil.csv,6,0.001,0.678,26.1631,33,13420,30
airfoil.csv,6,0.002,0.7,26.4649,29,13630,30
