dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
airfoil.csv,2,0.0001,0.001,40.0968,4,1,30
airfoil.csv,2,0.0002,0.001,40.0968,4,1,30
airfoil.csv,2,0.0005,0.001,40.0968,4,1,30
airfoil.csv,2,0.001,0.001,40.0968,4,1,30
airfoil.csv,2,0.002,0.0,40.0968,4,1,30
airfoil.csv,2,0.003,0.001,40.0968,4,1,30
airfoil.csv,2,0.004,0.0,40.0968,4,1,30
airfoil.csv,2,0.005,0.001,40.0968,4,1,30
airfoil.csv,2,0.006,0.0,40.0968,4,1,30
airfoil.csv,2,0.007,0.001,40.0968,4,1,30
airfoil.csv,2,0.008,0.001,40.0968,4,1,30
airfoil.csv,2,0.009000000000000001,0.001,40.0968,4,1,30
airfoil.csv,2,0.01,0.001,40.0968,4,1,30
airfoil.csv,2,0.035,0.001,40.6602,3,1,30
airfoil.csv,2,0.060000000000000005,0.001,40.6602,3,1,30
airfoil.csv,2,0.085,0.001,47.5598,1,1,30
airfoil.csv,2,0.1,0.0,47.5598,1,1,30
airfoil.csv,2,0.2,0.001,47.5598,1,1,30
airfoil.csv,2,0.5,0.001,47.5598,1,1,30
airfoil.csv,3,0.0001,0.003,37.3133,8,34,30
airfoil.csv,3,0.0002,0.003,37.3133,8,34,30
airfoil.csv,3,0.0005,0.003,37.3133,8,34,30
airfoil.csv,3,0.001,0.002,37.3133,8,34,30
airfoil.csv,3,0.002,0.002,37.3133,8,34,30
airfoil.csv,3,0.003,0.003,37.3133,8,34,30
airfoil.csv,3,0.004,0.003,37.3133,8,34,30
airfoil.csv,3,0.005,0.003,37.5152,7,34,30
airfoil.csv,3,0.006,0.003,37.5152,7,34,30
airfoil.csv,3,0.007,0.002,37.5152,7,34,30
airfoil.csv,3,0.008,0.002,37.5152,7,34,30
airfoil.csv,3,0.009000000000000001,0.004,37.5152,7,34,30
airfoil.csv,3,0.01,0.002,37.5152,7,34,30
airfoil.csv,3,0.035,0.003,40.6602,3,34,30
airfoil.csv,3,0.060000000000000005,0.003,40.6602,3,34,30
airfoil.csv,3,0.085,0.003,47.5598,1,34,30
airfoil.csv,3,0.1,0.003,47.5598,1,34,30
airfoil.csv,3,0.2,0.002,47.5598,1,33,30
airfoil.csv,3,0.5,0.003,47.5598,1,32,30
airfoil.csv,4,0.0001,0.023,33.8628,16,467,30
airfoil.csv,4,0.0002,0.023,33.8716,15,467,30
airfoil.csv,4,0.0005,0.023,33.8716,15,467,30
airfoil.csv,4,0.001,0.023,33.9022,14,467,30
airfoil.csv,4,0.002,0.023,33.9022,14,468,30
airfoil.csv,4,0.003,0.022,33.9022,14,470,30
airfoil.csv,4,0.004,0.022,34.4367,11,470,30
airfoil.csv,4,0.005,0.023,34.4367,11,470,30
airfoil.csv,4,0.006,0.022,34.4367,11,471,30
airfoil.csv,4,0.007,0.022,34.4367,11,471,30
airfoil.csv,4,0.008,0.024,34.4367,11,471,30
airfoil.csv,4,0.009000000000000001,0.022,34.4367,11,471,30
airfoil.csv,4,0.01,0.024,34.4367,11,471,30
airfoil.csv,4,0.035,0.022,40.6602,3,441,30
airfoil.csv,4,0.060000000000000005,0.023,40.6602,3,436,30
airfoil.csv,4,0.085,0.022,47.5598,1,414,30
airfoil.csv,4,0.1,0.022,47.5598,1,403,30
airfoil.csv,4,0.2,0.019,47.5598,1,334,30
airfoil.csv,4,0.5,0.008,47.5598,1,0,30
airfoil.csv,5,0.0001,0.149,28.6272,31,3379,30
airfoil.csv,5,0.0002,0.147,28.6432,29,3382,30
airfoil.csv,5,0.0005,0.146,28.6882,26,3404,30
airfoil.csv,5,0.001,0.153,28.7133,25,3421,30
airfoil.csv,5,0.002,0.157,28.8338,23,3467,30
airfoil.csv,5,0.003,0.153,29.1683,20,3511,30
airfoil.csv,5,0.004,0.148,29.5039,18,3534,30
airfoil.csv,5,0.005,0.148,29.5039,18,3561,30
airfoil.csv,5,0.006,0.15,30.0608,16,3572,30
airfoil.csv,5,0.007,0.151,30.0608,16,3555,30
airfoil.csv,5,0.008,0.151,30.7732,14,3535,30
airfoil.csv,5,0.009000000000000001,0.15,31.171,13,3524,30
airfoil.csv,5,0.01,0.153,31.171,13,3524,30
airfoil.csv,5,0.035,0.142,40.6602,3,3147,30
airfoil.csv,5,0.060000000000000005,0.138,43.6325,2,2816,30
airfoil.csv,5,0.085,0.124,47.5598,1,2205,30
airfoil.csv,5,0.1,0.119,47.5598,1,1977,30
airfoil.csv,5,0.2,0.092,47.5598,1,1393,30
airfoil.csv,5,0.5,0.008,47.5598,1,0,30
airfoil.csv,6,0.0001,0.687,25.933,48,16861,30
airfoil.csv,6,0.0002,0.693,25.9746,42,16938,30
airfoil.csv,6,0.0005,0.701,26.0569,37,16967,30
airfoil.csv,6,0.001,0.706,26.1631,33,17103,30
airfoil.csv,6,0.002,0.697,26.4649,29,17368,30
