dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
airquality.csv,2,0.0001,0.014,392.57915474847084,4,0,30
airquality.csv,2,0.0002,0.013,392.57915474847084,4,0,30
airquality.csv,2,0.0005,0.012,392.57915474847084,4,0,30
airquality.csv,2,0.001,0.013,392.57915474847084,4,0,30
airquality.csv,2,0.002,0.012,392.57915474847084,4,0,30
airquality.csv,2,0.003,0.012,392.57915474847084,4,0,30
airquality.csv,2,0.004,0.011,392.57915474847084,4,0,30
airquality.csv,2,0.005,0.012,392.57915474847084,4,0,30
airquality.csv,2,0.006,0.011,392.57915474847084,4,0,30
airquality.csv,2,0.007,0.011,392.57915474847084,4,0,30
airquality.csv,2,0.008,0.012,392.57915474847084,4,0,30
airquality.csv,2,0.009000000000000001,0.011,392.57915474847084,4,0,30
airquality.csv,2,0.01,0.011,392.57915474847084,4,0,30
airquality.csv,2,0.035,0.011,392.57915474847084,4,0,30
airquality.csv,2,0.060000000000000005,0.01,392.57915474847084,4,0,30
airquality.csv,2,0.085,0.011,471.5254078200126,3,0,30
airquality.csv,2,0.1,0.009,471.5254078200126,3,0,30
airquality.csv,2,0.2,-2,-1,-1,-1,30
airquality.csv,2,0.5,-2,-1,-1,-1,30
airquality.csv,3,0.0001,0.07,254.2560255146697,8,0,30
airquality.csv,3,0.0002,0.067,254.2560255146697,8,0,30
airquality.csv,3,0.0005,0.062,254.2560255146697,8,0,30
airquality.csv,3,0.001,0.061,254.2560255146697,8,0,30
airquality.csv,3,0.002,0.059,256.3771516397052,7,0,30
airquality.csv,3,0.003,0.058,256.3771516397052,7,0,30
airquality.csv,3,0.004,0.056,256.3771516397052,7,0,30
airquality.csv,3,0.005,0.056,256.3771516397052,7,0,30
airquality.csv,3,0.006,0.054,262.6601480844363,6,0,30
airquality.csv,3,0.007,0.053,262.6601480844363,6,0,30
airquality.csv,3,0.008,0.052,262.6601480844363,6,0,30
airquality.csv,3,0.009000000000000001,0.052,262.6601480844363,6,0,30
airquality.csv,3,0.01,0.05,262.6601480844363,6,0,30
airquality.csv,3,0.035,0.045,296.81363565847096,5,0,30
airquality.csv,3,0.060000000000000005,0.043,296.81363565847096,5,0,30
airquality.csv,3,0.085,0.039,471.5254078200126,3,0,30
airquality.csv,3,0.1,0.034,471.5254078200126,3,0,30
airquality.csv,3,0.2,-2,-1,-1,-1,30
airquality.csv,3,0.5,-2,-1,-1,-1,30
airquality.csv,4,0.0001,0.814,164.02169034606032,16,0,30
airquality.csv,4,0.0002,0.801,164.02169034606032,16,0,30
airquality.csv,4,0.0005,0.767,164.02169034606032,16,0,30
airquality.csv,4,0.001,0.733,164.02169034606032,16,0,30
airquality.csv,4,0.002,0.681,164.02169034606032,16,0,30
airquality.csv,4,0.003,0.639,166.50484577123768,15,0,30
airquality.csv,4,0.004,0.602,179.23400492274234,12,0,30
airquality.csv,4,0.005,0.548,179.23400492274234,12,0,30
airquality.csv,4,0.006,0.515,197.771312821993,9,0,30
airquality.csv,4,0.007,0.489,197.771312821993,9,0,30
airquality.csv,4,0.008,0.453,213.34727807316452,7,0,30
airquality.csv,4,0.009000000000000001,0.425,213.34727807316452,7,0,30
airquality.csv,4,0.01,0.412,213.34727807316452,7,0,30
airquality.csv,4,0.035,0.308,247.5007656471991,6,0,30
airquality.csv,4,0.060000000000000005,0.218,296.81363565847096,5,0,30
airquality.csv,4,0.085,0.083,471.5254078200126,3,0,30
airquality.csv,4,0.1,0.046,471.5254078200126,3,0,30
airquality.csv,4,0.2,-2,-1,-1,-1,30
airquality.csv,4,0.5,-2,-1,-1,-1,30
airquality.csv,5,0.0001,7.905,68.70111183709572,32,0,30
airquality.csv,5,0.0002,7.754,68.70111183709572,32,0,30
airquality.csv,5,0.0005,7.416,69.03219291835514,31,0,30
airquality.csv,5,0.001,6.865,69.75891964487687,30,0,30
airquality.csv,5,0.002,6.119,79.87435377599544,24,0,30
airquality.csv,5,0.003,5.532,82.75843785999858,23,0,30
airquality.csv,5,0.004,4.989,96.74057057744353,19,0,30
airquality.csv,5,0.005,4.39,114.975896815683,15,0,30
airquality.csv,5,0.006,3.995,127.4579494596038,13,0,30
airquality.csv,5,0.007,3.675,127.4579494596038,13,0,30
airquality.csv,5,0.008,3.43,127.4579494596038,13,0,30
airquality.csv,5,0.009000000000000001,3.144,136.37761912719085,12,0,30
