dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
airquality.csv,2,0.0001,0.0,392.579,4,1,30
airquality.csv,2,0.0002,0.0,392.579,4,1,30
airquality.csv,2,0.0005,0.0,392.579,4,1,30
airquality.csv,2,0.001,0.0,392.579,4,1,30
airquality.csv,2,0.002,0.0,392.579,4,1,30
airquality.csv,2,0.003,0.0,392.579,4,1,30
airquality.csv,2,0.004,0.0,392.579,4,1,30
airquality.csv,2,0.005,0.0,392.579,4,1,30
airquality.csv,2,0.006,0.0,392.579,4,1,30
airquality.csv,2,0.007,0.0,392.579,4,1,30
airquality.csv,2,0.008,0.0,392.579,4,1,30
airquality.csv,2,0.009000000000000001,0.0,392.579,4,1,30
airquality.csv,2,0.01,0.0,392.579,4,1,30
airquality.csv,2,0.035,0.0,392.579,4,1,30
airquality.csv,2,0.060000000000000005,0.0,392.579,4,1,30
airquality.csv,2,0.085,0.0,471.525,3,1,30
airquality.csv,2,0.1,0.0,471.525,3,1,30
airquality.csv,2,0.2,0.0,681.333,2,1,30
airquality.csv,2,0.5,0.0,1097.31,1,1,30
airquality.csv,3,0.0001,0.001,254.256,8,32,30
airquality.csv,3,0.0002,0.001,254.256,8,32,30
airquality.csv,3,0.0005,0.002,254.256,8,32,30
airquality.csv,3,0.001,0.001,254.256,8,32,30
airquality.csv,3,0.002,0.001,256.377,7,32,30
airquality.csv,3,0.003,0.001,256.377,7,32,30
airquality.csv,3,0.004,0.001,256.377,7,32,30
airquality.csv,3,0.005,0.001,256.377,7,31,30
airquality.csv,3,0.006,0.001,262.66,6,31,30
airquality.csv,3,0.007,0.001,262.66,6,31,30
airquality.csv,3,0.008,0.001,262.66,6,31,30
airquality.csv,3,0.009000000000000001,0.001,262.66,6,31,30
airquality.csv,3,0.01,0.002,262.66,6,31,30
airquality.csv,3,0.035,0.001,296.814,5,27,30
airquality.csv,3,0.060000000000000005,0.001,296.814,5,24,30
airquality.csv,3,0.085,0.001,471.525,3,23,30
airquality.csv,3,0.1,0.001,471.525,3,23,30
airquality.csv,3,0.2,0.001,681.333,2,18,30
airquality.csv,3,0.5,0.0,1097.31,1,0,30
airquality.csv,4,0.0001,0.013,164.022,16,412,30
airquality.csv,4,0.0002,0.012,164.022,16,410,30
airquality.csv,4,0.0005,0.012,164.022,16,408,30
airquality.csv,4,0.001,0.012,164.022,16,403,30
airquality.csv,4,0.002,0.012,164.022,16,398,30
airquality.csv,4,0.003,0.012,166.505,15,385,30
airquality.csv,4,0.004,0.012,179.234,12,378,30
airquality.csv,4,0.005,0.011,179.234,12,360,30
airquality.csv,4,0.006,0.011,197.771,9,352,30
airquality.csv,4,0.007,0.011,197.771,9,346,30
airquality.csv,4,0.008,0.011,213.347,7,332,30
airquality.csv,4,0.009000000000000001,0.011,213.347,7,318,30
airquality.csv,4,0.01,0.011,213.347,7,310,30
airquality.csv,4,0.035,0.009,247.501,6,229,30
airquality.csv,4,0.060000000000000005,0.009,296.814,5,182,30
airquality.csv,4,0.085,0.007,471.525,3,151,30
airquality.csv,4,0.1,0.007,471.525,3,137,30
airquality.csv,4,0.2,0.005,681.333,2,53,30
airquality.csv,4,0.5,0.0,1097.31,1,0,30
airquality.csv,5,0.0001,0.078,68.7011,32,2820,30
airquality.csv,5,0.0002,0.077,68.7011,32,2797,30
airquality.csv,5,0.0005,0.076,69.0322,31,2760,30
airquality.csv,5,0.001,0.075,69.7589,30,2712,30
airquality.csv,5,0.002,0.073,79.8744,24,2594,30
airquality.csv,5,0.003,0.073,82.7584,23,2455,30
airquality.csv,5,0.004,0.072,96.7406,19,2323,30
airquality.csv,5,0.005,0.071,114.976,15,2200,30
airquality.csv,5,0.006,0.069,127.458,13,2115,30
airquality.csv,5,0.007,0.067,127.458,13,2027,30
airquality.csv,5,0.008,0.064,127.458,13,1892,30
airquality.csv,5,0.009000000000000001,0.063,136.378,12,1792,30
airquality.csv,5,0.01,0.061,136.378,12,1744,30
airquality.csv,5,0.035,0.047,247.501,6,1102,30
