dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
airquality.csv,2,0.0001,0.0,392.579,4,1,30
airquality.csv,2,0.0002,0.0,392.579,4,1,30
airquality.csv,2,0.0005,0.0,392.579,4,1,30
airquality.csv,2,0.001,0.0,392.579,4,1,30
airquality.csv,2,0.002,0.0,392.579,4,1,30
airquality.csv,2,0.003,0.0,392.579,4,1,30
airquality.csv,2,0.004,0.0,392.579,4,1,30
airquality.csv,2,0.005,0.0,392.579,4,1,30
airquality.csv,2,0.006,0.0,392.579,4,1,30
airquality.csv,2,0.007,0.0,392.579,4,1,30
airquality.csv,2,0.008,0.0,392.579,4,1,30
airquality.csv,2,0.009000000000000001,0.0,392.579,4,1,30
airquality.csv,2,0.01,0.0,392.579,4,1,30
airquality.csv,2,0.035,0.0,392.579,4,1,30
airquality.csv,2,0.060000000000000005,0.0,392.579,4,1,30
airquality.csv,2,0.085,0.0,471.525,3,1,30
airquality.csv,2,0.1,0.0,471.525,3,1,30
airquality.csv,2,0.2,0.0,681.333,2,1,30
airquality.csv,2,0.5,0.0,1097.31,1,1,30
airquality.csv,3,0.0001,0.001,254.256,8,32,30
airquality.csv,3,0.0002,0.001,254.256,8,32,30
airquality.csv,3,0.0005,0.001,254.256,8,32,30
airquality.csv,3,0.001,0.001,254.256,8,32,30
airquality.csv,3,0.002,0.001,256.377,7,32,30
airquality.csv,3,0.003,0.001,256.377,7,32,30
airquality.csv,3,0.004,0.001,256.377,7,32,30
airquality.csv,3,0.005,0.001,256.377,7,32,30
airquality.csv,3,0.006,0.001,262.66,6,32,30
airquality.csv,3,0.007,0.001,262.66,6,32,30
airquality.csv,3,0.008,0.001,262.66,6,32,30
airquality.csv,3,0.009000000000000001,0.001,262.66,6,32,30
airquality.csv,3,0.01,0.001,262.66,6,32,30
airquality.csv,3,0.035,0.001,296.814,5,32,30
airquality.csv,3,0.060000000000000005,0.001,296.814,5,32,30
airquality.csv,3,0.085,0.001,471.525,3,32,30
airquality.csv,3,0.1,0.001,471.525,3,32,30
airquality.csv,3,0.2,0.001,681.333,2,32,30
airquality.csv,3,0.5,0.001,1097.31,1,31,30
airquality.csv,4,0.0001,0.009,164.022,16,423,30
airquality.csv,4,0.0002,0.009,164.022,16,423,30
airquality.csv,4,0.0005,0.009,164.022,16,422,30
airquality.csv,4,0.001,0.009,164.022,16,422,30
airquality.csv,4,0.002,0.009,164.022,16,422,30
airquality.csv,4,0.003,0.009,166.505,15,422,30
airquality.csv,4,0.004,0.008,179.234,12,422,30
airquality.csv,4,0.005,0.008,179.234,12,422,30
airquality.csv,4,0.006,0.008,197.771,9,416,30
airquality.csv,4,0.007,0.008,197.771,9,416,30
airquality.csv,4,0.008,0.008,213.347,7,417,30
airquality.csv,4,0.009000000000000001,0.009,213.347,7,417,30
airquality.csv,4,0.01,0.009,213.347,7,417,30
airquality.csv,4,0.035,0.008,247.501,6,390,30
airquality.csv,4,0.060000000000000005,0.008,296.814,5,364,30
airquality.csv,4,0.085,0.008,471.525,3,346,30
airquality.csv,4,0.1,0.007,471.525,3,342,30
airquality.csv,4,0.2,0.007,681.333,2,327,30
airquality.csv,4,0.5,0.002,1097.31,1,22,30
airquality.csv,5,0.0001,0.055,68.7011,32,3049,30
airquality.csv,5,0.0002,0.055,68.7011,32,3053,30
airquality.csv,5,0.0005,0.055,69.0322,31,3052,30
airquality.csv,5,0.001,0.056,69.7589,30,3088,30
airquality.csv,5,0.002,0.057,79.8744,24,3059,30
airquality.csv,5,0.003,0.056,82.7584,23,3071,30
airquality.csv,5,0.004,0.055,96.7406,19,3057,30
airquality.csv,5,0.005,0.055,114.976,15,3032,30
airquality.csv,5,0.006,0.055,127.458,13,2988,30
airquality.csv,5,0.007,0.056,127.458,13,2975,30
airquality.csv,5,0.008,0.055,127.458,13,2955,30
airquality.csv,5,0.009000000000000001,0.055,136.378,12,2950,30
airquality.csv,5,0.01,0.056,136.378,12,2919,30
airquality.csv,5,0.035,0.047,247.501,6,2347,30
