dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
enb-cool.csv,2,0.0001,0.472,9.32027230540488,4,0,30
enb-cool.csv,2,0.0002,0.407,9.32027230540488,4,0,30
enb-cool.csv,2,0.0005,0.359,9.32027230540488,4,0,30
enb-cool.csv,2,0.001,0.294,9.32027230540488,4,0,30
enb-cool.csv,2,0.002,0.272,9.32027230540488,4,0,30
enb-cool.csv,2,0.003,0.273,9.32027230540488,4,0,30
enb-cool.csv,2,0.004,0.266,9.32027230540488,4,0,30
enb-cool.csv,2,0.005,0.258,9.32027230540488,4,0,30
enb-cool.csv,2,0.006,0.226,9.32027230540488,4,0,30
enb-cool.csv,2,0.007,0.231,9.32027230540488,4,0,30
enb-cool.csv,2,0.008,0.247,9.32027230540488,4,0,30
enb-cool.csv,2,0.009000000000000001,0.229,9.32027230540488,4,0,30
enb-cool.csv,2,0.01,0.243,9.32027230540488,4,0,30
enb-cool.csv,2,0.035,0.174,11.047302440292265,3,0,30
enb-cool.csv,2,0.060000000000000005,0.034,11.047302440292265,3,0,30
enb-cool.csv,2,0.085,0.033,17.857295567864593,2,0,30
enb-cool.csv,2,0.1,0.033,17.857295567864593,2,0,30
enb-cool.csv,2,0.2,0.025,17.857295567864593,2,0,30
enb-cool.csv,2,0.5,-2,-1,-1,-1,30
enb-cool.csv,3,0.0001,2.244,6.388297159128637,8,0,30
enb-cool.csv,3,0.0002,1.923,6.388297159128637,8,0,30
enb-cool.csv,3,0.0005,1.487,6.388297159128637,8,0,30
enb-cool.csv,3,0.001,1.325,6.471470201289361,7,0,30
enb-cool.csv,3,0.002,1.115,6.471470201289361,7,0,30
enb-cool.csv,3,0.003,1.087,6.471470201289361,7,0,30
enb-cool.csv,3,0.004,1.068,6.471470201289361,7,0,30
enb-cool.csv,3,0.005,1.016,6.471470201289361,7,0,30
enb-cool.csv,3,0.006,1.0,6.471470201289361,7,0,30
enb-cool.csv,3,0.007,0.988,7.054156143112265,6,0,30
enb-cool.csv,3,0.008,0.936,7.757743377720085,5,0,30
enb-cool.csv,3,0.009000000000000001,0.913,7.757743377720085,5,0,30
enb-cool.csv,3,0.01,0.921,7.757743377720085,5,0,30
enb-cool.csv,3,0.035,0.283,11.047302440292265,3,0,30
enb-cool.csv,3,0.060000000000000005,0.034,11.047302440292265,3,0,30
enb-cool.csv,3,0.085,0.033,17.857295567864593,2,0,30
enb-cool.csv,3,0.1,0.033,17.857295567864593,2,0,30
enb-cool.csv,3,0.2,0.025,17.857295567864593,2,0,30
enb-cool.csv,3,0.5,-2,-1,-1,-1,30
enb-cool.csv,4,0.0001,8.424,4.2155604402634905,16,0,30
enb-cool.csv,4,0.0002,7.644,4.225582577762508,15,0,30
enb-cool.csv,4,0.0005,6.42,4.225582577762508,15,0,30
enb-cool.csv,4,0.001,5.678,4.276315516499854,14,0,30
enb-cool.csv,4,0.002,5.021,4.602759041581739,11,0,30
enb-cool.csv,4,0.003,4.677,4.994409435991578,9,0,30
enb-cool.csv,4,0.004,4.491,4.994409435991578,9,0,30
enb-cool.csv,4,0.005,4.122,5.373589801035259,8,0,30
enb-cool.csv,4,0.006,3.946,5.373589801035259,8,0,30
enb-cool.csv,4,0.007,3.68,5.956275742858163,7,0,30
enb-cool.csv,4,0.008,3.651,6.659862977465983,6,0,30
enb-cool.csv,4,0.009000000000000001,3.497,6.659862977465983,6,0,30
enb-cool.csv,4,0.01,3.492,6.659862977465983,6,0,30
enb-cool.csv,4,0.035,0.322,11.047302440292265,3,0,30
enb-cool.csv,4,0.060000000000000005,0.034,11.047302440292265,3,0,30
enb-cool.csv,4,0.085,0.033,17.857295567864593,2,0,30
enb-cool.csv,4,0.1,0.033,17.857295567864593,2,0,30
enb-cool.csv,4,0.2,0.024,17.857295567864593,2,0,30
enb-cool.csv,4,0.5,-2,-1,-1,-1,30
enb-cool.csv,5,0.0001,31,-1,-1,-1,30
enb-cool.csv,5,0.0002,31,-1,-1,-1,30
enb-cool.csv,5,0.0005,31,-1,-1,-1,30
enb-cool.csv,5,0.001,31,-1,-1,-1,30
enb-cool.csv,5,0.002,31,-1,-1,-1,30
enb-cool.csv,5,0.003,24.618,4.539094380339446,10,0,30
enb-cool.csv,5,0.004,20.952,4.539094380339446,10,0,30
enb-cool.csv,5,0.005,18.055,4.918274745383127,9,0,30
enb-cool.csv,5,0.006,16.098,5.373589801035259,8,0,30
enb-cool.csv,5,0.007,14.777,5.956275742858163,7,0,30
enb-cool.csv,5,0.008,13.757,6.659862977465983,6,0,30
enb-cool.csv,5,0.009000000000000001,12.847,6.659862977465983,6,0,30
enb-cool.csv,5,0.01,11.508,6.659862977465983,6,0,30
enb-cool.csv,5,0.035,0.293,11.047302440292265,3,0,30
enb-cool.csv,5,0.060000000000000005,0.035,11.047302440292265,3,0,30
enb-cool.csv,5,0.085,0.034,17.857295567864593,2,0,30
enb-cool.csv,5,0.1,0.034,17.857295567864593,2,0,30
enb-cool.csv,5,0.2,0.026,17.857295567864593,2,0,30
enb-cool.csv,5,0.5,-2,-1,-1,-1,30
enb-cool.csv,6,0.0001,31,-1,-1,-1,30
enb-cool.csv,6,0.0002,31,-1,-1,-1,30
enb-cool.csv,6,0.0005,31,-1,-1,-1,30
enb-cool.csv,6,0.001,31,-1,-1,-1,30
enb-cool.csv,6,0.002,31,-1,-1,-1,30
enb-cool.csv,6,0.003,31,-1,-1,-1,30
enb-cool.csv,6,0.004,31,-1,-1,-1,30
enb-cool.csv,6,0.005,31,-1,-1,-1,30
enb-cool.csv,6,0.006,31,-1,-1,-1,30
enb-cool.csv,6,0.007,31,-1,-1,-1,30
enb-cool.csv,6,0.008,31,-1,-1,-1,30
enb-cool.csv,6,0.009000000000000001,31,-1,-1,-1,30
enb-cool.csv,6,0.01,27.205,6.659862977465983,6,0,30
enb-cool.csv,6,0.035,0.309,11.047302440292265,3,0,30
enb-cool.csv,6,0.060000000000000005,0.035,11.047302440292265,3,0,30
enb-cool.csv,6,0.085,0.035,17.857295567864593,2,0,30
enb-cool.csv,6,0.1,0.033,17.857295567864593,2,0,30
enb-cool.csv,6,0.2,0.026,17.857295567864593,2,0,30
