dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
enb-cool.csv,2,0.0001,0.003,9.32027,4,1,30
enb-cool.csv,2,0.0002,0.002,9.32027,4,1,30
enb-cool.csv,2,0.0005,0.002,9.32027,4,1,30
enb-cool.csv,2,0.001,0.002,9.32027,4,1,30
enb-cool.csv,2,0.002,0.002,9.32027,4,1,30
enb-cool.csv,2,0.003,0.003,9.32027,4,1,30
enb-cool.csv,2,0.004,0.003,9.32027,4,1,30
enb-cool.csv,2,0.005,0.002,9.32027,4,1,30
enb-cool.csv,2,0.006,0.003,9.32027,4,1,30
enb-cool.csv,2,0.007,0.003,9.32027,4,1,30
enb-cool.csv,2,0.008,0.002,9.32027,4,1,30
enb-cool.csv,2,0.009000000000000001,0.002,9.32027,4,1,30
enb-cool.csv,2,0.01,0.003,9.32027,4,1,30
enb-cool.csv,2,0.035,0.003,9.32027,4,1,30
enb-cool.csv,2,0.060000000000000005,0.002,9.32027,4,1,30
enb-cool.csv,2,0.085,0.002,9.32027,4,1,30
enb-cool.csv,2,0.1,0.002,9.32027,4,1,30
enb-cool.csv,2,0.2,0.003,9.32027,4,1,30
enb-cool.csv,2,0.5,0.002,9.32027,4,1,30
enb-cool.csv,3,0.0001,0.049,6.88675,8,11,30
enb-cool.csv,3,0.0002,0.051,6.88675,8,11,30
enb-cool.csv,3,0.0005,0.049,6.88675,8,11,30
enb-cool.csv,3,0.001,0.05,6.88675,8,11,30
enb-cool.csv,3,0.002,0.051,6.88675,8,11,30
enb-cool.csv,3,0.003,0.049,6.88675,8,11,30
enb-cool.csv,3,0.004,0.049,6.88675,8,11,30
enb-cool.csv,3,0.005,0.051,6.88675,8,11,30
enb-cool.csv,3,0.006,0.049,6.88675,8,11,30
enb-cool.csv,3,0.007,0.05,6.88675,8,11,30
enb-cool.csv,3,0.008,0.048,6.88675,8,11,30
enb-cool.csv,3,0.009000000000000001,0.048,6.88675,8,11,30
enb-cool.csv,3,0.01,0.051,6.88675,8,11,30
enb-cool.csv,3,0.035,0.049,6.88675,8,11,30
enb-cool.csv,3,0.060000000000000005,0.049,6.88675,8,11,30
enb-cool.csv,3,0.085,0.049,6.88675,8,11,30
enb-cool.csv,3,0.1,0.049,6.88675,8,11,30
enb-cool.csv,3,0.2,0.049,6.88675,8,9,30
enb-cool.csv,3,0.5,0.05,7.28213,7,8,30
enb-cool.csv,4,0.0001,0.267,5.78008,16,173,30
enb-cool.csv,4,0.0002,0.266,5.78008,16,172,30
enb-cool.csv,4,0.0005,0.265,5.78008,16,171,30
enb-cool.csv,4,0.001,0.267,5.78008,16,170,30
enb-cool.csv,4,0.002,0.26,5.78008,16,167,30
enb-cool.csv,4,0.003,0.265,5.78235,15,166,30
enb-cool.csv,4,0.004,0.263,5.78235,15,167,30
enb-cool.csv,4,0.005,0.261,5.78235,15,160,30
enb-cool.csv,4,0.006,0.263,5.78235,15,165,30
enb-cool.csv,4,0.007,0.266,5.78235,15,165,30
enb-cool.csv,4,0.008,0.268,5.78235,15,164,30
enb-cool.csv,4,0.009000000000000001,0.266,5.78235,15,162,30
enb-cool.csv,4,0.01,0.265,5.78235,15,162,30
enb-cool.csv,4,0.035,0.263,5.78235,15,144,30
enb-cool.csv,4,0.060000000000000005,0.264,5.82804,14,134,30
enb-cool.csv,4,0.085,0.258,5.82804,14,123,30
enb-cool.csv,4,0.1,0.258,5.82804,14,120,30
enb-cool.csv,4,0.2,0.262,6.18203,11,100,30
enb-cool.csv,4,0.5,0.248,6.36183,8,46,30
enb-cool.csv,5,0.0001,0.832,3.74494,32,1547,30
enb-cool.csv,5,0.0002,0.837,3.74494,32,1515,30
enb-cool.csv,5,0.0005,0.838,3.74494,32,1433,30
enb-cool.csv,5,0.001,0.835,3.74917,29,1343,30
enb-cool.csv,5,0.002,0.839,3.74917,29,1380,30
enb-cool.csv,5,0.003,0.835,3.75144,28,1399,30
enb-cool.csv,5,0.004,0.831,3.75144,28,1394,30
enb-cool.csv,5,0.005,0.831,3.75144,28,1317,30
enb-cool.csv,5,0.006,0.843,3.75618,27,1337,30
enb-cool.csv,5,0.007,0.831,3.75618,27,1339,30
enb-cool.csv,5,0.008,0.834,3.76316,26,1340,30
enb-cool.csv,5,0.009000000000000001,0.826,3.76316,26,1274,30
enb-cool.csv,5,0.01,0.827,3.77176,25,1280,30
enb-cool.csv,5,0.035,0.803,3.82455,23,996,30
enb-cool.csv,5,0.060000000000000005,0.786,3.87024,22,871,30
enb-cool.csv,5,0.085,0.773,4.01696,20,717,30
enb-cool.csv,5,0.1,0.761,4.01696,20,637,30
enb-cool.csv,5,0.2,0.734,5.04718,13,402,30
enb-cool.csv,5,0.5,0.651,6.12252,10,108,30
enb-cool.csv,6,0.0001,2.012,2.33905,63,8800,30
enb-cool.csv,6,0.0002,2.06,2.33905,63,8270,30
enb-cool.csv,6,0.0005,2.014,2.3393,63,7453,30
enb-cool.csv,6,0.001,1.947,2.33929,63,6695,30
