dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
enb-cool.csv,2,0.0001,0.001,9.32027,4,1,30
enb-cool.csv,2,0.0002,0.001,9.32027,4,1,30
enb-cool.csv,2,0.0005,0.001,9.32027,4,1,30
enb-cool.csv,2,0.001,0.001,9.32027,4,1,30
enb-cool.csv,2,0.002,0.0,9.32027,4,1,30
enb-cool.csv,2,0.003,0.0,9.32027,4,1,30
enb-cool.csv,2,0.004,0.001,9.32027,4,1,30
enb-cool.csv,2,0.005,0.001,9.32027,4,1,30
enb-cool.csv,2,0.006,0.001,9.32027,4,1,30
enb-cool.csv,2,0.007,0.001,9.32027,4,1,30
enb-cool.csv,2,0.008,0.001,9.32027,4,1,30
enb-cool.csv,2,0.009000000000000001,0.0,9.32027,4,1,30
enb-cool.csv,2,0.01,0.001,9.32027,4,1,30
enb-cool.csv,2,0.035,0.001,11.0473,3,1,30
enb-cool.csv,2,0.060000000000000005,0.0,11.0473,3,1,30
enb-cool.csv,2,0.085,0.0,17.8573,2,1,30
enb-cool.csv,2,0.1,0.0,17.8573,2,1,30
enb-cool.csv,2,0.2,0.0,17.8573,2,1,30
enb-cool.csv,2,0.5,0.001,17.8573,2,1,30
enb-cool.csv,3,0.0001,0.005,6.3883,8,52,30
enb-cool.csv,3,0.0002,0.004,6.3883,8,52,30
enb-cool.csv,3,0.0005,0.004,6.3883,8,52,30
enb-cool.csv,3,0.001,0.004,6.47147,7,52,30
enb-cool.csv,3,0.002,0.005,6.47147,7,52,30
enb-cool.csv,3,0.003,0.004,6.47147,7,52,30
enb-cool.csv,3,0.004,0.004,6.47147,7,52,30
enb-cool.csv,3,0.005,0.005,6.47147,7,52,30
enb-cool.csv,3,0.006,0.004,6.47147,7,52,30
enb-cool.csv,3,0.007,0.004,7.05416,6,52,30
enb-cool.csv,3,0.008,0.004,7.75774,5,52,30
enb-cool.csv,3,0.009000000000000001,0.005,7.75774,5,52,30
enb-cool.csv,3,0.01,0.004,7.75774,5,52,30
enb-cool.csv,3,0.035,0.004,11.0473,3,50,30
enb-cool.csv,3,0.060000000000000005,0.004,11.0473,3,50,30
enb-cool.csv,3,0.085,0.004,17.8573,2,50,30
enb-cool.csv,3,0.1,0.004,17.8573,2,50,30
enb-cool.csv,3,0.2,0.004,17.8573,2,50,30
enb-cool.csv,3,0.5,0.004,17.8573,2,50,30
enb-cool.csv,4,0.0001,0.065,4.21556,16,1180,30
enb-cool.csv,4,0.0002,0.063,4.22558,15,1180,30
enb-cool.csv,4,0.0005,0.064,4.22558,15,1185,30
enb-cool.csv,4,0.001,0.063,4.27632,14,1189,30
enb-cool.csv,4,0.002,0.063,4.60276,11,1169,30
enb-cool.csv,4,0.003,0.062,4.99441,9,1145,30
enb-cool.csv,4,0.004,0.063,4.99441,9,1147,30
enb-cool.csv,4,0.005,0.063,5.37359,8,1148,30
enb-cool.csv,4,0.006,0.064,5.37359,8,1153,30
enb-cool.csv,4,0.007,0.064,5.95628,7,1135,30
enb-cool.csv,4,0.008,0.062,6.65986,6,1122,30
enb-cool.csv,4,0.009000000000000001,0.062,6.65986,6,1118,30
enb-cool.csv,4,0.01,0.061,6.65986,6,1112,30
enb-cool.csv,4,0.035,0.054,11.0473,3,909,30
enb-cool.csv,4,0.060000000000000005,0.053,11.0473,3,884,30
enb-cool.csv,4,0.085,0.049,17.8573,2,763,30
enb-cool.csv,4,0.1,0.049,17.8573,2,753,30
enb-cool.csv,4,0.2,0.035,17.8573,2,462,30
enb-cool.csv,4,0.5,0.015,17.8573,2,0,30
enb-cool.csv,5,0.0001,0.701,2.71795,29,16001,30
enb-cool.csv,5,0.0002,0.703,2.73621,27,16091,30
enb-cool.csv,5,0.0005,0.709,2.79709,25,16173,30
enb-cool.csv,5,0.001,0.714,3.13656,20,16236,30
enb-cool.csv,5,0.002,0.707,4.14744,12,15926,30
enb-cool.csv,5,0.003,0.7,4.53909,10,15493,30
enb-cool.csv,5,0.004,0.696,4.53909,10,15289,30
enb-cool.csv,5,0.005,0.689,4.91827,9,15087,30
enb-cool.csv,5,0.006,0.678,5.37359,8,14900,30
enb-cool.csv,5,0.007,0.675,5.95628,7,14492,30
enb-cool.csv,5,0.008,0.667,6.65986,6,14140,30
enb-cool.csv,5,0.009000000000000001,0.656,6.65986,6,13843,30
enb-cool.csv,5,0.01,0.647,6.65986,6,13540,30
enb-cool.csv,5,0.035,0.505,11.0473,3,9507,30
enb-cool.csv,5,0.060000000000000005,0.367,11.0473,3,5721,30
enb-cool.csv,5,0.085,0.278,17.8573,2,4169,30
enb-cool.csv,5,0.1,0.262,17.8573,2,3728,30
enb-cool.csv,5,0.2,0.111,17.8573,2,657,30
enb-cool.csv,5,0.5,0.014,17.8573,2,0,30
enb-cool.csv,6,0.0001,5.776,1.65768,52,147070,30
enb-cool.csv,6,0.0002,5.857,1.81967,39,148622,30
