dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
enb-cool.csv,2,0.0001,0.001,9.32027,4,1,30
enb-cool.csv,2,0.0002,0.001,9.32027,4,1,30
enb-cool.csv,2,0.0005,0.001,9.32027,4,1,30
enb-cool.csv,2,0.001,0.001,9.32027,4,1,30
enb-cool.csv,2,0.002,0.001,9.32027,4,1,30
enb-cool.csv,2,0.003,0.0,9.32027,4,1,30
enb-cool.csv,2,0.004,0.001,9.32027,4,1,30
enb-cool.csv,2,0.005,0.001,9.32027,4,1,30
enb-cool.csv,2,0.006,0.001,9.32027,4,1,30
enb-cool.csv,2,0.007,0.0,9.32027,4,1,30
enb-cool.csv,2,0.008,0.001,9.32027,4,1,30
enb-cool.csv,2,0.009000000000000001,0.001,9.32027,4,1,30
enb-cool.csv,2,0.01,0.001,9.32027,4,1,30
enb-cool.csv,2,0.035,0.001,11.0473,3,1,30
enb-cool.csv,2,0.060000000000000005,0.001,11.0473,3,1,30
enb-cool.csv,2,0.085,0.001,17.8573,2,1,30
enb-cool.csv,2,0.1,0.0,17.8573,2,1,30
enb-cool.csv,2,0.2,0.001,17.8573,2,1,30
enb-cool.csv,2,0.5,0.001,17.8573,2,1,30
enb-cool.csv,3,0.0001,0.004,6.3883,8,53,30
enb-cool.csv,3,0.0002,0.004,6.3883,8,53,30
enb-cool.csv,3,0.0005,0.004,6.3883,8,53,30
enb-cool.csv,3,0.001,0.004,6.47147,7,53,30
enb-cool.csv,3,0.002,0.004,6.47147,7,53,30
enb-cool.csv,3,0.003,0.004,6.47147,7,53,30
enb-cool.csv,3,0.004,0.004,6.47147,7,53,30
enb-cool.csv,3,0.005,0.004,6.47147,7,53,30
enb-cool.csv,3,0.006,0.004,6.47147,7,53,30
enb-cool.csv,3,0.007,0.004,7.05416,6,53,30
enb-cool.csv,3,0.008,0.004,7.75774,5,53,30
enb-cool.csv,3,0.009000000000000001,0.004,7.75774,5,53,30
enb-cool.csv,3,0.01,0.003,7.75774,5,53,30
enb-cool.csv,3,0.035,0.003,11.0473,3,53,30
enb-cool.csv,3,0.060000000000000005,0.004,11.0473,3,53,30
enb-cool.csv,3,0.085,0.004,17.8573,2,53,30
enb-cool.csv,3,0.1,0.004,17.8573,2,53,30
enb-cool.csv,3,0.2,0.004,17.8573,2,53,30
enb-cool.csv,3,0.5,0.004,17.8573,2,53,30
enb-cool.csv,4,0.0001,0.064,4.21556,16,1307,30
enb-cool.csv,4,0.0002,0.066,4.22558,15,1307,30
enb-cool.csv,4,0.0005,0.065,4.22558,15,1307,30
enb-cool.csv,4,0.001,0.064,4.27632,14,1307,30
enb-cool.csv,4,0.002,0.065,4.60276,11,1307,30
enb-cool.csv,4,0.003,0.064,4.99441,9,1307,30
enb-cool.csv,4,0.004,0.065,4.99441,9,1307,30
enb-cool.csv,4,0.005,0.065,5.37359,8,1307,30
enb-cool.csv,4,0.006,0.064,5.37359,8,1307,30
enb-cool.csv,4,0.007,0.064,5.95628,7,1307,30
enb-cool.csv,4,0.008,0.063,6.65986,6,1307,30
enb-cool.csv,4,0.009000000000000001,0.064,6.65986,6,1307,30
enb-cool.csv,4,0.01,0.064,6.65986,6,1307,30
enb-cool.csv,4,0.035,0.064,11.0473,3,1307,30
enb-cool.csv,4,0.060000000000000005,0.064,11.0473,3,1307,30
enb-cool.csv,4,0.085,0.065,17.8573,2,1307,30
enb-cool.csv,4,0.1,0.064,17.8573,2,1307,30
enb-cool.csv,4,0.2,0.066,17.8573,2,1307,30
enb-cool.csv,4,0.5,0.064,17.8573,2,1307,30
enb-cool.csv,5,0.0001,0.763,2.71795,29,18790,30
enb-cool.csv,5,0.0002,0.759,2.73621,27,18790,30
enb-cool.csv,5,0.0005,0.757,2.79709,25,18790,30
enb-cool.csv,5,0.001,0.757,3.13656,20,18790,30
enb-cool.csv,5,0.002,0.761,4.14744,12,18790,30
enb-cool.csv,5,0.003,0.757,4.53909,10,18790,30
enb-cool.csv,5,0.004,0.76,4.53909,10,18790,30
enb-cool.csv,5,0.005,0.767,4.91827,9,18790,30
enb-cool.csv,5,0.006,0.763,5.37359,8,18790,30
enb-cool.csv,5,0.007,0.755,5.95628,7,18790,30
enb-cool.csv,5,0.008,0.758,6.65986,6,18790,30
enb-cool.csv,5,0.009000000000000001,0.762,6.65986,6,18790,30
enb-cool.csv,5,0.01,0.761,6.65986,6,18790,30
enb-cool.csv,5,0.035,0.757,11.0473,3,18790,30
enb-cool.csv,5,0.060000000000000005,0.761,11.0473,3,18790,30
enb-cool.csv,5,0.085,0.77,17.8573,2,18790,30
enb-cool.csv,5,0.1,0.766,17.8573,2,18790,30
enb-cool.csv,5,0.2,0.759,17.8573,2,18790,30
enb-cool.csv,5,0.5,0.759,17.8573,2,18790,30
enb-cool.csv,6,0.0001,6.618,1.65768,52,182933,30
enb-cool.csv,6,0.0002,6.634,1.81967,39,182933,30
