dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
enb-cool.csv,2,0.0001,0.001,9.32027,4,1,30
enb-cool.csv,2,0.0002,0.001,9.32027,4,1,30
enb-cool.csv,2,0.0005,0.001,9.32027,4,1,30
enb-cool.csv,2,0.001,0.0,9.32027,4,1,30
enb-cool.csv,2,0.002,0.0,9.32027,4,1,30
enb-cool.csv,2,0.003,0.001,9.32027,4,1,30
enb-cool.csv,2,0.004,0.0,9.32027,4,1,30
enb-cool.csv,2,0.005,0.0,9.32027,4,1,30
enb-cool.csv,2,0.006,0.0,9.32027,4,1,30
enb-cool.csv,2,0.007,0.0,9.32027,4,1,30
enb-cool.csv,2,0.008,0.001,9.32027,4,1,30
enb-cool.csv,2,0.009000000000000001,0.001,9.32027,4,1,30
enb-cool.csv,2,0.01,0.0,9.32027,4,1,30
enb-cool.csv,2,0.035,0.0,9.32027,4,1,30
enb-cool.csv,2,0.060000000000000005,0.001,9.32027,4,1,30
enb-cool.csv,2,0.085,0.001,9.32027,4,1,30
enb-cool.csv,2,0.1,0.001,9.32027,4,1,30
enb-cool.csv,2,0.2,0.0,9.32027,4,1,30
enb-cool.csv,2,0.5,0.001,9.32027,4,1,30
enb-cool.csv,3,0.0001,0.005,6.3883,8,52,30
enb-cool.csv,3,0.0002,0.005,6.3883,8,52,30
enb-cool.csv,3,0.0005,0.005,6.3883,8,52,30
enb-cool.csv,3,0.001,0.005,6.3883,8,52,30
enb-cool.csv,3,0.002,0.005,6.3883,8,52,30
enb-cool.csv,3,0.003,0.005,6.3883,8,52,30
enb-cool.csv,3,0.004,0.005,6.3883,8,52,30
enb-cool.csv,3,0.005,0.005,6.3883,8,52,30
enb-cool.csv,3,0.006,0.005,6.3883,8,52,30
enb-cool.csv,3,0.007,0.005,6.3883,8,52,30
enb-cool.csv,3,0.008,0.005,6.3883,8,52,30
enb-cool.csv,3,0.009000000000000001,0.005,6.3883,8,52,30
enb-cool.csv,3,0.01,0.005,6.3883,8,52,30
enb-cool.csv,3,0.035,0.005,6.3883,8,52,30
enb-cool.csv,3,0.060000000000000005,0.005,6.3883,8,52,30
enb-cool.csv,3,0.085,0.006,6.47147,7,52,30
enb-cool.csv,3,0.1,0.005,6.47147,7,52,30
enb-cool.csv,3,0.2,0.005,6.47147,7,52,30
enb-cool.csv,3,0.5,0.005,6.47147,7,52,30
enb-cool.csv,4,0.0001,0.076,4.21556,16,1180,30
enb-cool.csv,4,0.0002,0.078,4.21556,16,1180,30
enb-cool.csv,4,0.0005,0.076,4.21556,16,1180,30
enb-cool.csv,4,0.001,0.076,4.21556,16,1180,30
enb-cool.csv,4,0.002,0.078,4.21556,16,1180,30
enb-cool.csv,4,0.003,0.077,4.21556,16,1180,30
enb-cool.csv,4,0.004,0.077,4.21556,16,1180,30
enb-cool.csv,4,0.005,0.076,4.21556,16,1180,30
enb-cool.csv,4,0.006,0.077,4.21556,16,1180,30
enb-cool.csv,4,0.007,0.077,4.21556,16,1180,30
enb-cool.csv,4,0.008,0.077,4.21556,16,1180,30
enb-cool.csv,4,0.009000000000000001,0.078,4.21556,16,1180,30
enb-cool.csv,4,0.01,0.076,4.21556,16,1180,30
enb-cool.csv,4,0.035,0.077,4.22558,15,1183,30
enb-cool.csv,4,0.060000000000000005,0.076,4.27632,14,1186,30
enb-cool.csv,4,0.085,0.079,4.27632,14,1189,30
enb-cool.csv,4,0.1,0.078,4.46256,12,1189,30
enb-cool.csv,4,0.2,0.077,4.99441,9,1147,30
enb-cool.csv,4,0.5,0.078,5.37359,8,1151,30
enb-cool.csv,5,0.0001,0.837,2.70286,32,15880,30
enb-cool.csv,5,0.0002,0.829,2.70286,32,15880,30
enb-cool.csv,5,0.0005,0.837,2.70286,32,15880,30
enb-cool.csv,5,0.001,0.826,2.70286,32,15871,30
enb-cool.csv,5,0.002,0.83,2.70286,32,15928,30
enb-cool.csv,5,0.003,0.833,2.70286,32,15942,30
enb-cool.csv,5,0.004,0.835,2.70286,32,15940,30
enb-cool.csv,5,0.005,0.83,2.70286,32,15934,30
enb-cool.csv,5,0.006,0.838,2.71188,30,15965,30
enb-cool.csv,5,0.007,0.841,2.71795,29,15962,30
enb-cool.csv,5,0.008,0.838,2.71795,29,16003,30
enb-cool.csv,5,0.009000000000000001,0.834,2.71795,29,16001,30
enb-cool.csv,5,0.01,0.846,2.72656,28,16012,30
enb-cool.csv,5,0.035,0.853,2.79709,25,16196,30
enb-cool.csv,5,0.060000000000000005,0.858,2.9764,22,16275,30
enb-cool.csv,5,0.085,0.867,3.13656,20,16225,30
enb-cool.csv,5,0.1,0.861,3.13656,20,16265,30
enb-cool.csv,5,0.2,0.856,4.53909,10,15798,30
enb-cool.csv,5,0.5,0.821,5.37359,8,14977,30
enb-cool.csv,6,0.0001,6.774,1.61268,62,145339,30
enb-cool.csv,6,0.0002,6.584,1.61268,62,145287,30
