dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
enb-heat.csv,2,0.0001,0.408,11.510623335629996,4,0,30
enb-heat.csv,2,0.0002,0.31,11.510623335629996,4,0,30
enb-heat.csv,2,0.0005,0.307,11.510623335629996,4,0,30
enb-heat.csv,2,0.001,0.27,11.510623335629996,4,0,30
enb-heat.csv,2,0.002,0.263,11.510623335629996,4,0,30
enb-heat.csv,2,0.003,0.26,11.510623335629996,4,0,30
enb-heat.csv,2,0.004,0.24,11.510623335629996,4,0,30
enb-heat.csv,2,0.005,0.242,11.510623335629996,4,0,30
enb-heat.csv,2,0.006,0.242,11.510623335629996,4,0,30
enb-heat.csv,2,0.007,0.208,11.510623335629996,4,0,30
enb-heat.csv,2,0.008,0.216,11.510623335629996,4,0,30
enb-heat.csv,2,0.009000000000000001,0.214,11.510623335629996,4,0,30
enb-heat.csv,2,0.01,0.227,11.510623335629996,4,0,30
enb-heat.csv,2,0.035,0.203,12.656662952483119,3,0,30
enb-heat.csv,2,0.060000000000000005,0.106,12.656662952483119,3,0,30
enb-heat.csv,2,0.085,0.032,21.242173376172687,2,0,30
enb-heat.csv,2,0.1,0.031,21.242173376172687,2,0,30
enb-heat.csv,2,0.2,0.023,21.242173376172687,2,0,30
enb-heat.csv,2,0.5,-2,-1,-1,-1,30
enb-heat.csv,3,0.0001,1.906,6.829505989242016,8,0,30
enb-heat.csv,3,0.0002,1.527,6.829505989242016,8,0,30
enb-heat.csv,3,0.0005,1.397,6.829505989242016,8,0,30
enb-heat.csv,3,0.001,1.258,6.829505989242016,8,0,30
enb-heat.csv,3,0.002,1.099,6.829505989242016,8,0,30
enb-heat.csv,3,0.003,1.058,7.046240042634381,7,0,30
enb-heat.csv,3,0.004,0.941,7.046240042634381,7,0,30
enb-heat.csv,3,0.005,0.923,7.046240042634381,7,0,30
enb-heat.csv,3,0.006,0.896,7.046240042634381,7,0,30
enb-heat.csv,3,0.007,0.851,7.046240042634381,7,0,30
enb-heat.csv,3,0.008,0.822,7.046240042634381,7,0,30
enb-heat.csv,3,0.009000000000000001,0.877,7.939700272889475,6,0,30
enb-heat.csv,3,0.01,0.81,7.939700272889475,6,0,30
enb-heat.csv,3,0.035,0.344,12.656662952483119,3,0,30
enb-heat.csv,3,0.060000000000000005,0.108,12.656662952483119,3,0,30
enb-heat.csv,3,0.085,0.032,21.242173376172687,2,0,30
enb-heat.csv,3,0.1,0.032,21.242173376172687,2,0,30
enb-heat.csv,3,0.2,0.023,21.242173376172687,2,0,30
enb-heat.csv,3,0.5,-2,-1,-1,-1,30
enb-heat.csv,4,0.0001,7.401,3.8192381179786974,15,0,30
enb-heat.csv,4,0.0002,6.627,3.8192381179786974,15,0,30
enb-heat.csv,4,0.0005,6.542,3.8192381179786974,15,0,30
enb-heat.csv,4,0.001,5.708,3.8192381179786974,15,0,30
enb-heat.csv,4,0.002,4.744,4.104100023607942,13,0,30
enb-heat.csv,4,0.003,4.371,4.518170842485869,11,0,30
enb-heat.csv,4,0.004,4.045,4.891087510061608,10,0,30
enb-heat.csv,4,0.005,3.875,5.316373971008463,9,0,30
enb-heat.csv,4,0.006,3.621,5.316373971008463,9,0,30
enb-heat.csv,4,0.007,3.48,5.928922415981259,8,0,30
enb-heat.csv,4,0.008,3.394,5.928922415981259,8,0,30
enb-heat.csv,4,0.009000000000000001,3.283,6.822382646236353,7,0,30
enb-heat.csv,4,0.01,3.204,6.822382646236353,7,0,30
enb-heat.csv,4,0.035,0.355,12.656662952483119,3,0,30
enb-heat.csv,4,0.060000000000000005,0.106,12.656662952483119,3,0,30
enb-heat.csv,4,0.085,0.032,21.242173376172687,2,0,30
enb-heat.csv,4,0.1,0.031,21.242173376172687,2,0,30
enb-heat.csv,4,0.2,0.023,21.242173376172687,2,0,30
enb-heat.csv,4,0.5,-2,-1,-1,-1,30
enb-heat.csv,5,0.0001,31,-1,-1,-1,30
enb-heat.csv,5,0.0002,31,-1,-1,-1,30
enb-heat.csv,5,0.0005,31,-1,-1,-1,30
enb-heat.csv,5,0.001,31,-1,-1,-1,30
enb-heat.csv,5,0.002,27.89,2.159211113403437,15,0,30
enb-heat.csv,5,0.003,22.877,2.159211113403437,15,0,30
enb-heat.csv,5,0.004,19.929,3.333610194927733,12,0,30
enb-heat.csv,5,0.005,17.578,3.7588966558745884,11,0,30
enb-heat.csv,5,0.006,15.776,4.283163159583541,10,0,30
enb-heat.csv,5,0.007,14.507,4.8977097624992165,9,0,30
enb-heat.csv,5,0.008,13.625,4.8977097624992165,9,0,30
enb-heat.csv,5,0.009000000000000001,12.928,5.791169992754309,8,0,30
enb-heat.csv,5,0.01,12.278,5.791169992754309,8,0,30
enb-heat.csv,5,0.035,0.392,12.656662952483119,3,0,30
enb-heat.csv,5,0.060000000000000005,0.107,12.656662952483119,3,0,30
enb-heat.csv,5,0.085,0.033,21.242173376172687,2,0,30
enb-heat.csv,5,0.1,0.031,21.242173376172687,2,0,30
enb-heat.csv,5,0.2,0.024,21.242173376172687,2,0,30
enb-heat.csv,5,0.5,-2,-1,-1,-1,30
enb-heat.csv,6,0.0001,31,-1,-1,-1,30
enb-heat.csv,6,0.0002,31,-1,-1,-1,30
enb-heat.csv,6,0.0005,31,-1,-1,-1,30
enb-heat.csv,6,0.001,31,-1,-1,-1,30
enb-heat.csv,6,0.002,31,-1,-1,-1,30
enb-heat.csv,6,0.003,31,-1,-1,-1,30
enb-heat.csv,6,0.004,31,-1,-1,-1,30
enb-heat.csv,6,0.005,31,-1,-1,-1,30
enb-heat.csv,6,0.006,31,-1,-1,-1,30
enb-heat.csv,6,0.007,31,-1,-1,-1,30
enb-heat.csv,6,0.008,31,-1,-1,-1,30
enb-heat.csv,6,0.009000000000000001,31,-1,-1,-1,30
enb-heat.csv,6,0.01,31,-1,-1,-1,30
enb-heat.csv,6,0.035,0.392,12.656662952483119,3,0,30
enb-heat.csv,6,0.060000000000000005,0.105,12.656662952483119,3,0,30
enb-heat.csv,6,0.085,0.031,21.242173376172687,2,0,30
enb-heat.csv,6,0.1,0.032,21.242173376172687,2,0,30
enb-heat.csv,6,0.2,0.024,21.242173376172687,2,0,30
enb-heat.csv,6,0.5,-2,-1,-1,-1,30
enb-heat.csv,7,0.0001,31,-1,-1,-1,30
enb-heat.csv,7,0.0002,31,-1,-1,-1,30
enb-heat.csv,7,0.0005,31,-1,-1,-1,30
enb-heat.csv,7,0.001,31,-1,-1,-1,30
enb-heat.csv,7,0.002,31,-1,-1,-1,30
enb-heat.csv,7,0.003,31,-1,-1,-1,30
enb-heat.csv,7,0.004,31,-1,-1,-1,30
enb-heat.csv,7,0.005,31,-1,-1,-1,30
enb-heat.csv,7,0.006,31,-1,-1,-1,30
enb-heat.csv,7,0.007,31,-1,-1,-1,30
enb-heat.csv,7,0.008,31,-1,-1,-1,30
enb-heat.csv,7,0.009000000000000001,31,-1,-1,-1,30
enb-heat.csv,7,0.01,31,-1,-1,-1,30
