dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
enb-heat.csv,2,0.0001,0.001,11.5106,4,1,30
enb-heat.csv,2,0.0002,0.001,11.5106,4,1,30
enb-heat.csv,2,0.0005,0.0,11.5106,4,1,30
enb-heat.csv,2,0.001,0.001,11.5106,4,1,30
enb-heat.csv,2,0.002,0.001,11.5106,4,1,30
enb-heat.csv,2,0.003,0.0,11.5106,4,1,30
enb-heat.csv,2,0.004,0.001,11.5106,4,1,30
enb-heat.csv,2,0.005,0.001,11.5106,4,1,30
enb-heat.csv,2,0.006,0.0,11.5106,4,1,30
enb-heat.csv,2,0.007,0.001,11.5106,4,1,30
enb-heat.csv,2,0.008,0.001,11.5106,4,1,30
enb-heat.csv,2,0.009000000000000001,0.001,11.5106,4,1,30
enb-heat.csv,2,0.01,0.001,11.5106,4,1,30
enb-heat.csv,2,0.035,0.001,12.6567,3,1,30
enb-heat.csv,2,0.060000000000000005,0.001,12.6567,3,1,30
enb-heat.csv,2,0.085,0.001,21.2422,2,1,30
enb-heat.csv,2,0.1,0.001,21.2422,2,1,30
enb-heat.csv,2,0.2,0.001,21.2422,2,1,30
enb-heat.csv,2,0.5,0.001,21.2422,2,1,30
enb-heat.csv,3,0.0001,0.004,6.82951,8,53,30
enb-heat.csv,3,0.0002,0.004,6.82951,8,53,30
enb-heat.csv,3,0.0005,0.004,6.82951,8,53,30
enb-heat.csv,3,0.001,0.004,6.82951,8,53,30
enb-heat.csv,3,0.002,0.004,6.82951,8,53,30
enb-heat.csv,3,0.003,0.004,7.04624,7,53,30
enb-heat.csv,3,0.004,0.004,7.04624,7,53,30
enb-heat.csv,3,0.005,0.004,7.04624,7,53,30
enb-heat.csv,3,0.006,0.004,7.04624,7,53,30
enb-heat.csv,3,0.007,0.004,7.04624,7,53,30
enb-heat.csv,3,0.008,0.004,7.04624,7,53,30
enb-heat.csv,3,0.009000000000000001,0.004,7.9397,6,53,30
enb-heat.csv,3,0.01,0.004,7.9397,6,53,30
enb-heat.csv,3,0.035,0.004,12.6567,3,53,30
enb-heat.csv,3,0.060000000000000005,0.004,12.6567,3,53,30
