dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
enb-heat.csv,2,0.0001,0.001,11.5106,4,1,30
enb-heat.csv,2,0.0002,0.0,11.5106,4,1,30
enb-heat.csv,2,0.0005,0.001,11.5106,4,1,30
enb-heat.csv,2,0.001,0.0,11.5106,4,1,30
enb-heat.csv,2,0.002,0.001,11.5106,4,1,30
enb-heat.csv,2,0.003,0.0,11.5106,4,1,30
enb-heat.csv,2,0.004,0.0,11.5106,4,1,30
enb-heat.csv,2,0.005,0.0,11.5106,4,1,30
enb-heat.csv,2,0.006,0.001,11.5106,4,1,30
enb-heat.csv,2,0.007,0.0,11.5106,4,1,30
enb-heat.csv,2,0.008,0.001,11.5106,4,1,30
enb-heat.csv,2,0.009000000000000001,0.001,11.5106,4,1,30
enb-heat.csv,2,0.01,0.001,11.5106,4,1,30
enb-heat.csv,2,0.035,0.0,12.6567,3,1,30
enb-heat.csv,2,0.060000000000000005,0.0,12.6567,3,1,30
enb-heat.csv,2,0.085,0.0,21.2422,2,1,30
enb-heat.csv,2,0.1,0.001,21.2422,2,1,30
enb-heat.csv,2,0.2,0.001,21.2422,2,1,30
enb-heat.csv,2,0.5,0.001,21.2422,2,1,30
enb-heat.csv,3,0.0001,0.003,6.82951,8,52,30
enb-heat.csv,3,0.0002,0.004,6.82951,8,52,30
enb-heat.csv,3,0.0005,0.004,6.82951,8,52,30
enb-heat.csv,3,0.001,0.004,6.82951,8,52,30
enb-heat.csv,3,0.002,0.004,6.82951,8,52,30
enb-heat.csv,3,0.003,0.004,7.04624,7,52,30
enb-heat.csv,3,0.004,0.004,7.04624,7,52,30
enb-heat.csv,3,0.005,0.004,7.04624,7,52,30
enb-heat.csv,3,0.006,0.004,7.04624,7,52,30
enb-heat.csv,3,0.007,0.004,7.04624,7,52,30
enb-heat.csv,3,0.008,0.005,7.04624,7,52,30
enb-heat.csv,3,0.009000000000000001,0.004,7.9397,6,52,30
enb-heat.csv,3,0.01,0.005,7.9397,6,52,30
enb-heat.csv,3,0.035,0.004,12.6567,3,52,30
enb-heat.csv,3,0.060000000000000005,0.004,12.6567,3,50,30
enb-heat.csv,3,0.085,0.004,21.2422,2,50,30
enb-heat.csv,3,0.1,0.004,21.2422,2,50,30
enb-heat.csv,3,0.2,0.004,21.2422,2,50,30
enb-heat.csv,3,0.5,0.003,21.2422,2,50,30
enb-heat.csv,4,0.0001,0.06,3.81924,15,1162,30
enb-heat.csv,4,0.0002,0.059,3.81924,15,1162,30
enb-heat.csv,4,0.0005,0.059,3.81924,15,1162,30
enb-heat.csv,4,0.001,0.06,3.81924,15,1168,30
enb-heat.csv,4,0.002,0.059,4.1041,13,1170,30
enb-heat.csv,4,0.003,0.059,4.51817,11,1173,30
enb-heat.csv,4,0.004,0.058,4.89109,10,1138,30
enb-heat.csv,4,0.005,0.06,5.31637,9,1142,30
enb-heat.csv,4,0.006,0.059,5.31637,9,1149,30
enb-heat.csv,4,0.007,0.06,5.92892,8,1154,30
enb-heat.csv,4,0.008,0.059,5.92892,8,1158,30
enb-heat.csv,4,0.009000000000000001,0.059,6.82238,7,1160,30
enb-heat.csv,4,0.01,0.059,6.82238,7,1157,30
enb-heat.csv,4,0.035,0.054,12.6567,3,989,30
enb-heat.csv,4,0.060000000000000005,0.05,12.6567,3,886,30
enb-heat.csv,4,0.085,0.047,21.2422,2,812,30
enb-heat.csv,4,0.1,0.044,21.2422,2,753,30
enb-heat.csv,4,0.2,0.036,21.2422,2,570,30
enb-heat.csv,4,0.5,0.01,21.2422,2,0,30
enb-heat.csv,5,0.0001,0.609,1.15142,24,14839,30
enb-heat.csv,5,0.0002,0.612,1.16586,23,14905,30
enb-heat.csv,5,0.0005,0.624,1.16586,23,15190,30
enb-heat.csv,5,0.001,0.634,1.30171,21,15510,30
enb-heat.csv,5,0.002,0.644,2.15921,15,15603,30
enb-heat.csv,5,0.003,0.654,2.15921,15,15597,30
enb-heat.csv,5,0.004,0.648,3.33361,12,15137,30
enb-heat.csv,5,0.005,0.641,3.7589,11,14942,30
enb-heat.csv,5,0.006,0.642,4.28316,10,14789,30
enb-heat.csv,5,0.007,0.642,4.89771,9,14692,30
enb-heat.csv,5,0.008,0.636,4.89771,9,14571,30
enb-heat.csv,5,0.009000000000000001,0.636,5.79117,8,14266,30
enb-heat.csv,5,0.01,0.615,5.79117,8,13860,30
enb-heat.csv,5,0.035,0.478,12.6567,3,9866,30
enb-heat.csv,5,0.060000000000000005,0.332,12.6567,3,5849,30
enb-heat.csv,5,0.085,0.263,21.2422,2,4153,30
enb-heat.csv,5,0.1,0.233,21.2422,2,3791,30
enb-heat.csv,5,0.2,0.102,21.2422,2,659,30
enb-heat.csv,5,0.5,0.01,21.2422,2,0,30
enb-heat.csv,6,0.0001,4.883,0.322786,33,135416,30
enb-heat.csv,6,0.0002,4.946,0.36649,30,136149,30
enb-heat.csv,6,0.0005,5.2,0.50116,27,140923,30
enb-heat.csv,6,0.001,5.323,0.784143,23,142349,30
enb-heat.csv,6,0.002,5.312,1.81441,16,138280,30
enb-heat.csv,6,0.003,5.258,1.81441,16,133818,30
enb-heat.csv,6,0.004,5.083,3.32975,12,126366,30
enb-heat.csv,6,0.005,5.009,3.67812,11,123109,30
enb-heat.csv,6,0.006,4.99,4.28316,10,120259,30
enb-heat.csv,6,0.007,4.955,4.89771,9,118089,30
enb-heat.csv,6,0.008,4.851,5.79117,8,115151,30
enb-heat.csv,6,0.009000000000000001,4.786,5.79117,8,111115,30
enb-heat.csv,6,0.01,4.682,5.79117,8,106614,30
enb-heat.csv,6,0.035,2.45,12.6567,3,41630,30
enb-heat.csv,6,0.060000000000000005,1.204,12.6567,3,14912,30
enb-heat.csv,6,0.085,0.602,21.2422,2,1524,30
enb-heat.csv,6,0.1,0.488,21.2422,2,0,30
enb-heat.csv,6,0.2,0.145,21.2422,2,0,30
enb-heat.csv,6,0.5,0.01,21.2422,2,0,30
enb-heat.csv,7,0.0001,31,-1,-1,-1,30
enb-heat.csv,7,0.0002,31,-1,-1,-1,30
enb-heat.csv,7,0.0005,31,-1,-1,-1,30
enb-heat.csv,7,0.001,31,-1,-1,-1,30
enb-heat.csv,7,0.002,31,-1,-1,-1,30
enb-heat.csv,7,0.003,31,-1,-1,-1,30
enb-heat.csv,7,0.004,31,-1,-1,-1,30
enb-heat.csv,7,0.005,31,-1,-1,-1,30
enb-heat.csv,7,0.006,31,-1,-1,-1,30
enb-heat.csv,7,0.007,31,-1,-1,-1,30
enb-heat.csv,7,0.008,31,-1,-1,-1,30
enb-heat.csv,7,0.009000000000000001,31,-1,-1,-1,30
enb-heat.csv,7,0.01,31,-1,-1,-1,30
enb-heat.csv,7,0.035,6.67,12.6567,3,44394,30
enb-heat.csv,7,0.060000000000000005,2.24,12.6567,3,0,30
enb-heat.csv,7,0.085,0.655,21.2422,2,0,30
enb-heat.csv,7,0.1,0.503,21.2422,2,0,30
enb-heat.csv,7,0.2,0.146,21.2422,2,0,30
enb-heat.csv,7,0.5,0.011,21.2422,2,0,30
enb-heat.csv,8,0.0001,31,-1,-1,-1,30
enb-heat.csv,8,0.0002,31,-1,-1,-1,30
enb-heat.csv,8,0.0005,31,-1,-1,-1,30
enb-heat.csv,8,0.001,31,-1,-1,-1,30
enb-heat.csv,8,0.002,31,-1,-1,-1,30
enb-heat.csv,8,0.003,31,-1,-1,-1,30
enb-heat.csv,8,0.004,31,-1,-1,-1,30
enb-heat.csv,8,0.005,31,-1,-1,-1,30
enb-heat.csv,8,0.006,31,-1,-1,-1,30
enb-heat.csv,8,0.007,31,-1,-1,-1,30
enb-heat.csv,8,0.008,31,-1,-1,-1,30
enb-heat.csv,8,0.009000000000000001,31,-1,-1,-1,30
enb-heat.csv,8,0.01,31,-1,-1,-1,30
enb-heat.csv,8,0.035,9.884,12.6567,3,1761,30
enb-heat.csv,8,0.060000000000000005,2.231,12.6567,3,0,30
enb-heat.csv,8,0.085,0.647,21.2422,2,0,30
enb-heat.csv,8,0.1,0.486,21.2422,2,0,30
enb-heat.csv,8,0.2,0.147,21.2422,2,0,30
