dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
insurance.csv,2,0.0001,0.141,40496967.36109293,4,0,30
insurance.csv,2,0.0002,0.126,40496967.36109293,4,0,30
insurance.csv,2,0.0005,0.117,40496967.36109293,4,0,30
insurance.csv,2,0.001,0.108,40496967.36109293,4,0,30
insurance.csv,2,0.002,0.1,40496967.36109293,4,0,30
insurance.csv,2,0.003,0.091,40496967.36109293,4,0,30
insurance.csv,2,0.004,0.094,40496967.36109293,4,0,30
insurance.csv,2,0.005,0.09,40496967.36109293,4,0,30
insurance.csv,2,0.006,0.088,40496967.36109293,4,0,30
insurance.csv,2,0.007,0.088,40496967.36109293,4,0,30
insurance.csv,2,0.008,0.088,40496967.36109293,4,0,30
insurance.csv,2,0.009000000000000001,0.09,40496967.36109293,4,0,30
insurance.csv,2,0.01,0.083,40496967.36109293,4,0,30
insurance.csv,2,0.035,0.073,40496967.36109293,4,0,30
insurance.csv,2,0.060000000000000005,0.051,55720715.99050351,2,0,30
insurance.csv,2,0.085,0.027,55720715.99050351,2,0,30
insurance.csv,2,0.1,0.017,55720715.99050351,2,0,30
insurance.csv,2,0.2,0.013,55720715.99050351,2,0,30
insurance.csv,2,0.5,-2,-1,-1,-1,30
insurance.csv,3,0.0001,0.5,33666846.38269403,8,0,30
insurance.csv,3,0.0002,0.466,33666846.38269403,8,0,30
insurance.csv,3,0.0005,0.354,33666846.38269403,8,0,30
insurance.csv,3,0.001,0.316,33793578.97687575,7,0,30
insurance.csv,3,0.002,0.298,33793578.97687575,7,0,30
insurance.csv,3,0.003,0.284,33793578.97687575,7,0,30
insurance.csv,3,0.004,0.29,33793578.97687575,7,0,30
insurance.csv,3,0.005,0.282,33793578.97687575,7,0,30
insurance.csv,3,0.006,0.28,33793578.97687575,7,0,30
insurance.csv,3,0.007,0.262,33793578.97687575,7,0,30
insurance.csv,3,0.008,0.269,33793578.97687575,7,0,30
insurance.csv,3,0.009000000000000001,0.265,33793578.97687575,7,0,30
insurance.csv,3,0.01,0.267,33793578.97687575,7,0,30
insurance.csv,3,0.035,0.146,40496967.36109293,4,0,30
insurance.csv,3,0.060000000000000005,0.065,55720715.99050351,2,0,30
insurance.csv,3,0.085,0.025,55720715.99050351,2,0,30
insurance.csv,3,0.1,0.017,55720715.99050351,2,0,30
insurance.csv,3,0.2,0.013,55720715.99050351,2,0,30
insurance.csv,3,0.5,-2,-1,-1,-1,30
insurance.csv,4,0.0001,1.591,28414973.781455077,16,0,30
insurance.csv,4,0.0002,1.517,28414973.781455077,16,0,30
insurance.csv,4,0.0005,1.12,28487750.363171957,15,0,30
insurance.csv,4,0.001,1.063,28788384.9947271,12,0,30
insurance.csv,4,0.002,0.98,28788384.9947271,12,0,30
insurance.csv,4,0.003,0.956,29889173.421323277,9,0,30
insurance.csv,4,0.004,0.936,30387489.068426307,8,0,30
insurance.csv,4,0.005,0.871,30387489.068426307,8,0,30
insurance.csv,4,0.006,0.898,30387489.068426307,8,0,30
insurance.csv,4,0.007,0.897,30387489.068426307,8,0,30
insurance.csv,4,0.008,0.837,30387489.068426307,8,0,30
insurance.csv,4,0.009000000000000001,0.829,30387489.068426307,8,0,30
insurance.csv,4,0.01,0.803,30387489.068426307,8,0,30
insurance.csv,4,0.035,0.184,40496967.36109293,4,0,30
insurance.csv,4,0.060000000000000005,0.063,55720715.99050351,2,0,30
insurance.csv,4,0.085,0.026,55720715.99050351,2,0,30
insurance.csv,4,0.1,0.016,55720715.99050351,2,0,30
