dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
insurance.csv,2,0.0001,0.001,40497000.0,4,1,30
insurance.csv,2,0.0002,0.001,40497000.0,4,1,30
insurance.csv,2,0.0005,0.001,40497000.0,4,1,30
insurance.csv,2,0.001,0.001,40497000.0,4,1,30
insurance.csv,2,0.002,0.001,40497000.0,4,1,30
insurance.csv,2,0.003,0.001,40497000.0,4,1,30
insurance.csv,2,0.004,0.001,40497000.0,4,1,30
insurance.csv,2,0.005,0.001,40497000.0,4,1,30
insurance.csv,2,0.006,0.001,40497000.0,4,1,30
insurance.csv,2,0.007,0.001,40497000.0,4,1,30
insurance.csv,2,0.008,0.001,40497000.0,4,1,30
insurance.csv,2,0.009000000000000001,0.002,40497000.0,4,1,30
insurance.csv,2,0.01,0.001,40497000.0,4,1,30
insurance.csv,2,0.035,0.001,40497000.0,4,1,30
insurance.csv,2,0.060000000000000005,0.001,40497000.0,4,1,30
insurance.csv,2,0.085,0.001,40497000.0,4,1,30
insurance.csv,2,0.1,0.001,40497000.0,4,1,30
insurance.csv,2,0.2,0.001,40497000.0,4,1,30
insurance.csv,2,0.5,0.001,40497000.0,4,1,30
insurance.csv,3,0.0001,0.006,33666800.0,8,32,30
insurance.csv,3,0.0002,0.006,33666800.0,8,32,30
insurance.csv,3,0.0005,0.005,33666800.0,8,32,30
insurance.csv,3,0.001,0.005,33793600.0,7,31,30
insurance.csv,3,0.002,0.005,33793600.0,7,31,30
insurance.csv,3,0.003,0.006,33793600.0,7,31,30
insurance.csv,3,0.004,0.005,33793600.0,7,31,30
insurance.csv,3,0.005,0.006,33793600.0,7,31,30
insurance.csv,3,0.006,0.006,33793600.0,7,31,30
insurance.csv,3,0.007,0.006,33793600.0,7,31,30
insurance.csv,3,0.008,0.006,33793600.0,7,31,30
insurance.csv,3,0.009000000000000001,0.006,33793600.0,7,31,30
insurance.csv,3,0.01,0.005,33793600.0,7,31,30
insurance.csv,3,0.035,0.004,40188100.0,8,16,30
insurance.csv,3,0.060000000000000005,0.006,40188100.0,8,16,30
insurance.csv,3,0.085,0.004,40188100.0,8,15,30
insurance.csv,3,0.1,0.005,40188100.0,8,15,30
insurance.csv,3,0.2,0.004,40188100.0,8,10,30
insurance.csv,3,0.5,0.005,33666800.0,8,6,30
insurance.csv,4,0.0001,0.048,28415000.0,16,423,30
insurance.csv,4,0.0002,0.047,28415000.0,16,422,30
insurance.csv,4,0.0005,0.045,28487800.0,15,416,30
insurance.csv,4,0.001,0.045,28788400.0,12,400,30
