dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
insurance.csv,2,0.0001,0.001,4.0497,4,1,30
insurance.csv,2,0.0002,0.001,4.0497,4,1,30
insurance.csv,2,0.0005,0.001,4.0497,4,1,30
insurance.csv,2,0.001,0.001,4.0497,4,1,30
insurance.csv,2,0.002,0.001,4.0497,4,1,30
insurance.csv,2,0.003,0.001,4.0497,4,1,30
insurance.csv,2,0.004,0.001,4.0497,4,1,30
insurance.csv,2,0.005,0.001,4.0497,4,1,30
insurance.csv,2,0.006,0.001,4.0497,4,1,30
insurance.csv,2,0.007,0.001,4.0497,4,1,30
insurance.csv,2,0.008,0.001,4.0497,4,1,30
insurance.csv,2,0.009000000000000001,0.001,4.0497,4,1,30
insurance.csv,2,0.01,0.001,4.0497,4,1,30
insurance.csv,2,0.035,0.001,4.0497,4,1,30
insurance.csv,2,0.060000000000000005,0.001,4.0497,4,1,30
insurance.csv,2,0.085,0.001,4.0497,4,1,30
insurance.csv,2,0.1,0.0,4.0497,4,1,30
insurance.csv,2,0.2,0.001,4.0497,4,1,30
insurance.csv,2,0.5,0.001,4.0497,4,1,30
insurance.csv,3,0.0001,0.005,3.36668,8,32,30
insurance.csv,3,0.0002,0.004,3.36668,8,32,30
insurance.csv,3,0.0005,0.004,3.36668,8,32,30
insurance.csv,3,0.001,0.004,3.36668,8,32,30
insurance.csv,3,0.002,0.004,3.36668,8,32,30
insurance.csv,3,0.003,0.005,3.36668,8,32,30
insurance.csv,3,0.004,0.004,3.36668,8,32,30
insurance.csv,3,0.005,0.005,3.36668,8,32,30
insurance.csv,3,0.006,0.004,3.36668,8,32,30
insurance.csv,3,0.007,0.004,3.36668,8,32,30
insurance.csv,3,0.008,0.004,3.36668,8,32,30
insurance.csv,3,0.009000000000000001,0.004,3.36668,8,32,30
insurance.csv,3,0.01,0.004,3.36668,8,32,30
insurance.csv,3,0.035,0.005,3.36668,8,32,30
insurance.csv,3,0.060000000000000005,0.004,3.36668,8,32,30
insurance.csv,3,0.085,0.003,3.36668,8,32,30
insurance.csv,3,0.1,0.004,3.36668,8,32,30
insurance.csv,3,0.2,0.004,3.36668,8,32,30
insurance.csv,3,0.5,0.004,3.36668,8,32,30
insurance.csv,4,0.0001,0.033,2.8415,16,440,30
insurance.csv,4,0.0002,0.033,2.8415,16,440,30
insurance.csv,4,0.0005,0.035,2.8415,16,440,30
insurance.csv,4,0.001,0.035,2.8415,16,440,30
insurance.csv,4,0.002,0.034,2.8415,16,440,30
insurance.csv,4,0.003,0.035,2.8415,16,440,30
insurance.csv,4,0.004,0.034,2.8415,16,440,30
insurance.csv,4,0.005,0.035,2.8415,16,440,30
insurance.csv,4,0.006,0.034,2.8415,16,440,30
insurance.csv,4,0.007,0.034,2.8415,16,440,30
insurance.csv,4,0.008,0.034,2.8415,16,440,30
insurance.csv,4,0.009000000000000001,0.035,2.8415,16,440,30
insurance.csv,4,0.01,0.034,2.8415,16,440,30
insurance.csv,4,0.035,0.035,2.8415,16,440,30
insurance.csv,4,0.060000000000000005,0.035,2.8415,16,440,30
insurance.csv,4,0.085,0.033,2.8415,16,440,30
insurance.csv,4,0.1,0.037,2.8415,16,440,30
insurance.csv,4,0.2,0.035,2.8415,16,440,30
insurance.csv,4,0.5,0.034,2.8415,16,440,30
insurance.csv,5,0.0001,0.206,2.60658,32,3528,30
