dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
insurance.csv,2,0.0001,0.001,40497000.0,4,1,30
insurance.csv,2,0.0002,0.001,40497000.0,4,1,30
insurance.csv,2,0.0005,0.001,40497000.0,4,1,30
insurance.csv,2,0.001,0.001,40497000.0,4,1,30
insurance.csv,2,0.002,0.001,40497000.0,4,1,30
insurance.csv,2,0.003,0.001,40497000.0,4,1,30
insurance.csv,2,0.004,0.001,40497000.0,4,1,30
insurance.csv,2,0.005,0.0,40497000.0,4,1,30
insurance.csv,2,0.006,0.001,40497000.0,4,1,30
insurance.csv,2,0.007,0.001,40497000.0,4,1,30
insurance.csv,2,0.008,0.0,40497000.0,4,1,30
insurance.csv,2,0.009000000000000001,0.001,40497000.0,4,1,30
insurance.csv,2,0.01,0.001,40497000.0,4,1,30
insurance.csv,2,0.035,0.001,40497000.0,4,1,30
insurance.csv,2,0.060000000000000005,0.001,40497000.0,4,1,30
insurance.csv,2,0.085,0.001,40497000.0,4,1,30
insurance.csv,2,0.1,0.001,40497000.0,4,1,30
insurance.csv,2,0.2,0.001,40497000.0,4,1,30
insurance.csv,2,0.5,0.001,40497000.0,4,1,30
insurance.csv,3,0.0001,0.002,33666800.0,8,32,30
insurance.csv,3,0.0002,0.002,33666800.0,8,32,30
insurance.csv,3,0.0005,0.002,33666800.0,8,32,30
insurance.csv,3,0.001,0.003,33793600.0,7,32,30
insurance.csv,3,0.002,0.003,33793600.0,7,32,30
insurance.csv,3,0.003,0.002,33793600.0,7,32,30
insurance.csv,3,0.004,0.003,33793600.0,7,32,30
insurance.csv,3,0.005,0.003,33793600.0,7,32,30
insurance.csv,3,0.006,0.002,33793600.0,7,32,30
insurance.csv,3,0.007,0.002,33793600.0,7,32,30
insurance.csv,3,0.008,0.002,33793600.0,7,32,30
insurance.csv,3,0.009000000000000001,0.003,33793600.0,7,32,30
insurance.csv,3,0.01,0.003,33793600.0,7,32,30
insurance.csv,3,0.035,0.003,33666800.0,8,32,30
insurance.csv,3,0.060000000000000005,0.002,33666800.0,8,32,30
insurance.csv,3,0.085,0.002,33666800.0,8,32,30
insurance.csv,3,0.1,0.002,33666800.0,8,32,30
insurance.csv,3,0.2,0.002,33666800.0,8,32,30
insurance.csv,3,0.5,0.002,33666800.0,8,32,30
insurance.csv,4,0.0001,0.023,28415000.0,16,458,30
insurance.csv,4,0.0002,0.024,28415000.0,16,458,30
insurance.csv,4,0.0005,0.022,28487800.0,15,458,30
insurance.csv,4,0.001,0.023,28788400.0,12,458,30
