dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
insurance.csv,2,0.0001,0.001,40497000.0,4,1,30
insurance.csv,2,0.0002,0.0,40497000.0,4,1,30
insurance.csv,2,0.0005,0.001,40497000.0,4,1,30
insurance.csv,2,0.001,0.001,40497000.0,4,1,30
insurance.csv,2,0.002,0.001,40497000.0,4,1,30
insurance.csv,2,0.003,0.001,40497000.0,4,1,30
insurance.csv,2,0.004,0.001,40497000.0,4,1,30
insurance.csv,2,0.005,0.001,40497000.0,4,1,30
insurance.csv,2,0.006,0.001,40497000.0,4,1,30
insurance.csv,2,0.007,0.001,40497000.0,4,1,30
insurance.csv,2,0.008,0.001,40497000.0,4,1,30
insurance.csv,2,0.009000000000000001,0.001,40497000.0,4,1,30
insurance.csv,2,0.01,0.001,40497000.0,4,1,30
insurance.csv,2,0.035,0.001,40497000.0,4,1,30
insurance.csv,2,0.060000000000000005,0.001,40497000.0,4,1,30
insurance.csv,2,0.085,0.0,40497000.0,4,1,30
insurance.csv,2,0.1,0.001,40497000.0,4,1,30
insurance.csv,2,0.2,0.001,40497000.0,4,1,30
insurance.csv,2,0.5,0.001,40497000.0,4,1,30
insurance.csv,3,0.0001,0.003,33666800.0,8,32,30
insurance.csv,3,0.0002,0.002,33666800.0,8,32,30
insurance.csv,3,0.0005,0.003,33666800.0,8,32,30
insurance.csv,3,0.001,0.003,33793600.0,7,32,30
insurance.csv,3,0.002,0.003,33793600.0,7,32,30
insurance.csv,3,0.003,0.003,33793600.0,7,32,30
insurance.csv,3,0.004,0.002,33793600.0,7,32,30
insurance.csv,3,0.005,0.002,33793600.0,7,32,30
insurance.csv,3,0.006,0.003,33793600.0,7,32,30
insurance.csv,3,0.007,0.003,33793600.0,7,32,30
insurance.csv,3,0.008,0.003,33793600.0,7,32,30
insurance.csv,3,0.009000000000000001,0.003,33793600.0,7,32,30
insurance.csv,3,0.01,0.003,33793600.0,7,32,30
insurance.csv,3,0.035,0.003,33666800.0,8,32,30
insurance.csv,3,0.060000000000000005,0.003,33666800.0,8,32,30
insurance.csv,3,0.085,0.003,33666800.0,8,32,30
insurance.csv,3,0.1,0.003,33666800.0,8,32,30
insurance.csv,3,0.2,0.003,33666800.0,8,32,30
insurance.csv,3,0.5,0.003,33666800.0,8,32,30
insurance.csv,4,0.0001,0.024,28415000.0,16,440,30
insurance.csv,4,0.0002,0.023,28415000.0,16,440,30
insurance.csv,4,0.0005,0.023,28487800.0,15,440,30
insurance.csv,4,0.001,0.023,28788400.0,12,440,30
insurance.csv,4,0.002,0.022,28788400.0,12,439,30
insurance.csv,4,0.003,0.023,29889200.0,9,437,30
insurance.csv,4,0.004,0.023,30387500.0,8,441,30
insurance.csv,4,0.005,0.023,30387500.0,8,440,30
insurance.csv,4,0.006,0.024,30387500.0,8,440,30
insurance.csv,4,0.007,0.024,30387500.0,8,439,30
insurance.csv,4,0.008,0.023,30387500.0,8,439,30
insurance.csv,4,0.009000000000000001,0.023,30387500.0,8,439,30
insurance.csv,4,0.01,0.024,30387500.0,8,438,30
insurance.csv,4,0.035,-1,-1,-1,-1,30
insurance.csv,4,0.060000000000000005,-1,-1,-1,-1,30
insurance.csv,4,0.085,-1,-1,-1,-1,30
insurance.csv,4,0.1,-1,-1,-1,-1,30
insurance.csv,4,0.2,0.017,33779800.0,9,218,30
insurance.csv,4,0.5,0.006,55720700.0,2,0,30
insurance.csv,5,0.0001,0.152,26065800.0,32,3549,30
insurance.csv,5,0.0002,0.168,26102200.0,30,3555,30
insurance.csv,5,0.0005,0.171,26201400.0,28,3565,30
insurance.csv,5,0.001,0.165,27110400.0,19,3572,30
insurance.csv,5,0.002,0.164,28025000.0,14,3559,30
insurance.csv,5,0.003,0.161,29889200.0,9,3552,30
insurance.csv,5,0.004,0.161,30387500.0,8,3517,30
insurance.csv,5,0.005,0.16,30387500.0,8,3498,30
insurance.csv,5,0.006,0.161,30387500.0,8,3479,30
insurance.csv,5,0.007,0.163,30387500.0,8,3432,30
insurance.csv,5,0.008,0.156,30387500.0,8,3404,30
insurance.csv,5,0.009000000000000001,0.156,30387500.0,8,3398,30
insurance.csv,5,0.01,0.157,30387500.0,8,3391,30
insurance.csv,5,0.035,-1,-1,-1,-1,30
insurance.csv,5,0.060000000000000005,-1,-1,-1,-1,30
insurance.csv,5,0.085,-1,-1,-1,-1,30
insurance.csv,5,0.1,-1,-1,-1,-1,30
insurance.csv,5,0.2,0.028,55720700.0,2,0,30
insurance.csv,5,0.5,0.007,55720700.0,2,0,30
insurance.csv,6,0.0001,0.736,22799500.0,61,19473,30
insurance.csv,6,0.0002,0.735,22890100.0,56,19528,30
insurance.csv,6,0.0005,0.74,23560400.0,43,19640,30
insurance.csv,6,0.001,0.743,25410400.0,26,19489,30
insurance.csv,6,0.002,0.724,27415700.0,16,18868,30
insurance.csv,6,0.003,0.709,29889200.0,9,18717,30
insurance.csv,6,0.004,0.699,30387500.0,8,18378,30
insurance.csv,6,0.005,0.694,30387500.0,8,18096,30
insurance.csv,6,0.006,0.676,30387500.0,8,17762,30
insurance.csv,6,0.007,0.679,30387500.0,8,17625,30
insurance.csv,6,0.008,0.67,30387500.0,8,17526,30
insurance.csv,6,0.009000000000000001,0.677,30387500.0,8,17262,30
insurance.csv,6,0.01,0.664,30387500.0,8,16998,30
insurance.csv,6,0.035,-1,-1,-1,-1,30
insurance.csv,6,0.060000000000000005,-1,-1,-1,-1,30
insurance.csv,6,0.085,0.287,55720700.0,2,1022,30
insurance.csv,6,0.1,0.189,55720700.0,2,606,30
insurance.csv,6,0.2,0.029,55720700.0,2,0,30
insurance.csv,6,0.5,0.006,55720700.0,2,0,30
insurance.csv,7,0.0001,2.884,19769600.0,103,75775,30
insurance.csv,7,0.0002,2.877,19923400.0,95,75684,30
insurance.csv,7,0.0005,2.843,21558300.0,62,75075,30
insurance.csv,7,0.001,2.806,24534200.0,31,73819,30
insurance.csv,7,0.002,2.792,27415100.0,16,72381,30
insurance.csv,7,0.003,2.776,29889200.0,9,70054,30
insurance.csv,7,0.004,2.715,30387500.0,8,68045,30
insurance.csv,7,0.005,2.606,30387500.0,8,66129,30
insurance.csv,7,0.006,2.601,30387500.0,8,64669,30
insurance.csv,7,0.007,2.551,30387500.0,8,62748,30
insurance.csv,7,0.008,2.571,30387500.0,8,61642,30
insurance.csv,7,0.009000000000000001,2.486,30387500.0,8,60259,30
insurance.csv,7,0.01,2.518,30387500.0,8,58756,30
insurance.csv,7,0.035,-1,-1,-1,-1,30
insurance.csv,7,0.060000000000000005,1.034,55720700.0,2,2208,30
insurance.csv,7,0.085,0.382,55720700.0,2,135,30
insurance.csv,7,0.1,0.221,55720700.0,2,0,30
insurance.csv,7,0.2,0.027,55720700.0,2,0,30
insurance.csv,7,0.5,0.007,55720700.0,2,0,30
insurance.csv,8,0.0001,10.015,17181200.0,150,213611,30
insurance.csv,8,0.0002,10.205,17779200.0,125,213228,30
insurance.csv,8,0.0005,9.807,20188200.0,74,210589,30
insurance.csv,8,0.001,9.649,24800900.0,29,206646,30
insurance.csv,8,0.002,9.85,27433900.0,16,198922,30
insurance.csv,8,0.003,9.625,29889200.0,9,191625,30
insurance.csv,8,0.004,9.03,30387500.0,8,184168,30
insurance.csv,8,0.005,8.651,30387500.0,8,177115,30
insurance.csv,8,0.006,8.564,30387500.0,8,170781,30
insurance.csv,8,0.007,8.569,30387500.0,8,165695,30
insurance.csv,8,0.008,8.494,30387500.0,8,160093,30
insurance.csv,8,0.009000000000000001,8.507,30387500.0,8,153978,30
insurance.csv,8,0.01,8.471,30387500.0,8,149593,30
insurance.csv,8,0.035,-1,-1,-1,-1,30
insurance.csv,8,0.060000000000000005,1.374,55720700.0,2,167,30
insurance.csv,8,0.085,0.399,55720700.0,2,0,30
insurance.csv,8,0.1,0.228,55720700.0,2,0,30
insurance.csv,8,0.2,0.028,55720700.0,2,0,30
insurance.csv,8,0.5,0.007,55720700.0,2,0,30
insurance.csv,9,0.0001,31,-1,-1,-1,30
insurance.csv,9,0.0002,31,-1,-1,-1,30
insurance.csv,9,0.0005,31,-1,-1,-1,30
insurance.csv,9,0.001,31,-1,-1,-1,30
insurance.csv,9,0.002,31,-1,-1,-1,30
insurance.csv,9,0.003,31,-1,-1,-1,30
insurance.csv,9,0.004,31,-1,-1,-1,30
insurance.csv,9,0.005,31,-1,-1,-1,30
insurance.csv,9,0.006,31,-1,-1,-1,30
insurance.csv,9,0.007,31,-1,-1,-1,30
insurance.csv,9,0.008,31,-1,-1,-1,30
insurance.csv,9,0.009000000000000001,31,-1,-1,-1,30
insurance.csv,9,0.01,31,-1,-1,-1,30
insurance.csv,9,0.035,-1,-1,-1,-1,30
insurance.csv,9,0.060000000000000005,1.456,55720700.0,2,0,30
insurance.csv,9,0.085,0.41,55720700.0,2,0,30
insurance.csv,9,0.1,0.226,55720700.0,2,0,30
insurance.csv,9,0.2,0.029,55720700.0,2,0,30
