dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
real-estate.csv,2,0.0001,0.047,96.84578632434678,4,0,30
real-estate.csv,2,0.0002,0.046,96.84578632434678,4,0,30
real-estate.csv,2,0.0005,0.043,96.84578632434678,4,0,30
real-estate.csv,2,0.001,0.04,96.84578632434678,4,0,30
real-estate.csv,2,0.002,0.038,96.84578632434678,4,0,30
real-estate.csv,2,0.003,0.038,96.84578632434678,4,0,30
real-estate.csv,2,0.004,0.039,96.84578632434678,4,0,30
real-estate.csv,2,0.005,0.036,96.84578632434678,4,0,30
real-estate.csv,2,0.006,0.037,96.84578632434678,4,0,30
real-estate.csv,2,0.007,0.037,96.84578632434678,4,0,30
real-estate.csv,2,0.008,0.035,96.84578632434678,4,0,30
real-estate.csv,2,0.009000000000000001,0.037,96.84578632434678,4,0,30
real-estate.csv,2,0.01,0.034,96.84578632434678,4,0,30
real-estate.csv,2,0.035,0.034,96.84578632434678,4,0,30
real-estate.csv,2,0.060000000000000005,0.032,96.84578632434678,4,0,30
real-estate.csv,2,0.085,0.032,108.02913867250358,3,0,30
real-estate.csv,2,0.1,0.033,108.02913867250358,3,0,30
real-estate.csv,2,0.2,-2,-1,-1,-1,30
real-estate.csv,2,0.5,-2,-1,-1,-1,30
real-estate.csv,3,0.0001,0.2,78.89480617934278,8,0,30
real-estate.csv,3,0.0002,0.19,78.89480617934278,8,0,30
real-estate.csv,3,0.0005,0.163,78.89480617934278,8,0,30
real-estate.csv,3,0.001,0.159,78.89480617934278,8,0,30
real-estate.csv,3,0.002,0.142,78.89480617934278,8,0,30
real-estate.csv,3,0.003,0.142,78.89480617934278,8,0,30
real-estate.csv,3,0.004,0.14,78.89480617934278,8,0,30
real-estate.csv,3,0.005,0.136,78.89480617934278,8,0,30
real-estate.csv,3,0.006,0.135,78.89480617934278,8,0,30
real-estate.csv,3,0.007,0.142,78.89480617934278,8,0,30
real-estate.csv,3,0.008,0.136,78.89480617934278,8,0,30
real-estate.csv,3,0.009000000000000001,0.137,78.89480617934278,8,0,30
real-estate.csv,3,0.01,0.14,78.89480617934278,8,0,30
real-estate.csv,3,0.035,0.128,89.10634418154213,5,0,30
real-estate.csv,3,0.060000000000000005,0.116,96.84578632434678,4,0,30
real-estate.csv,3,0.085,0.11,108.02913867250358,3,0,30
real-estate.csv,3,0.1,0.099,108.02913867250358,3,0,30
real-estate.csv,3,0.2,-2,-1,-1,-1,30
real-estate.csv,3,0.5,-2,-1,-1,-1,30
real-estate.csv,4,0.0001,0.688,62.64095609849587,16,0,30
real-estate.csv,4,0.0002,0.644,62.64095609849587,16,0,30
real-estate.csv,4,0.0005,0.612,62.64095609849587,16,0,30
real-estate.csv,4,0.001,0.585,62.64095609849587,16,0,30
real-estate.csv,4,0.002,0.559,62.64095609849587,16,0,30
real-estate.csv,4,0.003,0.533,62.64095609849587,16,0,30
real-estate.csv,4,0.004,0.535,63.19589812680643,15,0,30
real-estate.csv,4,0.005,0.524,63.19589812680643,15,0,30
real-estate.csv,4,0.006,0.51,64.23832326497465,14,0,30
real-estate.csv,4,0.007,0.502,64.23832326497465,14,0,30
real-estate.csv,4,0.008,0.5,64.23832326497465,14,0,30
real-estate.csv,4,0.009000000000000001,0.483,65.72727966142381,13,0,30
real-estate.csv,4,0.01,0.498,65.72727966142381,13,0,30
real-estate.csv,4,0.035,0.404,89.10634418154213,5,0,30
real-estate.csv,4,0.060000000000000005,0.333,96.84578632434678,4,0,30
real-estate.csv,4,0.085,0.228,108.02913867250358,3,0,30
real-estate.csv,4,0.1,0.156,108.02913867250358,3,0,30
real-estate.csv,4,0.2,-2,-1,-1,-1,30
real-estate.csv,4,0.5,-2,-1,-1,-1,30
real-estate.csv,5,0.0001,2.932,50.46670863557224,32,0,30
real-estate.csv,5,0.0002,2.795,50.46670863557224,32,0,30
real-estate.csv,5,0.0005,2.684,50.46670863557224,32,0,30
real-estate.csv,5,0.001,2.589,51.02051407381089,28,0,30
real-estate.csv,5,0.002,2.445,51.92070828190482,25,0,30
real-estate.csv,5,0.003,2.34,53.48521919407233,22,0,30
real-estate.csv,5,0.004,2.264,54.77609341371582,20,0,30
real-estate.csv,5,0.005,2.19,55.53670897638303,19,0,30
real-estate.csv,5,0.006,2.133,56.476965198812195,18,0,30
real-estate.csv,5,0.007,2.071,57.68856807450744,17,0,30
real-estate.csv,5,0.008,2.041,59.12371774759851,16,0,30
real-estate.csv,5,0.009000000000000001,1.988,62.25506034978537,14,0,30
real-estate.csv,5,0.01,1.953,65.72642717278967,12,0,30
real-estate.csv,5,0.035,1.232,89.10634418154213,5,0,30
real-estate.csv,5,0.060000000000000005,0.758,96.84578632434678,4,0,30
real-estate.csv,5,0.085,0.273,108.02913867250358,3,0,30
real-estate.csv,5,0.1,0.161,108.02913867250358,3,0,30
real-estate.csv,5,0.2,-2,-1,-1,-1,30
real-estate.csv,5,0.5,-2,-1,-1,-1,30
real-estate.csv,6,0.0001,12.255,41.579921932013875,61,0,30
real-estate.csv,6,0.0002,11.952,41.60211731581043,60,0,30
real-estate.csv,6,0.0005,11.541,41.805575814443024,56,0,30
real-estate.csv,6,0.001,11.076,43.13392369037547,47,0,30
real-estate.csv,6,0.002,10.326,47.13080148975985,31,0,30
real-estate.csv,6,0.003,9.79,48.730684746624334,27,0,30
real-estate.csv,6,0.004,9.286,51.65157413740488,22,0,30
real-estate.csv,6,0.005,8.815,56.259573348008736,17,0,30
real-estate.csv,6,0.006,8.459,56.259573348008736,17,0,30
real-estate.csv,6,0.007,8.195,57.42467443900717,16,0,30
real-estate.csv,6,0.008,7.822,59.1063607387848,15,0,30
real-estate.csv,6,0.009000000000000001,7.57,59.1063607387848,15,0,30
real-estate.csv,6,0.01,7.279,62.51413726271584,13,0,30
real-estate.csv,6,0.035,3.089,89.10634418154213,5,0,30
real-estate.csv,6,0.060000000000000005,1.014,96.84578632434678,4,0,30
real-estate.csv,6,0.085,0.268,108.02913867250358,3,0,30
real-estate.csv,6,0.1,0.154,108.02913867250358,3,0,30
real-estate.csv,6,0.2,-2,-1,-1,-1,30
real-estate.csv,6,0.5,-2,-1,-1,-1,30
real-estate.csv,7,0.0001,31,-1,-1,-1,30
real-estate.csv,7,0.0002,31,-1,-1,-1,30
real-estate.csv,7,0.0005,31,-1,-1,-1,30
real-estate.csv,7,0.001,31,-1,-1,-1,30
