dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
real-estate.csv,2,0.0001,0.001,96.8458,4,1,30
real-estate.csv,2,0.0002,0.0,96.8458,4,1,30
real-estate.csv,2,0.0005,0.001,96.8458,4,1,30
real-estate.csv,2,0.001,0.0,96.8458,4,1,30
real-estate.csv,2,0.002,0.0,96.8458,4,1,30
real-estate.csv,2,0.003,0.0,96.8458,4,1,30
real-estate.csv,2,0.004,0.0,96.8458,4,1,30
real-estate.csv,2,0.005,0.001,96.8458,4,1,30
real-estate.csv,2,0.006,0.0,96.8458,4,1,30
real-estate.csv,2,0.007,0.0,96.8458,4,1,30
real-estate.csv,2,0.008,0.0,96.8458,4,1,30
real-estate.csv,2,0.009000000000000001,0.0,96.8458,4,1,30
real-estate.csv,2,0.01,0.0,96.8458,4,1,30
real-estate.csv,2,0.035,0.001,96.8458,4,1,30
real-estate.csv,2,0.060000000000000005,0.0,96.8458,4,1,30
real-estate.csv,2,0.085,0.0,108.029,3,1,30
real-estate.csv,2,0.1,0.0,108.029,3,1,30
real-estate.csv,2,0.2,0.0,142.925,2,1,30
real-estate.csv,2,0.5,0.0,184.689,1,1,30
real-estate.csv,3,0.0001,0.002,92.2988,8,19,30
real-estate.csv,3,0.0002,0.002,92.2988,8,19,30
real-estate.csv,3,0.0005,0.003,92.2988,8,19,30
real-estate.csv,3,0.001,0.002,92.2988,8,19,30
real-estate.csv,3,0.002,0.002,92.2988,8,19,30
real-estate.csv,3,0.003,0.002,92.2988,8,19,30
real-estate.csv,3,0.004,0.003,92.2988,8,19,30
real-estate.csv,3,0.005,0.002,92.2988,8,19,30
real-estate.csv,3,0.006,0.002,92.2988,8,19,30
real-estate.csv,3,0.007,0.002,92.2988,8,19,30
real-estate.csv,3,0.008,0.002,92.2988,8,19,30
real-estate.csv,3,0.009000000000000001,0.002,92.2988,8,19,30
real-estate.csv,3,0.01,0.002,92.2988,8,19,30
real-estate.csv,3,0.035,0.002,98.2279,7,19,30
real-estate.csv,3,0.060000000000000005,0.002,106.818,5,17,30
real-estate.csv,3,0.085,0.002,102.7,4,18,30
real-estate.csv,3,0.1,0.002,102.7,4,18,30
real-estate.csv,3,0.2,0.002,142.925,2,17,30
real-estate.csv,3,0.5,0.002,184.689,1,11,30
real-estate.csv,4,0.0001,0.011,86.422,16,144,30
real-estate.csv,4,0.0002,0.011,86.422,16,144,30
real-estate.csv,4,0.0005,0.012,86.422,16,144,30
real-estate.csv,4,0.001,0.012,86.422,16,147,30
real-estate.csv,4,0.002,0.011,86.422,16,152,30
real-estate.csv,4,0.003,0.011,86.422,16,154,30
real-estate.csv,4,0.004,0.011,86.422,16,157,30
real-estate.csv,4,0.005,0.012,84.8814,15,163,30
real-estate.csv,4,0.006,0.011,85.8992,14,168,30
real-estate.csv,4,0.007,0.012,85.8992,14,171,30
real-estate.csv,4,0.008,0.012,85.8992,14,171,30
real-estate.csv,4,0.009000000000000001,0.012,87.4518,13,170,30
real-estate.csv,4,0.01,0.012,87.4518,13,168,30
real-estate.csv,4,0.035,0.012,89.1063,5,155,30
real-estate.csv,4,0.060000000000000005,0.012,101.569,4,145,30
real-estate.csv,4,0.085,0.013,101.569,4,147,30
real-estate.csv,4,0.1,0.013,113.344,3,145,30
real-estate.csv,4,0.2,0.013,142.925,2,121,30
real-estate.csv,4,0.5,0.007,184.689,1,0,30
real-estate.csv,5,0.0001,0.038,75.2103,29,746,30
real-estate.csv,5,0.0002,0.039,75.2103,29,780,30
real-estate.csv,5,0.0005,0.041,75.2103,29,891,30
real-estate.csv,5,0.001,0.043,75.3114,28,975,30
real-estate.csv,5,0.002,0.047,75.3114,28,1083,30
real-estate.csv,5,0.003,0.048,75.3114,28,1128,30
real-estate.csv,5,0.004,0.049,76.5423,26,1141,30
real-estate.csv,5,0.005,0.05,76.9519,25,1189,30
real-estate.csv,5,0.006,0.051,78.8978,23,1192,30
real-estate.csv,5,0.007,0.051,82.4395,20,1188,30
real-estate.csv,5,0.008,0.051,83.8417,19,1193,30
real-estate.csv,5,0.009000000000000001,0.05,85.3942,18,1163,30
real-estate.csv,5,0.01,0.052,85.424,17,1149,30
real-estate.csv,5,0.035,0.054,83.8486,6,998,30
real-estate.csv,5,0.060000000000000005,0.059,101.569,4,943,30
real-estate.csv,5,0.085,0.064,113.344,3,848,30
real-estate.csv,5,0.1,0.064,113.344,3,754,30
real-estate.csv,5,0.2,0.039,142.925,2,179,30
real-estate.csv,5,0.5,0.01,184.689,1,0,30
real-estate.csv,6,0.0001,0.161,61.0365,57,4045,30
real-estate.csv,6,0.0002,0.164,61.0636,56,4295,30
real-estate.csv,6,0.0005,0.181,61.1711,54,4934,30
real-estate.csv,6,0.001,0.195,62.0711,48,5326,30
real-estate.csv,6,0.002,0.207,62.6486,45,5767,30
real-estate.csv,6,0.003,0.215,63.8843,41,5897,30
real-estate.csv,6,0.004,0.226,58.3716,33,6060,30
real-estate.csv,6,0.005,0.228,54.2471,33,6055,30
real-estate.csv,6,0.006,0.227,65.7623,21,5931,30
real-estate.csv,6,0.007,0.227,70.6839,19,5893,30
real-estate.csv,6,0.008,0.233,70.5306,17,5946,30
real-estate.csv,6,0.009000000000000001,0.232,72.0932,16,5921,30
real-estate.csv,6,0.01,0.236,72.0932,16,5890,30
real-estate.csv,6,0.035,-1,-1,-1,-1,30
real-estate.csv,6,0.060000000000000005,0.306,178.059,2,4419,30
real-estate.csv,6,0.085,0.286,178.059,2,2914,30
real-estate.csv,6,0.1,0.296,113.344,3,2590,30
real-estate.csv,6,0.2,0.114,142.925,2,37,30
real-estate.csv,6,0.5,0.012,184.689,1,0,30
real-estate.csv,7,0.0001,1.369,42.8998,94,32285,30
real-estate.csv,7,0.0002,1.444,39.3812,84,34221,30
real-estate.csv,7,0.0005,1.561,40.1219,71,37927,30
real-estate.csv,7,0.001,1.686,41.8136,55,41565,30
real-estate.csv,7,0.002,1.836,44.4287,39,44622,30
real-estate.csv,7,0.003,1.91,49.4022,27,45886,30
real-estate.csv,7,0.004,1.973,50.8768,24,46366,30
real-estate.csv,7,0.005,1.957,52.752,21,46194,30
real-estate.csv,7,0.006,1.996,53.5138,20,45668,30
real-estate.csv,7,0.007,2.005,54.7478,19,45129,30
real-estate.csv,7,0.008,2.041,58.9703,16,44750,30
real-estate.csv,7,0.009000000000000001,2.029,62.2459,14,44213,30
real-estate.csv,7,0.01,2.032,62.2459,14,43835,30
real-estate.csv,7,0.035,1.928,112.557,4,30447,30
real-estate.csv,7,0.060000000000000005,1.7,178.059,2,19293,30
real-estate.csv,7,0.085,1.262,108.029,3,7746,30
real-estate.csv,7,0.1,1.041,108.029,3,4266,30
real-estate.csv,7,0.2,0.196,142.925,2,0,30
real-estate.csv,7,0.5,0.032,184.689,1,0,30
real-estate.csv,8,0.0001,7.133,34.5871,128,136100,30
real-estate.csv,8,0.0002,7.385,35.069,107,143443,30
real-estate.csv,8,0.0005,-1,-1,-1,-1,30
real-estate.csv,8,0.001,-1,-1,-1,-1,30
real-estate.csv,8,0.002,8.946,44.6058,35,176288,30
real-estate.csv,8,0.003,9.375,47.9733,27,180443,30
real-estate.csv,8,0.004,9.595,49.2785,25,180308,30
real-estate.csv,8,0.005,9.672,52.5562,21,178543,30
real-estate.csv,8,0.006,9.723,53.5063,20,176109,30
real-estate.csv,8,0.007,9.682,58.0283,16,172178,30
real-estate.csv,8,0.008,9.587,59.5046,15,169342,30
real-estate.csv,8,0.009000000000000001,9.559,60.371,14,167347,30
real-estate.csv,8,0.01,9.626,60.371,14,165037,30
real-estate.csv,8,0.035,8.423,112.557,4,102220,30
real-estate.csv,8,0.060000000000000005,6.023,96.8458,4,41922,30
real-estate.csv,8,0.085,3.649,108.029,3,8861,30
real-estate.csv,8,0.1,2.75,108.029,3,3150,30
real-estate.csv,8,0.2,0.598,142.925,2,0,30
real-estate.csv,8,0.5,0.007,184.689,1,0,30
real-estate.csv,9,0.0001,27.072,34.3053,123,379949,30
real-estate.csv,9,0.0002,31,-1,-1,-1,30
real-estate.csv,9,0.0005,31,-1,-1,-1,30
real-estate.csv,9,0.001,31,-1,-1,-1,30
real-estate.csv,9,0.002,31,-1,-1,-1,30
real-estate.csv,9,0.003,31,-1,-1,-1,30
real-estate.csv,9,0.004,31,-1,-1,-1,30
real-estate.csv,9,0.005,31,-1,-1,-1,30
real-estate.csv,9,0.006,31,-1,-1,-1,30
real-estate.csv,9,0.007,31,-1,-1,-1,30
real-estate.csv,9,0.008,31,-1,-1,-1,30
real-estate.csv,9,0.009000000000000001,31,-1,-1,-1,30
real-estate.csv,9,0.01,31,-1,-1,-1,30
real-estate.csv,9,0.035,26.053,112.557,4,195474,30
real-estate.csv,9,0.060000000000000005,15.559,96.8458,4,49847,30
real-estate.csv,9,0.085,8.335,108.029,3,3691,30
real-estate.csv,9,0.1,5.859,108.029,3,363,30
real-estate.csv,9,0.2,0.986,142.925,2,0,30
real-estate.csv,9,0.5,0.007,184.689,1,0,30
real-estate.csv,10,0.0001,31,-1,-1,-1,30
real-estate.csv,10,0.0002,31,-1,-1,-1,30
