algorithm,cost_complexity,dataset,depth,leaves,terminal_calls,time,timeout,train_mse
osrt,0.0001,airfoil.csv,10,-1,-1,101,100,-1
osrt,0.0001,airfoil.csv,10,-1,-1,101,100,-1
osrt,0.0001,airfoil.csv,10,-1,-1,101,100,-1
osrt,0.001,airfoil.csv,10,-1,-1,101,100,-1
osrt,0.001,airfoil.csv,10,-1,-1,101,100,-1
osrt,0.001,airfoil.csv,10,-1,-1,101,100,-1
osrt,0.005,airfoil.csv,10,-1,-1,101,100,-1
osrt,0.005,airfoil.csv,10,-1,-1,101,100,-1
osrt,0.005,airfoil.csv,10,-1,-1,101,100,-1
osrt,0.01,airfoil.csv,10,-1,-1,101,100,-1
osrt,0.01,airfoil.csv,10,-1,-1,101,100,-1
osrt,0.01,airfoil.csv,10,-1,-1,101,100,-1
osrt,0.1,airfoil.csv,10,,,,100,
osrt,0.1,airfoil.csv,10,,,,100,
osrt,0.1,airfoil.csv,10,,,,100,
osrt,0.0001,airfoil.csv,3,8,0,0.317,100,37.31331849197141
osrt,0.0001,airfoil.csv,3,8,0,0.305,100,37.31331849197141
osrt,0.0001,airfoil.csv,3,8,0,0.333,100,37.31331849197141
osrt,0.001,airfoil.csv,3,8,0,0.293,100,37.31331849197141
osrt,0.001,airfoil.csv,3,8,0,0.378,100,37.31331849197141
osrt,0.001,airfoil.csv,3,8,0,0.302,100,37.31331849197141
osrt,0.005,airfoil.csv,3,7,0,0.145,100,37.515197477542436
osrt,0.005,airfoil.csv,3,7,0,0.145,100,37.515197477542436
osrt,0.005,airfoil.csv,3,7,0,0.187,100,37.515197477542436
osrt,0.01,airfoil.csv,3,7,0,0.599,100,37.515197477542436
osrt,0.01,airfoil.csv,3,7,0,0.192,100,37.515197477542436
osrt,0.01,airfoil.csv,3,7,0,0.194,100,37.515197477542436
osrt,0.1,airfoil.csv,3,,,,100,
osrt,0.1,airfoil.csv,3,,,,100,
osrt,0.1,airfoil.csv,3,,,,100,
osrt,0.0001,airfoil.csv,4,16,0,2.147,100,33.86275314687788
osrt,0.0001,airfoil.csv,4,16,0,1.309,100,33.86275314687788
osrt,0.0001,airfoil.csv,4,16,0,2.541,100,33.86275314687788
osrt,0.001,airfoil.csv,4,14,0,0.934,100,33.90216530383289
osrt,0.001,airfoil.csv,4,14,0,0.878,100,33.90216530383289
osrt,0.001,airfoil.csv,4,14,0,0.896,100,33.90216530383289
osrt,0.005,airfoil.csv,4,11,0,0.714,100,34.43673224830925
osrt,0.005,airfoil.csv,4,11,0,0.673,100,34.43673224830925
osrt,0.005,airfoil.csv,4,11,0,0.687,100,34.43673224830925
osrt,0.01,airfoil.csv,4,11,0,0.713,100,34.43673224830925
osrt,0.01,airfoil.csv,4,11,0,0.651,100,34.43673224830925
osrt,0.01,airfoil.csv,4,11,0,0.971,100,34.43673224830925
osrt,0.1,airfoil.csv,4,,,,100,
osrt,0.1,airfoil.csv,4,,,,100,
osrt,0.1,airfoil.csv,4,,,,100,
osrt,0.0001,airfoil.csv,5,31,0,5.1,100,28.627220667429814
osrt,0.0001,airfoil.csv,5,31,0,5.597,100,28.627220667429814
osrt,0.0001,airfoil.csv,5,31,0,4.324,100,28.627220667429814
osrt,0.001,airfoil.csv,5,25,0,3.259,100,28.71331289766356
osrt,0.001,airfoil.csv,5,25,0,3.163,100,28.71331289766356
osrt,0.001,airfoil.csv,5,25,0,3.244,100,28.71331289766356
osrt,0.005,airfoil.csv,5,18,0,2.515,100,29.503859124046592
osrt,0.005,airfoil.csv,5,18,0,3.246,100,29.503859124046592
osrt,0.005,airfoil.csv,5,18,0,2.513,100,29.503859124046592
osrt,0.01,airfoil.csv,5,13,0,2.482,100,31.171008611587048
osrt,0.01,airfoil.csv,5,13,0,2.853,100,31.171008611587048
osrt,0.01,airfoil.csv,5,13,0,2.384,100,31.171008611587048
osrt,0.1,airfoil.csv,5,,,,100,
osrt,0.1,airfoil.csv,5,,,,100,
osrt,0.1,airfoil.csv,5,,,,100,
osrt,0.0001,airfoil.csv,6,48,0,16.308,100,25.933003233181893
osrt,0.0001,airfoil.csv,6,48,0,12.719,100,25.933003233181893
osrt,0.0001,airfoil.csv,6,48,0,12.107,100,25.933003233181893
osrt,0.001,airfoil.csv,6,33,0,13.479,100,26.163080034825594
osrt,0.001,airfoil.csv,6,33,0,10.474,100,26.163080034825594
osrt,0.001,airfoil.csv,6,33,0,10.8,100,26.163080034825594
osrt,0.005,airfoil.csv,6,24,0,9.321,100,27.091505390237668
osrt,0.005,airfoil.csv,6,24,0,12.562,100,27.091505390237668
osrt,0.005,airfoil.csv,6,24,0,10.122,100,27.091505390237668
osrt,0.01,airfoil.csv,6,14,0,9.82,100,30.449830287664042
osrt,0.01,airfoil.csv,6,14,0,7.366,100,30.449830287664042
osrt,0.01,airfoil.csv,6,14,0,8.964,100,30.449830287664042
osrt,0.1,airfoil.csv,6,,,,100,
