dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
seoul-bike.csv,2,0.0001,2.069,279975.7615178106,4,0,30
seoul-bike.csv,2,0.0002,1.784,279975.7615178106,4,0,30
seoul-bike.csv,2,0.0005,1.507,279975.7615178106,4,0,30
seoul-bike.csv,2,0.001,1.332,279975.7615178106,4,0,30
seoul-bike.csv,2,0.002,1.19,279975.7615178106,4,0,30
seoul-bike.csv,2,0.003,1.143,279975.7615178106,4,0,30
seoul-bike.csv,2,0.004,1.084,279975.7615178106,4,0,30
seoul-bike.csv,2,0.005,1.08,279975.7615178106,4,0,30
seoul-bike.csv,2,0.006,1.057,279975.7615178106,4,0,30
seoul-bike.csv,2,0.007,1.035,279975.7615178106,4,0,30
seoul-bike.csv,2,0.008,1.024,279975.7615178106,4,0,30
seoul-bike.csv,2,0.009000000000000001,1.017,279975.7615178106,4,0,30
seoul-bike.csv,2,0.01,1.019,279975.7615178106,4,0,30
seoul-bike.csv,2,0.035,0.933,286777.7046751738,3,0,30
seoul-bike.csv,2,0.060000000000000005,0.862,286777.7046751738,3,0,30
seoul-bike.csv,2,0.085,0.898,286777.7046751738,3,0,30
seoul-bike.csv,2,0.1,0.879,286777.7046751738,3,0,30
seoul-bike.csv,2,0.2,-2,-1,-1,-1,30
seoul-bike.csv,2,0.5,-2,-1,-1,-1,30
seoul-bike.csv,3,0.0001,14.836,213253.67070911435,8,0,30
seoul-bike.csv,3,0.0002,12.766,213253.67070911435,8,0,30
seoul-bike.csv,3,0.0005,10.732,213253.67070911435,8,0,30
seoul-bike.csv,3,0.001,9.472,213253.67070911435,8,0,30
seoul-bike.csv,3,0.002,8.385,213253.67070911435,8,0,30
seoul-bike.csv,3,0.003,7.832,213253.67070911435,8,0,30
seoul-bike.csv,3,0.004,7.409,214730.4980471645,7,0,30
seoul-bike.csv,3,0.005,7.22,214730.4980471645,7,0,30
seoul-bike.csv,3,0.006,7.063,214730.4980471645,7,0,30
seoul-bike.csv,3,0.007,6.879,214730.4980471645,7,0,30
seoul-bike.csv,3,0.008,6.77,214730.4980471645,7,0,30
seoul-bike.csv,3,0.009000000000000001,6.6,214730.4980471645,7,0,30
seoul-bike.csv,3,0.01,6.506,214730.4980471645,7,0,30
seoul-bike.csv,3,0.035,5.534,223059.4934203306,6,0,30
seoul-bike.csv,3,0.060000000000000005,4.765,257386.08178380196,4,0,30
seoul-bike.csv,3,0.085,4.498,286777.7046751738,3,0,30
seoul-bike.csv,3,0.1,4.171,286777.7046751738,3,0,30
seoul-bike.csv,3,0.2,-2,-1,-1,-1,30
seoul-bike.csv,3,0.5,-2,-1,-1,-1,30
seoul-bike.csv,4,0.0001,31,-1,-1,-1,30
seoul-bike.csv,4,0.0002,31,-1,-1,-1,30
seoul-bike.csv,4,0.0005,31,-1,-1,-1,30
seoul-bike.csv,4,0.001,31,-1,-1,-1,30
seoul-bike.csv,4,0.002,31,-1,-1,-1,30
seoul-bike.csv,4,0.003,31,-1,-1,-1,30
seoul-bike.csv,4,0.004,31,-1,-1,-1,30
seoul-bike.csv,4,0.005,31,-1,-1,-1,30
seoul-bike.csv,4,0.006,31,-1,-1,-1,30
seoul-bike.csv,4,0.007,31,-1,-1,-1,30
seoul-bike.csv,4,0.008,31,-1,-1,-1,30
seoul-bike.csv,4,0.009000000000000001,31,-1,-1,-1,30
seoul-bike.csv,4,0.01,31,-1,-1,-1,30
seoul-bike.csv,4,0.035,31,-1,-1,-1,30
seoul-bike.csv,4,0.060000000000000005,31,-1,-1,-1,30
seoul-bike.csv,4,0.085,24.001,286777.7046751738,3,0,30
seoul-bike.csv,4,0.1,11.732,286777.7046751738,3,0,30
seoul-bike.csv,4,0.2,-2,-1,-1,-1,30
seoul-bike.csv,4,0.5,-2,-1,-1,-1,30
seoul-bike.csv,5,0.0001,31,-1,-1,-1,30
seoul-bike.csv,5,0.0002,31,-1,-1,-1,30
seoul-bike.csv,5,0.0005,31,-1,-1,-1,30
seoul-bike.csv,5,0.001,31,-1,-1,-1,30
seoul-bike.csv,5,0.002,31,-1,-1,-1,30
seoul-bike.csv,5,0.003,31,-1,-1,-1,30
seoul-bike.csv,5,0.004,31,-1,-1,-1,30
