dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
seoul-bike.csv,2,0.0001,0.006,279976.0,4,1,30
seoul-bike.csv,2,0.0002,0.005,279976.0,4,1,30
seoul-bike.csv,2,0.0005,0.005,279976.0,4,1,30
seoul-bike.csv,2,0.001,0.006,279976.0,4,1,30
seoul-bike.csv,2,0.002,0.006,279976.0,4,1,30
seoul-bike.csv,2,0.003,0.009,279976.0,4,1,30
seoul-bike.csv,2,0.004,0.006,279976.0,4,1,30
seoul-bike.csv,2,0.005,0.006,279976.0,4,1,30
seoul-bike.csv,2,0.006,0.006,279976.0,4,1,30
seoul-bike.csv,2,0.007,0.006,279976.0,4,1,30
seoul-bike.csv,2,0.008,0.006,279976.0,4,1,30
seoul-bike.csv,2,0.009000000000000001,0.006,279976.0,4,1,30
seoul-bike.csv,2,0.01,0.006,279976.0,4,1,30
seoul-bike.csv,2,0.035,0.006,286778.0,3,1,30
seoul-bike.csv,2,0.060000000000000005,0.006,286778.0,3,1,30
seoul-bike.csv,2,0.085,0.006,286778.0,3,1,30
seoul-bike.csv,2,0.1,0.006,286778.0,3,1,30
seoul-bike.csv,2,0.2,0.005,415974.0,1,1,30
seoul-bike.csv,2,0.5,0.005,415974.0,1,1,30
seoul-bike.csv,3,0.0001,0.048,218586.0,8,33,30
seoul-bike.csv,3,0.0002,0.049,218586.0,8,33,30
seoul-bike.csv,3,0.0005,0.048,218586.0,8,33,30
seoul-bike.csv,3,0.001,0.049,218586.0,8,33,30
seoul-bike.csv,3,0.002,0.047,219254.0,7,33,30
seoul-bike.csv,3,0.003,0.049,219254.0,7,33,30
seoul-bike.csv,3,0.004,0.048,219254.0,7,33,30
seoul-bike.csv,3,0.005,0.049,219254.0,7,33,30
seoul-bike.csv,3,0.006,0.05,219254.0,7,33,30
seoul-bike.csv,3,0.007,0.048,219254.0,7,33,30
seoul-bike.csv,3,0.008,0.048,219254.0,7,33,30
seoul-bike.csv,3,0.009000000000000001,0.049,219254.0,7,33,30
seoul-bike.csv,3,0.01,0.049,219254.0,7,33,30
seoul-bike.csv,3,0.035,0.051,223059.0,6,36,30
seoul-bike.csv,3,0.060000000000000005,0.052,257386.0,4,38,30
seoul-bike.csv,3,0.085,0.052,286778.0,3,43,30
seoul-bike.csv,3,0.1,0.052,286778.0,3,46,30
seoul-bike.csv,3,0.2,0.053,415974.0,1,48,30
seoul-bike.csv,3,0.5,0.046,415974.0,1,30,30
seoul-bike.csv,4,0.0001,0.28,170605.0,16,429,30
seoul-bike.csv,4,0.0002,0.285,170605.0,16,432,30
seoul-bike.csv,4,0.0005,0.289,170605.0,16,423,30
seoul-bike.csv,4,0.001,0.286,170605.0,16,438,30
seoul-bike.csv,4,0.002,0.288,170605.0,16,445,30
seoul-bike.csv,4,0.003,0.293,172428.0,14,483,30
seoul-bike.csv,4,0.004,0.294,173700.0,13,494,30
seoul-bike.csv,4,0.005,0.298,175474.0,12,502,30
seoul-bike.csv,4,0.006,0.305,175474.0,12,532,30
