dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
seoul-bike.csv,2,0.0001,0.005,279976.0,4,1,30
seoul-bike.csv,2,0.0002,0.005,279976.0,4,1,30
seoul-bike.csv,2,0.0005,0.005,279976.0,4,1,30
seoul-bike.csv,2,0.001,0.005,279976.0,4,1,30
seoul-bike.csv,2,0.002,0.005,279976.0,4,1,30
seoul-bike.csv,2,0.003,0.004,279976.0,4,1,30
seoul-bike.csv,2,0.004,0.005,279976.0,4,1,30
seoul-bike.csv,2,0.005,0.005,279976.0,4,1,30
seoul-bike.csv,2,0.006,0.004,279976.0,4,1,30
seoul-bike.csv,2,0.007,0.005,279976.0,4,1,30
seoul-bike.csv,2,0.008,0.005,279976.0,4,1,30
seoul-bike.csv,2,0.009000000000000001,0.005,279976.0,4,1,30
seoul-bike.csv,2,0.01,0.005,279976.0,4,1,30
seoul-bike.csv,2,0.035,0.005,286778.0,3,1,30
seoul-bike.csv,2,0.060000000000000005,0.005,286778.0,3,1,30
seoul-bike.csv,2,0.085,0.005,286778.0,3,1,30
seoul-bike.csv,2,0.1,0.005,286778.0,3,1,30
seoul-bike.csv,2,0.2,0.005,415974.0,1,1,30
seoul-bike.csv,2,0.5,0.004,415974.0,1,1,30
seoul-bike.csv,3,0.0001,0.03,213254.0,8,57,30
seoul-bike.csv,3,0.0002,0.029,213254.0,8,57,30
seoul-bike.csv,3,0.0005,0.029,213254.0,8,57,30
seoul-bike.csv,3,0.001,0.028,213254.0,8,57,30
seoul-bike.csv,3,0.002,0.029,213254.0,8,57,30
seoul-bike.csv,3,0.003,0.029,213254.0,8,57,30
seoul-bike.csv,3,0.004,0.03,214730.0,7,57,30
seoul-bike.csv,3,0.005,0.029,214730.0,7,57,30
seoul-bike.csv,3,0.006,0.029,214730.0,7,57,30
seoul-bike.csv,3,0.007,0.029,214730.0,7,57,30
seoul-bike.csv,3,0.008,0.028,214730.0,7,57,30
seoul-bike.csv,3,0.009000000000000001,0.028,214730.0,7,57,30
seoul-bike.csv,3,0.01,0.029,214730.0,7,57,30
seoul-bike.csv,3,0.035,0.029,223059.0,6,58,30
seoul-bike.csv,3,0.060000000000000005,0.028,257386.0,4,58,30
seoul-bike.csv,3,0.085,0.028,286778.0,3,58,30
seoul-bike.csv,3,0.1,0.029,286778.0,3,58,30
seoul-bike.csv,3,0.2,0.028,415974.0,1,57,30
seoul-bike.csv,3,0.5,0.025,415974.0,1,50,30
seoul-bike.csv,4,0.0001,0.429,170605.0,16,1410,30
seoul-bike.csv,4,0.0002,0.432,170605.0,16,1410,30
seoul-bike.csv,4,0.0005,0.43,170605.0,16,1411,30
