dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
servo.csv,2,0.0001,0.027,1.6110115268111647,4,0,30
servo.csv,2,0.0002,0.025,1.6110115268111647,4,0,30
servo.csv,2,0.0005,0.024,1.6110115268111647,4,0,30
servo.csv,2,0.001,0.023,1.6110115268111647,4,0,30
servo.csv,2,0.002,0.022,1.6110115268111647,4,0,30
servo.csv,2,0.003,0.023,1.6110115268111647,4,0,30
servo.csv,2,0.004,0.022,1.6110115268111647,4,0,30
servo.csv,2,0.005,0.021,1.6110115268111647,4,0,30
servo.csv,2,0.006,0.022,1.6110115268111647,4,0,30
servo.csv,2,0.007,0.021,1.626221263306983,3,0,30
servo.csv,2,0.008,0.021,1.626221263306983,3,0,30
servo.csv,2,0.009000000000000001,0.021,1.626221263306983,3,0,30
servo.csv,2,0.01,0.021,1.626221263306983,3,0,30
servo.csv,2,0.035,0.02,1.626221263306983,3,0,30
servo.csv,2,0.060000000000000005,0.019,1.626221263306983,3,0,30
servo.csv,2,0.085,0.02,1.626221263306983,3,0,30
servo.csv,2,0.1,0.02,1.626221263306983,3,0,30
servo.csv,2,0.2,-2,-1,-1,-1,30
servo.csv,2,0.5,-2,-1,-1,-1,30
servo.csv,3,0.0001,0.082,0.9602563202320402,8,0,30
servo.csv,3,0.0002,0.081,0.9602563202320402,8,0,30
servo.csv,3,0.0005,0.073,0.9608643927640933,7,0,30
servo.csv,3,0.001,0.067,0.9629069324405622,6,0,30
servo.csv,3,0.002,0.066,0.9671476911206327,5,0,30
servo.csv,3,0.003,0.067,0.9671476911206327,5,0,30
servo.csv,3,0.004,0.063,0.9671476911206327,5,0,30
servo.csv,3,0.005,0.065,0.9671476911206327,5,0,30
servo.csv,3,0.006,0.063,0.9671476911206327,5,0,30
servo.csv,3,0.007,0.072,0.9823574276164512,4,0,30
servo.csv,3,0.008,0.063,0.9823574276164512,4,0,30
servo.csv,3,0.009000000000000001,0.062,0.9823574276164512,4,0,30
servo.csv,3,0.01,0.061,0.9823574276164512,4,0,30
servo.csv,3,0.035,0.058,0.9823574276164512,4,0,30
servo.csv,3,0.060000000000000005,0.056,0.9823574276164512,4,0,30
servo.csv,3,0.085,0.054,0.9823574276164512,4,0,30
servo.csv,3,0.1,0.058,0.9823574276164512,4,0,30
servo.csv,3,0.2,-2,-1,-1,-1,30
servo.csv,3,0.5,-2,-1,-1,-1,30
servo.csv,4,0.0001,0.237,0.7055482928027763,16,0,30
servo.csv,4,0.0002,0.231,0.7069855649916502,13,0,30
servo.csv,4,0.0005,0.211,0.7098125055181472,9,0,30
servo.csv,4,0.001,0.195,0.7098125055181472,9,0,30
servo.csv,4,0.002,0.187,0.7192134035399422,6,0,30
servo.csv,4,0.003,0.182,0.7192134035399422,6,0,30
servo.csv,4,0.004,0.174,0.7192134035399422,6,0,30
servo.csv,4,0.005,0.173,0.7192134035399422,6,0,30
servo.csv,4,0.006,0.17,0.7192134035399422,6,0,30
servo.csv,4,0.007,0.174,0.7344231400357609,5,0,30
servo.csv,4,0.008,0.169,0.7344231400357609,5,0,30
servo.csv,4,0.009000000000000001,0.165,0.7344231400357609,5,0,30
servo.csv,4,0.01,0.164,0.7344231400357609,5,0,30
servo.csv,4,0.035,0.154,0.7344231400357609,5,0,30
servo.csv,4,0.060000000000000005,0.148,0.7344231400357609,5,0,30
servo.csv,4,0.085,0.135,0.7344231400357609,5,0,30
servo.csv,4,0.1,0.131,0.7344231400357609,5,0,30
servo.csv,4,0.2,-2,-1,-1,-1,30
servo.csv,4,0.5,-2,-1,-1,-1,30
servo.csv,5,0.0001,0.876,0.5340853186141679,23,0,30
servo.csv,5,0.0002,0.818,0.5353148025330582,19,0,30
servo.csv,5,0.0005,0.699,0.5421865321461048,12,0,30
servo.csv,5,0.001,0.643,0.5421865321461048,12,0,30
servo.csv,5,0.002,0.612,0.5557442357656706,8,0,30
servo.csv,5,0.003,0.593,0.5557442357656706,8,0,30
servo.csv,5,0.004,0.574,0.5557442357656706,8,0,30
servo.csv,5,0.005,0.574,0.5557442357656706,8,0,30
servo.csv,5,0.006,0.559,0.5557442357656706,8,0,30
servo.csv,5,0.007,0.557,0.5709539722614893,7,0,30
servo.csv,5,0.008,0.547,0.5709539722614893,7,0,30
servo.csv,5,0.009000000000000001,0.548,0.5709539722614893,7,0,30
servo.csv,5,0.01,0.537,0.5709539722614893,7,0,30
servo.csv,5,0.035,0.477,0.6046374207702138,6,0,30
servo.csv,5,0.060000000000000005,0.417,0.7344231400357609,5,0,30
servo.csv,5,0.085,0.362,0.7344231400357609,5,0,30
servo.csv,5,0.1,0.333,0.7344231400357609,5,0,30
servo.csv,5,0.2,-2,-1,-1,-1,30
servo.csv,5,0.5,-2,-1,-1,-1,30
servo.csv,6,0.0001,3.208,0.38108173253758865,34,0,30
servo.csv,6,0.0002,2.975,0.3857530419295272,22,0,30
servo.csv,6,0.0005,2.386,0.3875403430460168,20,0,30
servo.csv,6,0.001,2.166,0.39907433035406537,15,0,30
servo.csv,6,0.002,2.041,0.4131761201001889,11,0,30
servo.csv,6,0.003,1.989,0.4131761201001889,11,0,30
servo.csv,6,0.004,1.925,0.4131761201001889,11,0,30
servo.csv,6,0.005,1.899,0.4131761201001889,11,0,30
servo.csv,6,0.006,1.879,0.4131761201001889,11,0,30
servo.csv,6,0.007,1.853,0.42838585659600753,10,0,30
servo.csv,6,0.008,1.811,0.42838585659600753,10,0,30
servo.csv,6,0.009000000000000001,1.796,0.42838585659600753,10,0,30
servo.csv,6,0.01,1.791,0.42838585659600753,10,0,30
servo.csv,6,0.035,1.464,0.6046374207702138,6,0,30
servo.csv,6,0.060000000000000005,1.163,0.7344231400357609,5,0,30
servo.csv,6,0.085,0.87,0.7344231400357609,5,0,30
servo.csv,6,0.1,0.525,0.7344231400357609,5,0,30
servo.csv,6,0.2,-2,-1,-1,-1,30
servo.csv,6,0.5,-2,-1,-1,-1,30
servo.csv,7,0.0001,9.395,0.22360208480129792,46,0,30
servo.csv,7,0.0002,8.509,0.2260734877979298,38,0,30
servo.csv,7,0.0005,6.613,0.23696572702905508,26,0,30
servo.csv,7,0.001,5.995,0.23696572702905508,26,0,30
servo.csv,7,0.002,5.634,0.2575552207863893,20,0,30
servo.csv,7,0.003,5.441,0.2688843389263465,18,0,30
servo.csv,7,0.004,5.29,0.30629726566894855,13,0,30
servo.csv,7,0.005,5.2,0.30629726566894855,13,0,30
servo.csv,7,0.006,5.123,0.30629726566894855,13,0,30
servo.csv,7,0.007,5.076,0.32150700216476724,12,0,30
servo.csv,7,0.008,5.003,0.32150700216476724,12,0,30
servo.csv,7,0.009000000000000001,4.951,0.32150700216476724,12,0,30
servo.csv,7,0.01,4.92,0.32150700216476724,12,0,30
servo.csv,7,0.035,3.763,0.6046374207702138,6,0,30
servo.csv,7,0.060000000000000005,2.778,0.7344231400357609,5,0,30
servo.csv,7,0.085,1.204,0.7344231400357609,5,0,30
servo.csv,7,0.1,0.562,0.7344231400357609,5,0,30
servo.csv,7,0.2,-2,-1,-1,-1,30
servo.csv,7,0.5,-2,-1,-1,-1,30
servo.csv,8,0.0001,22.31,0.04647306097311936,52,0,30
servo.csv,8,0.0002,19.478,0.050326399995627706,41,0,30
servo.csv,8,0.0005,15.111,0.06178136372932989,27,0,30
servo.csv,8,0.001,13.641,0.06469562241492281,25,0,30
