dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
servo.csv,2,0.0001,0.001,1.61101,4,1,30
servo.csv,2,0.0002,0.0,1.61101,4,1,30
servo.csv,2,0.0005,0.0,1.61101,4,1,30
servo.csv,2,0.001,0.0,1.61101,4,1,30
servo.csv,2,0.002,0.0,1.61101,4,1,30
servo.csv,2,0.003,0.0,1.61101,4,1,30
servo.csv,2,0.004,0.001,1.61101,4,1,30
servo.csv,2,0.005,0.0,1.61101,4,1,30
servo.csv,2,0.006,0.0,1.61101,4,1,30
servo.csv,2,0.007,0.0,1.61101,4,1,30
servo.csv,2,0.008,0.0,1.62622,3,1,30
servo.csv,2,0.009000000000000001,0.0,1.62622,3,1,30
servo.csv,2,0.01,0.0,1.62622,3,1,30
servo.csv,2,0.035,0.0,1.62622,3,1,30
servo.csv,2,0.060000000000000005,0.0,1.62622,3,1,30
servo.csv,2,0.085,0.0,1.62622,3,1,30
servo.csv,2,0.1,0.0,1.62622,3,1,30
servo.csv,2,0.2,0.0,2.4179,1,0,30
servo.csv,2,0.5,0.0,2.4179,1,0,30
servo.csv,3,0.0001,0.001,1.36098,8,17,30
servo.csv,3,0.0002,0.001,1.36098,8,17,30
servo.csv,3,0.0005,0.001,1.36098,8,17,30
servo.csv,3,0.001,0.001,1.36098,8,13,30
servo.csv,3,0.002,0.001,1.36098,8,11,30
servo.csv,3,0.003,0.001,1.3615,7,11,30
servo.csv,3,0.004,0.001,1.3615,7,11,30
servo.csv,3,0.005,0.001,1.37197,6,11,30
servo.csv,3,0.006,0.001,1.37197,6,11,30
servo.csv,3,0.007,0.001,1.37197,6,11,30
servo.csv,3,0.008,0.002,1.37197,6,11,30
servo.csv,3,0.009000000000000001,0.001,1.37197,6,11,30
servo.csv,3,0.01,0.001,1.37197,6,11,30
servo.csv,3,0.035,0.001,1.37197,6,8,30
servo.csv,3,0.060000000000000005,0.001,0.982357,4,6,30
servo.csv,3,0.085,0.001,0.982357,4,4,30
servo.csv,3,0.1,0.001,0.982357,4,3,30
servo.csv,3,0.2,0.0,2.4179,1,0,30
servo.csv,3,0.5,0.0,2.4179,1,0,30
servo.csv,4,0.0001,0.005,0.891597,16,130,30
servo.csv,4,0.0002,0.005,0.891597,16,111,30
servo.csv,4,0.0005,0.005,0.908127,13,93,30
servo.csv,4,0.001,0.004,0.908127,13,78,30
servo.csv,4,0.002,0.004,0.908127,13,68,30
servo.csv,4,0.003,0.004,0.875743,9,80,30
servo.csv,4,0.004,0.004,0.875743,9,76,30
servo.csv,4,0.005,0.004,0.884558,8,80,30
servo.csv,4,0.006,0.004,0.884558,8,75,30
servo.csv,4,0.007,0.004,0.884558,8,69,30
servo.csv,4,0.008,0.004,0.884558,8,71,30
servo.csv,4,0.009000000000000001,0.004,0.884558,8,69,30
servo.csv,4,0.01,0.004,0.884558,8,73,30
servo.csv,4,0.035,0.003,0.946131,7,46,30
servo.csv,4,0.060000000000000005,0.003,1.04933,6,17,30
servo.csv,4,0.085,0.002,0.734423,5,6,30
servo.csv,4,0.1,0.002,1.05408,5,3,30
servo.csv,4,0.2,0.0,2.4179,1,0,30
servo.csv,4,0.5,0.0,2.4179,1,0,30
servo.csv,5,0.0001,0.02,0.62254,30,680,30
servo.csv,5,0.0002,0.019,0.62308,30,555,30
servo.csv,5,0.0005,0.016,0.62254,30,418,30
servo.csv,5,0.001,0.016,0.861846,24,405,30
servo.csv,5,0.002,0.014,0.861846,24,337,30
servo.csv,5,0.003,0.014,0.643367,16,354,30
servo.csv,5,0.004,0.013,0.643367,16,318,30
servo.csv,5,0.005,0.014,0.799525,12,305,30
servo.csv,5,0.006,0.013,0.643367,16,272,30
servo.csv,5,0.007,0.012,0.643367,16,255,30
servo.csv,5,0.008,0.012,0.799308,16,286,30
servo.csv,5,0.009000000000000001,0.013,0.799308,16,277,30
servo.csv,5,0.01,0.013,0.799308,16,285,30
servo.csv,5,0.035,0.008,0.629709,6,120,30
servo.csv,5,0.060000000000000005,0.004,0.767481,6,17,30
servo.csv,5,0.085,0.003,0.86503,6,5,30
servo.csv,5,0.1,0.002,1.62622,3,0,30
servo.csv,5,0.2,0.0,2.4179,1,0,30
servo.csv,5,0.5,0.0,2.4179,1,0,30
servo.csv,6,0.0001,0.1,0.57839,49,3383,30
servo.csv,6,0.0002,0.096,0.57882,46,2787,30
servo.csv,6,0.0005,0.077,0.580788,37,2024,30
servo.csv,6,0.001,0.065,0.580235,38,1673,30
servo.csv,6,0.002,0.061,0.610116,27,1473,30
servo.csv,6,0.003,0.06,0.497871,16,1505,30
servo.csv,6,0.004,0.05,0.497871,16,1160,30
servo.csv,6,0.005,0.049,0.497871,16,1112,30
servo.csv,6,0.006,0.044,0.497871,16,969,30
servo.csv,6,0.007,0.047,0.493715,16,1103,30
servo.csv,6,0.008,0.047,0.55255,13,1168,30
servo.csv,6,0.009000000000000001,0.047,0.55255,13,1131,30
servo.csv,6,0.01,0.047,0.570766,12,1130,30
servo.csv,6,0.035,0.016,0.690803,10,197,30
servo.csv,6,0.060000000000000005,0.007,0.949166,7,16,30
servo.csv,6,0.085,0.004,1.6775,3,0,30
servo.csv,6,0.1,0.002,1.62622,3,0,30
servo.csv,6,0.2,0.001,2.4179,1,0,30
servo.csv,6,0.5,0.001,2.4179,1,0,30
servo.csv,7,0.0001,0.584,0.25453,72,14437,30
servo.csv,7,0.0002,0.535,0.255337,62,11728,30
servo.csv,7,0.0005,0.432,0.260563,41,8637,30
servo.csv,7,0.001,0.389,0.261667,37,7595,30
servo.csv,7,0.002,0.34,0.287484,31,6162,30
servo.csv,7,0.003,0.345,0.295247,20,6423,30
servo.csv,7,0.004,0.327,0.295247,20,5715,30
servo.csv,7,0.005,0.317,0.295247,20,5547,30
servo.csv,7,0.006,0.277,0.295247,20,4939,30
servo.csv,7,0.007,0.251,0.310457,19,4583,30
servo.csv,7,0.008,0.249,0.310457,19,4652,30
servo.csv,7,0.009000000000000001,0.24,0.505733,11,4416,30
servo.csv,7,0.01,0.242,0.505733,11,4464,30
servo.csv,7,0.035,0.081,1.05408,5,810,30
servo.csv,7,0.060000000000000005,0.022,0.734423,5,11,30
servo.csv,7,0.085,0.015,1.05408,5,1,30
servo.csv,7,0.1,0.011,1.62622,3,0,30
servo.csv,7,0.2,0.007,2.4179,1,0,30
servo.csv,7,0.5,0.006,2.4179,1,0,30
servo.csv,8,0.0001,1.968,0.0535918,95,35571,30
servo.csv,8,0.0002,1.787,0.05561,83,28835,30
servo.csv,8,0.0005,1.434,0.0621251,65,21088,30
servo.csv,8,0.001,1.306,0.0647167,64,18336,30
servo.csv,8,0.002,1.151,0.105738,40,14944,30
servo.csv,8,0.003,1.245,0.123522,24,15781,30
servo.csv,8,0.004,1.122,0.137053,21,14230,30
servo.csv,8,0.005,1.1,0.138087,14,13846,30
servo.csv,8,0.006,0.982,0.138087,14,12247,30
servo.csv,8,0.007,0.902,0.153296,13,11425,30
servo.csv,8,0.008,0.875,0.153296,13,11477,30
servo.csv,8,0.009000000000000001,0.849,0.18166,15,10866,30
servo.csv,8,0.01,0.789,0.153296,13,10233,30
servo.csv,8,0.035,0.248,0.604637,6,1385,30
servo.csv,8,0.060000000000000005,0.09,0.734423,5,10,30
servo.csv,8,0.085,0.066,1.05408,5,1,30
servo.csv,8,0.1,0.055,0.982357,4,1,30
servo.csv,8,0.2,0.032,2.4179,1,0,30
servo.csv,8,0.5,0.004,2.4179,1,0,30
servo.csv,9,0.0001,6.29,0.0224026,105,62001,30
servo.csv,9,0.0002,5.502,0.0287624,63,50162,30
servo.csv,9,0.0005,4.141,0.0302011,59,36257,30
servo.csv,9,0.001,3.379,0.0390975,44,29975,30
servo.csv,9,0.002,2.757,0.060006,30,22287,30
servo.csv,9,0.003,3.12,0.0806144,22,25219,30
servo.csv,9,0.004,2.728,0.132023,16,21613,30
servo.csv,9,0.005,2.703,0.13807,15,20460,30
servo.csv,9,0.006,2.329,0.13807,15,17227,30
servo.csv,9,0.007,2.084,0.15328,14,15816,30
servo.csv,9,0.008,2.13,0.15328,14,16297,30
servo.csv,9,0.009000000000000001,1.956,0.15328,14,14440,30
servo.csv,9,0.01,1.873,0.15328,14,13727,30
servo.csv,9,0.035,-1,-1,-1,-1,30
servo.csv,9,0.060000000000000005,0.3,0.734423,5,4,30
servo.csv,9,0.085,0.201,1.05408,5,1,30
servo.csv,9,0.1,0.178,1.05408,5,1,30
servo.csv,9,0.2,0.116,2.4179,1,0,30
servo.csv,9,0.5,0.004,2.4179,1,0,30
servo.csv,10,0.0001,14.585,0.00491161,105,72612,30
servo.csv,10,0.0002,12.011,0.0110037,70,59392,30
servo.csv,10,0.0005,7.604,0.014021,61,42506,30
servo.csv,10,0.001,5.99,0.0207021,41,34212,30
servo.csv,10,0.002,4.895,0.0359715,37,24265,30
servo.csv,10,0.003,6.585,0.0499376,25,29285,30
servo.csv,10,0.004,5.715,0.0987986,18,24685,30
servo.csv,10,0.005,5.789,0.118889,16,23398,30
servo.csv,10,0.006,4.899,0.118889,16,19111,30
servo.csv,10,0.007,4.378,0.13894,15,16596,30
servo.csv,10,0.008,4.446,0.134099,15,16916,30
servo.csv,10,0.009000000000000001,3.921,0.134099,15,14969,30
servo.csv,10,0.01,3.814,0.15328,14,14711,30
servo.csv,10,0.035,31,-1,-1,-1,30
