dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
sync.csv,2,0.0001,0.001,0.00694924,4,1,30
sync.csv,2,0.0002,0.001,0.00694924,4,1,30
sync.csv,2,0.0005,0.0,0.00694924,4,1,30
sync.csv,2,0.001,0.0,0.00694924,4,1,30
sync.csv,2,0.002,0.001,0.00694924,4,1,30
sync.csv,2,0.003,0.0,0.00694924,4,1,30
sync.csv,2,0.004,0.001,0.00694924,4,1,30
sync.csv,2,0.005,0.0,0.00694924,4,1,30
sync.csv,2,0.006,0.001,0.00694924,4,1,30
sync.csv,2,0.007,0.001,0.00694924,4,1,30
sync.csv,2,0.008,0.001,0.00694924,4,1,30
sync.csv,2,0.009000000000000001,0.0,0.00694924,4,1,30
sync.csv,2,0.01,0.001,0.00694924,4,1,30
sync.csv,2,0.035,0.0,0.00694924,4,1,30
sync.csv,2,0.060000000000000005,0.001,0.00702319,3,1,30
sync.csv,2,0.085,0.0,0.00702319,3,1,30
sync.csv,2,0.1,0.0,0.00702319,3,1,30
sync.csv,2,0.2,0.001,0.00702319,3,1,30
sync.csv,2,0.5,0.0,0.0325455,1,1,30
sync.csv,3,0.0001,0.001,0.00222568,8,24,30
sync.csv,3,0.0002,0.001,0.00222568,8,24,30
sync.csv,3,0.0005,0.001,0.00222568,8,24,30
sync.csv,3,0.001,0.001,0.00222568,8,23,30
sync.csv,3,0.002,0.001,0.00222568,8,22,30
sync.csv,3,0.003,0.001,0.00222568,8,21,30
sync.csv,3,0.004,0.001,0.00222568,8,21,30
sync.csv,3,0.005,0.001,0.00222568,8,21,30
sync.csv,3,0.006,0.001,0.00222568,8,21,30
sync.csv,3,0.007,0.001,0.00222568,8,21,30
sync.csv,3,0.008,0.001,0.00222568,8,20,30
sync.csv,3,0.009000000000000001,0.001,0.00222568,8,20,30
sync.csv,3,0.01,0.002,0.002515,5,18,30
sync.csv,3,0.035,0.001,0.002515,5,10,30
sync.csv,3,0.060000000000000005,0.001,0.00258895,4,12,30
sync.csv,3,0.085,0.001,0.00391681,4,6,30
sync.csv,3,0.1,0.001,0.00391681,4,5,30
sync.csv,3,0.2,0.001,0.00702319,3,8,30
sync.csv,3,0.5,0.001,0.0325455,1,0,30
sync.csv,4,0.0001,0.007,0.00179028,15,174,30
sync.csv,4,0.0002,0.007,0.00179028,15,162,30
sync.csv,4,0.0005,0.007,0.00179028,15,159,30
sync.csv,4,0.001,0.007,0.00179028,15,151,30
sync.csv,4,0.002,0.004,0.00184745,14,90,30
sync.csv,4,0.003,0.003,0.00197291,13,46,30
sync.csv,4,0.004,0.003,0.00207766,14,31,30
sync.csv,4,0.005,0.002,0.00207766,14,30,30
sync.csv,4,0.006,0.003,0.00225567,13,28,30
sync.csv,4,0.007,0.002,0.00225567,13,27,30
sync.csv,4,0.008,0.003,0.00247527,10,21,30
sync.csv,4,0.009000000000000001,0.002,0.00247527,10,20,30
sync.csv,4,0.01,0.003,0.00196013,13,28,30
sync.csv,4,0.035,0.003,0.00238621,9,16,30
sync.csv,4,0.060000000000000005,0.003,0.00258895,4,35,30
sync.csv,4,0.085,0.002,0.00258895,4,19,30
sync.csv,4,0.1,0.003,0.00391681,4,17,30
sync.csv,4,0.2,0.003,0.00702319,3,11,30
sync.csv,4,0.5,0.0,0.0325455,1,0,30
sync.csv,5,0.0001,0.03,0.00143366,25,755,30
sync.csv,5,0.0002,0.026,0.00143366,25,634,30
sync.csv,5,0.0005,0.013,0.00145376,25,299,30
sync.csv,5,0.001,0.01,0.00150982,25,189,30
sync.csv,5,0.002,0.008,0.00165802,21,132,30
sync.csv,5,0.003,0.006,0.001631,21,69,30
sync.csv,5,0.004,0.007,0.00185892,13,76,30
sync.csv,5,0.005,0.006,0.00185892,13,61,30
sync.csv,5,0.006,0.006,0.00208258,11,53,30
sync.csv,5,0.007,0.005,0.00236137,7,41,30
sync.csv,5,0.008,0.005,0.00236137,7,41,30
sync.csv,5,0.009000000000000001,0.005,0.00222036,10,38,30
sync.csv,5,0.01,0.005,0.00253992,7,41,30
sync.csv,5,0.035,0.005,0.00239891,10,19,30
sync.csv,5,0.060000000000000005,0.009,0.00258895,4,54,30
sync.csv,5,0.085,0.008,0.00258895,4,23,30
sync.csv,5,0.1,0.007,0.00258895,4,18,30
sync.csv,5,0.2,0.006,0.00702319,3,0,30
sync.csv,5,0.5,0.0,0.0325455,1,0,30
sync.csv,6,0.0001,0.01,0.00139921,31,131,30
sync.csv,6,0.0002,0.013,0.00137874,33,180,30
