dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
sync.csv,2,0.0001,0.001,0.00694924,4,1,30
sync.csv,2,0.0002,0.0,0.00694924,4,1,30
sync.csv,2,0.0005,0.0,0.00694924,4,1,30
sync.csv,2,0.001,0.001,0.00694924,4,1,30
sync.csv,2,0.002,0.001,0.00694924,4,1,30
sync.csv,2,0.003,0.0,0.00694924,4,1,30
sync.csv,2,0.004,0.0,0.00694924,4,1,30
sync.csv,2,0.005,0.001,0.00694924,4,1,30
sync.csv,2,0.006,0.0,0.00694924,4,1,30
sync.csv,2,0.007,0.001,0.00694924,4,1,30
sync.csv,2,0.008,0.0,0.00694924,4,1,30
sync.csv,2,0.009000000000000001,0.0,0.00694924,4,1,30
sync.csv,2,0.01,0.0,0.00694924,4,1,30
sync.csv,2,0.035,0.001,0.00694924,4,1,30
sync.csv,2,0.060000000000000005,0.0,0.00702319,3,1,30
sync.csv,2,0.085,0.0,0.00702319,3,1,30
sync.csv,2,0.1,0.001,0.00702319,3,1,30
sync.csv,2,0.2,0.0,0.00702319,3,1,30
sync.csv,2,0.5,0.001,0.0325455,1,1,30
sync.csv,3,0.0001,0.001,0.00222568,8,24,30
sync.csv,3,0.0002,0.001,0.00222568,8,24,30
sync.csv,3,0.0005,0.001,0.00222568,8,24,30
sync.csv,3,0.001,0.002,0.00222568,8,24,30
sync.csv,3,0.002,0.001,0.00222568,8,24,30
sync.csv,3,0.003,0.001,0.00222568,8,24,30
sync.csv,3,0.004,0.001,0.00222568,8,24,30
sync.csv,3,0.005,0.001,0.00222568,8,24,30
sync.csv,3,0.006,0.001,0.00222568,8,24,30
sync.csv,3,0.007,0.001,0.00222568,8,24,30
sync.csv,3,0.008,0.001,0.00222568,8,24,30
sync.csv,3,0.009000000000000001,0.001,0.00222568,8,24,30
sync.csv,3,0.01,0.001,0.00222568,8,24,30
sync.csv,3,0.035,0.001,0.00222568,8,24,30
sync.csv,3,0.060000000000000005,0.001,0.00258895,4,24,30
sync.csv,3,0.085,0.001,0.00258895,4,24,30
sync.csv,3,0.1,0.001,0.00258895,4,24,30
sync.csv,3,0.2,0.001,0.00702319,3,24,30
sync.csv,3,0.5,0.001,0.0325455,1,24,30
sync.csv,4,0.0001,0.007,0.00179028,15,209,30
sync.csv,4,0.0002,0.006,0.00179028,15,209,30
sync.csv,4,0.0005,0.007,0.00179028,15,209,30
sync.csv,4,0.001,0.007,0.00179028,15,209,30
sync.csv,4,0.002,0.007,0.00179028,15,209,30
sync.csv,4,0.003,0.007,0.00179028,15,209,30
sync.csv,4,0.004,0.007,0.00179028,15,210,30
sync.csv,4,0.005,0.007,0.00179028,15,210,30
