dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
sync.csv,2,0.0001,0.0,0.00694924,4,1,30
sync.csv,2,0.0002,0.001,0.00694924,4,1,30
sync.csv,2,0.0005,0.0,0.00694924,4,1,30
sync.csv,2,0.001,0.0,0.00694924,4,1,30
sync.csv,2,0.002,0.0,0.00694924,4,1,30
sync.csv,2,0.003,0.0,0.00694924,4,1,30
sync.csv,2,0.004,0.0,0.00694924,4,1,30
sync.csv,2,0.005,0.0,0.00694924,4,1,30
sync.csv,2,0.006,0.0,0.00694924,4,1,30
sync.csv,2,0.007,0.0,0.00694924,4,1,30
sync.csv,2,0.008,0.0,0.00694924,4,1,30
sync.csv,2,0.009000000000000001,0.0,0.00694924,4,1,30
sync.csv,2,0.01,0.0,0.00694924,4,1,30
sync.csv,2,0.035,0.0,0.00694924,4,1,30
sync.csv,2,0.060000000000000005,0.0,0.00702319,3,1,30
sync.csv,2,0.085,0.0,0.00702319,3,1,30
sync.csv,2,0.1,0.0,0.00702319,3,1,30
sync.csv,2,0.2,0.0,0.00702319,3,1,30
sync.csv,2,0.5,0.0,0.0325455,1,1,30
sync.csv,3,0.0001,0.001,0.00222568,8,24,30
sync.csv,3,0.0002,0.001,0.00222568,8,24,30
sync.csv,3,0.0005,0.001,0.00222568,8,24,30
sync.csv,3,0.001,0.001,0.00222568,8,24,30
sync.csv,3,0.002,0.001,0.00222568,8,24,30
sync.csv,3,0.003,0.001,0.00222568,8,24,30
sync.csv,3,0.004,0.001,0.00222568,8,24,30
sync.csv,3,0.005,0.001,0.00222568,8,24,30
sync.csv,3,0.006,0.001,0.00222568,8,24,30
sync.csv,3,0.007,0.001,0.00222568,8,24,30
sync.csv,3,0.008,0.001,0.00222568,8,24,30
sync.csv,3,0.009000000000000001,0.001,0.00222568,8,24,30
sync.csv,3,0.01,0.001,0.00222568,8,24,30
sync.csv,3,0.035,0.001,0.00222568,8,24,30
sync.csv,3,0.060000000000000005,0.001,0.00258895,4,24,30
sync.csv,3,0.085,0.001,0.00258895,4,24,30
sync.csv,3,0.1,0.001,0.00258895,4,24,30
sync.csv,3,0.2,0.001,0.00702319,3,24,30
sync.csv,3,0.5,0.001,0.0325455,1,24,30
sync.csv,4,0.0001,0.007,0.00179028,15,219,30
sync.csv,4,0.0002,0.007,0.00179028,15,219,30
sync.csv,4,0.0005,0.007,0.00179028,15,219,30
sync.csv,4,0.001,0.007,0.00179028,15,219,30
sync.csv,4,0.002,0.007,0.00179028,15,219,30
sync.csv,4,0.003,0.007,0.00179028,15,219,30
sync.csv,4,0.004,0.007,0.00179028,15,219,30
sync.csv,4,0.005,0.007,0.00179028,15,219,30
sync.csv,4,0.006,0.007,0.00179028,15,219,30
sync.csv,4,0.007,0.007,0.00179028,15,219,30
sync.csv,4,0.008,0.006,0.00179028,15,219,30
sync.csv,4,0.009000000000000001,0.007,0.00205962,9,219,30
sync.csv,4,0.01,0.007,0.00205962,9,219,30
sync.csv,4,0.035,0.006,0.00205962,9,216,30
sync.csv,4,0.060000000000000005,0.007,0.00258895,4,211,30
sync.csv,4,0.085,0.006,0.00258895,4,204,30
sync.csv,4,0.1,0.006,0.00258895,4,187,30
sync.csv,4,0.2,0.006,0.00702319,3,167,30
sync.csv,4,0.5,0.002,0.0325455,1,0,30
sync.csv,5,0.0001,0.032,0.00143366,25,1120,30
sync.csv,5,0.0002,0.031,0.00143366,25,1119,30
sync.csv,5,0.0005,0.031,0.00143366,25,1120,30
sync.csv,5,0.001,0.031,0.00145817,22,1126,30
sync.csv,5,0.002,0.03,0.00145817,22,1139,30
sync.csv,5,0.003,0.03,0.00145817,22,1134,30
sync.csv,5,0.004,0.03,0.00145817,22,1131,30
sync.csv,5,0.005,0.032,0.00176988,16,1135,30
sync.csv,5,0.006,0.03,0.00176988,16,1129,30
sync.csv,5,0.007,0.031,0.00176988,16,1129,30
sync.csv,5,0.008,0.03,0.00175892,16,1128,30
sync.csv,5,0.009000000000000001,0.032,0.00203904,10,1125,30
sync.csv,5,0.01,0.031,0.00203904,10,1108,30
sync.csv,5,0.035,0.026,0.00203904,10,882,30
sync.csv,5,0.060000000000000005,0.025,0.00258895,4,757,30
sync.csv,5,0.085,0.024,0.00258895,4,648,30
sync.csv,5,0.1,0.022,0.00258895,4,593,30
sync.csv,5,0.2,0.02,0.00702319,3,426,30
sync.csv,5,0.5,0.002,0.0325455,1,0,30
sync.csv,6,0.0001,0.096,0.00137999,32,3412,30
sync.csv,6,0.0002,0.095,0.00137999,32,3409,30
sync.csv,6,0.0005,0.096,0.00137999,32,3378,30
sync.csv,6,0.001,0.093,0.00137999,32,3353,30
sync.csv,6,0.002,0.093,0.0014774,22,3281,30
sync.csv,6,0.003,0.093,0.00156465,24,3193,30
sync.csv,6,0.004,0.094,0.00156465,24,3108,30
sync.csv,6,0.005,0.091,0.00201341,11,3091,30
sync.csv,6,0.006,0.092,0.00201341,11,3040,30
sync.csv,6,0.007,0.091,0.00201341,11,2954,30
sync.csv,6,0.008,0.092,0.00202621,11,2842,30
sync.csv,6,0.009000000000000001,0.088,0.00201341,11,2756,30
sync.csv,6,0.01,0.087,0.0020135,11,2622,30
sync.csv,6,0.035,0.072,0.00258895,4,1633,30
sync.csv,6,0.060000000000000005,0.066,0.00258895,4,1197,30
sync.csv,6,0.085,0.06,0.00258895,4,894,30
sync.csv,6,0.1,0.057,0.00258895,4,715,30
