dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
yacht.csv,2,0.0001,0.0,64.2502,4,1,30
yacht.csv,2,0.0002,0.001,64.2502,4,1,30
yacht.csv,2,0.0005,0.001,64.2502,4,1,30
yacht.csv,2,0.001,0.001,64.2502,4,1,30
yacht.csv,2,0.002,0.001,64.2502,4,1,30
yacht.csv,2,0.003,0.001,64.7509,3,1,30
yacht.csv,2,0.004,0.001,64.7509,3,1,30
yacht.csv,2,0.005,0.001,64.7509,3,1,30
yacht.csv,2,0.006,0.001,64.7509,3,1,30
yacht.csv,2,0.007,0.001,64.7509,3,1,30
yacht.csv,2,0.008,0.001,64.7509,3,1,30
yacht.csv,2,0.009000000000000001,0.001,64.7509,3,1,30
yacht.csv,2,0.01,0.001,64.7509,3,1,30
yacht.csv,2,0.035,0.0,68.0875,2,1,30
yacht.csv,2,0.060000000000000005,0.001,68.0875,2,1,30
yacht.csv,2,0.085,0.001,68.0875,2,1,30
yacht.csv,2,0.1,0.001,68.0875,2,1,30
yacht.csv,2,0.2,0.0,68.0875,2,1,30
yacht.csv,2,0.5,0.001,68.0875,2,1,30
yacht.csv,3,0.0001,0.002,63.9111,8,33,30
yacht.csv,3,0.0002,0.003,63.9111,8,33,30
yacht.csv,3,0.0005,0.002,63.9111,8,32,30
yacht.csv,3,0.001,0.003,63.9111,8,32,30
yacht.csv,3,0.002,0.002,64.718,6,32,30
yacht.csv,3,0.003,0.002,64.718,6,32,30
yacht.csv,3,0.004,0.003,64.7509,3,33,30
yacht.csv,3,0.005,0.002,64.7509,3,33,30
yacht.csv,3,0.006,0.002,64.7509,3,33,30
yacht.csv,3,0.007,0.002,64.7509,3,33,30
yacht.csv,3,0.008,0.003,64.7509,3,33,30
yacht.csv,3,0.009000000000000001,0.002,64.7509,3,33,30
yacht.csv,3,0.01,0.002,64.7509,3,33,30
yacht.csv,3,0.035,0.002,68.0875,2,32,30
yacht.csv,3,0.060000000000000005,0.003,68.0875,2,35,30
yacht.csv,3,0.085,0.003,68.0875,2,35,30
yacht.csv,3,0.1,0.002,68.0875,2,35,30
yacht.csv,3,0.2,0.002,68.0875,2,33,30
yacht.csv,3,0.5,0.002,68.0875,2,32,30
yacht.csv,4,0.0001,0.011,63.7092,15,233,30
yacht.csv,4,0.0002,0.012,63.7092,15,232,30
yacht.csv,4,0.0005,0.011,63.8154,14,225,30
yacht.csv,4,0.001,0.011,64.1809,12,232,30
yacht.csv,4,0.002,0.012,68.0875,2,252,30
yacht.csv,4,0.003,0.012,64.718,6,247,30
yacht.csv,4,0.004,0.011,64.7509,3,230,30
yacht.csv,4,0.005,0.011,64.7509,3,220,30
yacht.csv,4,0.006,0.011,64.7509,3,217,30
yacht.csv,4,0.007,0.011,64.7509,3,216,30
yacht.csv,4,0.008,0.012,64.7509,3,217,30
yacht.csv,4,0.009000000000000001,0.011,64.7509,3,218,30
yacht.csv,4,0.01,0.011,64.7509,3,216,30
yacht.csv,4,0.035,0.011,68.0875,2,180,30
yacht.csv,4,0.060000000000000005,0.011,68.0875,2,157,30
yacht.csv,4,0.085,0.009,68.0875,2,145,30
yacht.csv,4,0.1,0.01,68.0875,2,136,30
yacht.csv,4,0.2,0.009,68.0875,2,90,30
yacht.csv,4,0.5,0.005,68.0875,2,0,30
yacht.csv,5,0.0001,0.07,63.6024,25,1565,30
yacht.csv,5,0.0002,0.078,63.6284,24,1818,30
yacht.csv,5,0.0005,0.073,63.8516,19,1587,30
yacht.csv,5,0.001,0.08,63.8885,13,1747,30
yacht.csv,5,0.002,0.072,64.718,6,1538,30
yacht.csv,5,0.003,0.066,64.7509,3,1388,30
yacht.csv,5,0.004,0.066,64.7509,3,1369,30
yacht.csv,5,0.005,0.063,64.7509,3,1354,30
yacht.csv,5,0.006,0.063,64.7509,3,1306,30
yacht.csv,5,0.007,0.05,64.7509,3,981,30
yacht.csv,5,0.008,0.05,64.7509,3,983,30
yacht.csv,5,0.009000000000000001,0.049,64.7509,3,975,30
yacht.csv,5,0.01,0.05,64.7509,3,961,30
yacht.csv,5,0.035,0.046,68.0875,2,640,30
yacht.csv,5,0.060000000000000005,0.04,68.0875,2,437,30
yacht.csv,5,0.085,0.034,68.0875,2,314,30
yacht.csv,5,0.1,0.029,68.0875,2,266,30
yacht.csv,5,0.2,0.022,68.0875,2,22,30
yacht.csv,5,0.5,0.006,68.0875,2,0,30
yacht.csv,6,0.0001,0.646,62.9748,31,13798,30
yacht.csv,6,0.0002,0.572,63.0632,28,11644,30
yacht.csv,6,0.0005,0.534,62.8961,15,11098,30
yacht.csv,6,0.001,0.546,63.9111,8,10484,30
yacht.csv,6,0.002,0.491,64.718,6,9513,30
yacht.csv,6,0.003,0.433,64.7509,3,7818,30
yacht.csv,6,0.004,0.292,64.7509,3,3736,30
yacht.csv,6,0.005,0.255,64.7509,3,3741,30
yacht.csv,6,0.006,0.247,64.7509,3,3656,30
yacht.csv,6,0.007,0.233,64.7509,3,3424,30
yacht.csv,6,0.008,0.198,64.7509,3,2904,30
yacht.csv,6,0.009000000000000001,0.193,64.7509,3,2883,30
yacht.csv,6,0.01,0.192,64.7509,3,2836,30
yacht.csv,6,0.035,0.184,68.0875,2,1759,30
yacht.csv,6,0.060000000000000005,0.186,68.0875,2,1603,30
yacht.csv,6,0.085,0.173,68.0875,2,961,30
yacht.csv,6,0.1,0.165,68.0875,2,718,30
yacht.csv,6,0.2,0.061,68.0875,2,0,30
yacht.csv,6,0.5,0.007,68.0875,2,0,30
yacht.csv,7,0.0001,11.123,62.6919,19,187837,30
yacht.csv,7,0.0002,9.415,62.7809,15,165399,30
yacht.csv,7,0.0005,8.63,63.0632,10,154828,30
yacht.csv,7,0.001,8.785,64.2502,4,149130,30
yacht.csv,7,0.002,8.91,64.2502,4,136684,30
yacht.csv,7,0.003,7.802,64.7509,3,115832,30
yacht.csv,7,0.004,5.688,64.7509,3,75506,30
yacht.csv,7,0.005,5.62,64.7509,3,73441,30
yacht.csv,7,0.006,5.538,64.7509,3,71930,30
yacht.csv,7,0.007,5.206,64.7509,3,68341,30
yacht.csv,7,0.008,4.834,64.7509,3,63379,30
