dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
yacht.csv,2,0.0001,0.0,64.2502,4,1,30
yacht.csv,2,0.0002,0.001,64.2502,4,1,30
yacht.csv,2,0.0005,0.001,64.2502,4,1,30
yacht.csv,2,0.001,0.001,64.2502,4,1,30
yacht.csv,2,0.002,0.001,64.2502,4,1,30
yacht.csv,2,0.003,0.001,64.7509,3,1,30
yacht.csv,2,0.004,0.0,64.7509,3,1,30
yacht.csv,2,0.005,0.0,64.7509,3,1,30
yacht.csv,2,0.006,0.0,64.7509,3,1,30
yacht.csv,2,0.007,0.001,64.7509,3,1,30
yacht.csv,2,0.008,0.001,64.7509,3,1,30
yacht.csv,2,0.009000000000000001,0.001,64.7509,3,1,30
yacht.csv,2,0.01,0.0,64.7509,3,1,30
yacht.csv,2,0.035,0.001,68.0875,2,1,30
yacht.csv,2,0.060000000000000005,0.0,68.0875,2,1,30
yacht.csv,2,0.085,0.0,68.0875,2,1,30
yacht.csv,2,0.1,0.0,68.0875,2,1,30
yacht.csv,2,0.2,0.0,68.0875,2,1,30
yacht.csv,2,0.5,0.001,68.0875,2,1,30
yacht.csv,3,0.0001,0.004,63.5886,8,70,30
yacht.csv,3,0.0002,0.003,63.6252,7,70,30
yacht.csv,3,0.0005,0.004,63.6252,7,70,30
yacht.csv,3,0.001,0.004,63.9725,5,70,30
yacht.csv,3,0.002,0.003,64.2502,4,70,30
yacht.csv,3,0.003,0.003,64.7509,3,70,30
yacht.csv,3,0.004,0.004,64.7509,3,70,30
yacht.csv,3,0.005,0.005,64.7509,3,70,30
yacht.csv,3,0.006,0.004,64.7509,3,70,30
yacht.csv,3,0.007,0.004,64.7509,3,70,30
yacht.csv,3,0.008,0.003,64.7509,3,70,30
yacht.csv,3,0.009000000000000001,0.004,64.7509,3,70,30
yacht.csv,3,0.01,0.004,64.7509,3,70,30
yacht.csv,3,0.035,0.004,68.0875,2,70,30
yacht.csv,3,0.060000000000000005,0.004,68.0875,2,70,30
yacht.csv,3,0.085,0.004,68.0875,2,70,30
yacht.csv,3,0.1,0.004,68.0875,2,69,30
yacht.csv,3,0.2,0.004,68.0875,2,69,30
yacht.csv,3,0.5,0.003,68.0875,2,62,30
yacht.csv,4,0.0001,0.068,63.0023,12,1488,30
yacht.csv,4,0.0002,0.07,63.039,11,1498,30
yacht.csv,4,0.0005,0.07,63.1766,9,1519,30
yacht.csv,4,0.001,0.07,63.9725,5,1561,30
yacht.csv,4,0.002,0.071,64.2502,4,1533,30
yacht.csv,4,0.003,0.069,64.7509,3,1507,30
yacht.csv,4,0.004,0.069,64.7509,3,1486,30
yacht.csv,4,0.005,0.067,64.7509,3,1450,30
yacht.csv,4,0.006,0.068,64.7509,3,1443,30
yacht.csv,4,0.007,0.066,64.7509,3,1442,30
yacht.csv,4,0.008,0.065,64.7509,3,1441,30
yacht.csv,4,0.009000000000000001,0.065,64.7509,3,1441,30
yacht.csv,4,0.01,0.066,64.7509,3,1441,30
yacht.csv,4,0.035,0.053,68.0875,2,1347,30
yacht.csv,4,0.060000000000000005,0.05,68.0875,2,1284,30
yacht.csv,4,0.085,0.05,68.0875,2,1260,30
yacht.csv,4,0.1,0.051,68.0875,2,1243,30
yacht.csv,4,0.2,0.048,68.0875,2,1085,30
yacht.csv,4,0.5,0.015,68.0875,2,0,30
yacht.csv,5,0.0001,0.841,62.6754,17,18664,30
yacht.csv,5,0.0002,0.846,62.7939,13,18866,30
yacht.csv,5,0.0005,0.854,63.1766,9,19067,30
yacht.csv,5,0.001,0.861,63.9725,5,19159,30
yacht.csv,5,0.002,0.819,64.2502,4,18849,30
yacht.csv,5,0.003,0.791,64.7509,3,19849,30
yacht.csv,5,0.004,0.778,64.7509,3,20426,30
yacht.csv,5,0.005,0.751,64.7509,3,19863,30
yacht.csv,5,0.006,0.751,64.7509,3,19904,30
yacht.csv,5,0.007,0.75,64.7509,3,20000,30
yacht.csv,5,0.008,0.752,64.7509,3,20053,30
yacht.csv,5,0.009000000000000001,0.758,64.7509,3,20133,30
yacht.csv,5,0.01,0.755,64.7509,3,20170,30
yacht.csv,5,0.035,0.395,68.0875,2,10162,30
yacht.csv,5,0.060000000000000005,0.367,68.0875,2,9105,30
yacht.csv,5,0.085,0.338,68.0875,2,7671,30
yacht.csv,5,0.1,0.327,68.0875,2,6910,30
yacht.csv,5,0.2,0.239,68.0875,2,3517,30
yacht.csv,5,0.5,0.015,68.0875,2,0,30
yacht.csv,6,0.0001,7.82,62.6879,16,171891,30
yacht.csv,6,0.0002,7.727,62.7812,13,173547,30
yacht.csv,6,0.0005,7.79,63.1766,9,177815,30
yacht.csv,6,0.001,7.823,63.9725,5,185424,30
yacht.csv,6,0.002,7.819,64.2502,4,198375,30
yacht.csv,6,0.003,7.0,64.7509,3,175662,30
yacht.csv,6,0.004,6.114,64.7509,3,155977,30
yacht.csv,6,0.005,5.705,64.7509,3,146093,30
yacht.csv,6,0.006,5.686,64.7509,3,141818,30
yacht.csv,6,0.007,5.437,64.7509,3,140839,30
yacht.csv,6,0.008,5.275,64.7509,3,139705,30
yacht.csv,6,0.009000000000000001,5.119,64.7509,3,138878,30
yacht.csv,6,0.01,5.097,64.7509,3,138348,30
yacht.csv,6,0.035,2.16,68.0875,2,48251,30
yacht.csv,6,0.060000000000000005,1.87,68.0875,2,37524,30
yacht.csv,6,0.085,1.49,68.0875,2,22645,30
yacht.csv,6,0.1,1.242,68.0875,2,15672,30
yacht.csv,6,0.2,0.532,68.0875,2,0,30
yacht.csv,6,0.5,0.014,68.0875,2,0,30
yacht.csv,7,0.0001,31,-1,-1,-1,30
yacht.csv,7,0.0002,31,-1,-1,-1,30
yacht.csv,7,0.0005,31,-1,-1,-1,30
yacht.csv,7,0.001,31,-1,-1,-1,30
yacht.csv,7,0.002,31,-1,-1,-1,30
yacht.csv,7,0.003,31,-1,-1,-1,30
yacht.csv,7,0.004,31,-1,-1,-1,30
yacht.csv,7,0.005,31,-1,-1,-1,30
yacht.csv,7,0.006,31,-1,-1,-1,30
yacht.csv,7,0.007,31,-1,-1,-1,30
yacht.csv,7,0.008,31,-1,-1,-1,30
yacht.csv,7,0.009000000000000001,31,-1,-1,-1,30
