dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
yacht.csv,2,0.0001,0.001,64.2502,4,1,30
yacht.csv,2,0.0002,0.0,64.2502,4,1,30
yacht.csv,2,0.0005,0.001,64.2502,4,1,30
yacht.csv,2,0.001,0.001,64.2502,4,1,30
yacht.csv,2,0.002,0.001,64.2502,4,1,30
yacht.csv,2,0.003,0.001,64.7509,3,1,30
yacht.csv,2,0.004,0.001,64.7509,3,1,30
yacht.csv,2,0.005,0.001,64.7509,3,1,30
yacht.csv,2,0.006,0.0,64.7509,3,1,30
yacht.csv,2,0.007,0.001,64.7509,3,1,30
yacht.csv,2,0.008,0.001,64.7509,3,1,30
yacht.csv,2,0.009000000000000001,0.0,64.7509,3,1,30
yacht.csv,2,0.01,0.001,64.7509,3,1,30
yacht.csv,2,0.035,0.001,68.0875,2,1,30
yacht.csv,2,0.060000000000000005,0.001,68.0875,2,1,30
yacht.csv,2,0.085,0.001,68.0875,2,1,30
yacht.csv,2,0.1,0.001,68.0875,2,1,30
yacht.csv,2,0.2,0.001,68.0875,2,1,30
yacht.csv,2,0.5,0.001,68.0875,2,1,30
yacht.csv,3,0.0001,0.004,63.5886,8,70,30
yacht.csv,3,0.0002,0.003,63.6252,7,70,30
yacht.csv,3,0.0005,0.004,63.6252,7,70,30
yacht.csv,3,0.001,0.004,63.9725,5,70,30
yacht.csv,3,0.002,0.004,64.2502,4,70,30
yacht.csv,3,0.003,0.003,64.7509,3,70,30
yacht.csv,3,0.004,0.004,64.7509,3,70,30
yacht.csv,3,0.005,0.004,64.7509,3,70,30
yacht.csv,3,0.006,0.004,64.7509,3,70,30
yacht.csv,3,0.007,0.004,64.7509,3,70,30
yacht.csv,3,0.008,0.004,64.7509,3,70,30
yacht.csv,3,0.009000000000000001,0.004,64.7509,3,70,30
yacht.csv,3,0.01,0.003,64.7509,3,70,30
yacht.csv,3,0.035,0.004,68.0875,2,70,30
yacht.csv,3,0.060000000000000005,0.004,68.0875,2,70,30
yacht.csv,3,0.085,0.004,68.0875,2,70,30
yacht.csv,3,0.1,0.004,68.0875,2,70,30
yacht.csv,3,0.2,0.004,68.0875,2,70,30
yacht.csv,3,0.5,0.004,68.0875,2,70,30
yacht.csv,4,0.0001,0.066,63.0023,12,1927,30
yacht.csv,4,0.0002,0.067,63.039,11,1927,30
yacht.csv,4,0.0005,0.067,63.1766,9,1927,30
yacht.csv,4,0.001,0.067,63.9725,5,1927,30
yacht.csv,4,0.002,0.067,64.2502,4,1928,30
yacht.csv,4,0.003,0.067,64.7509,3,1927,30
yacht.csv,4,0.004,0.068,64.7509,3,1927,30
yacht.csv,4,0.005,0.066,64.7509,3,1927,30
yacht.csv,4,0.006,0.066,64.7509,3,1927,30
yacht.csv,4,0.007,0.066,64.7509,3,1927,30
yacht.csv,4,0.008,0.067,64.7509,3,1927,30
yacht.csv,4,0.009000000000000001,0.069,64.7509,3,1927,30
yacht.csv,4,0.01,0.066,64.7509,3,1927,30
yacht.csv,4,0.035,0.068,68.0875,2,1927,30
yacht.csv,4,0.060000000000000005,0.066,68.0875,2,1927,30
yacht.csv,4,0.085,0.066,68.0875,2,1927,30
yacht.csv,4,0.1,0.066,68.0875,2,1927,30
yacht.csv,4,0.2,0.066,68.0875,2,1927,30
yacht.csv,4,0.5,0.067,68.0875,2,1927,30
yacht.csv,5,0.0001,0.98,62.6754,17,30704,30
yacht.csv,5,0.0002,0.946,62.7939,13,30704,30
yacht.csv,5,0.0005,0.955,63.1766,9,30704,30
yacht.csv,5,0.001,0.955,63.9725,5,30772,30
yacht.csv,5,0.002,0.957,64.2502,4,30705,30
yacht.csv,5,0.003,0.95,64.7509,3,30704,30
yacht.csv,5,0.004,0.951,64.7509,3,30704,30
yacht.csv,5,0.005,0.949,64.7509,3,30704,30
yacht.csv,5,0.006,0.954,64.7509,3,30704,30
yacht.csv,5,0.007,0.956,64.7509,3,30704,30
yacht.csv,5,0.008,0.956,64.7509,3,30704,30
yacht.csv,5,0.009000000000000001,0.947,64.7509,3,30704,30
yacht.csv,5,0.01,0.962,64.7509,3,30704,30
yacht.csv,5,0.035,0.95,68.0875,2,30704,30
yacht.csv,5,0.060000000000000005,0.963,68.0875,2,30704,30
yacht.csv,5,0.085,0.972,68.0875,2,30704,30
yacht.csv,5,0.1,0.954,68.0875,2,30704,30
yacht.csv,5,0.2,0.948,68.0875,2,30704,30
yacht.csv,5,0.5,0.947,68.0875,2,30704,30
yacht.csv,6,0.0001,9.982,62.6879,16,329161,30
yacht.csv,6,0.0002,9.928,62.7812,13,329161,30
yacht.csv,6,0.0005,9.894,63.1766,9,329161,30
yacht.csv,6,0.001,9.967,63.9725,5,329229,30
yacht.csv,6,0.002,9.884,64.2502,4,329162,30
yacht.csv,6,0.003,9.951,64.7509,3,329161,30
yacht.csv,6,0.004,9.964,64.7509,3,329161,30
yacht.csv,6,0.005,9.935,64.7509,3,329161,30
yacht.csv,6,0.006,9.964,64.7509,3,329161,30
yacht.csv,6,0.007,9.924,64.7509,3,329161,30
yacht.csv,6,0.008,9.977,64.7509,3,329161,30
yacht.csv,6,0.009000000000000001,9.968,64.7509,3,329161,30
yacht.csv,6,0.01,9.966,64.7509,3,329161,30
yacht.csv,6,0.035,9.914,68.0875,2,329152,30
yacht.csv,6,0.060000000000000005,10.01,68.0875,2,329151,30
yacht.csv,6,0.085,9.985,68.0875,2,329208,30
yacht.csv,6,0.1,9.934,68.0875,2,329213,30
yacht.csv,6,0.2,10.014,68.0875,2,329155,30
yacht.csv,6,0.5,9.009,68.0875,2,298206,30
yacht.csv,7,0.0001,31,-1,-1,-1,30
yacht.csv,7,0.0002,31,-1,-1,-1,30
yacht.csv,7,0.0005,31,-1,-1,-1,30
yacht.csv,7,0.001,31,-1,-1,-1,30
yacht.csv,7,0.002,31,-1,-1,-1,30
yacht.csv,7,0.003,31,-1,-1,-1,30
yacht.csv,7,0.004,31,-1,-1,-1,30
yacht.csv,7,0.005,31,-1,-1,-1,30
yacht.csv,7,0.006,31,-1,-1,-1,30
yacht.csv,7,0.007,31,-1,-1,-1,30
yacht.csv,7,0.008,31,-1,-1,-1,30
yacht.csv,7,0.009000000000000001,31,-1,-1,-1,30
yacht.csv,7,0.01,31,-1,-1,-1,30
yacht.csv,7,0.035,31,-1,-1,-1,30
yacht.csv,7,0.060000000000000005,31,-1,-1,-1,30
yacht.csv,7,0.085,31,-1,-1,-1,30
yacht.csv,7,0.1,31,-1,-1,-1,30
yacht.csv,7,0.2,31,-1,-1,-1,30
yacht.csv,7,0.5,31,-1,-1,-1,30
yacht.csv,8,0.0001,31,-1,-1,-1,30
yacht.csv,8,0.0002,31,-1,-1,-1,30
yacht.csv,8,0.0005,31,-1,-1,-1,30
yacht.csv,8,0.001,31,-1,-1,-1,30
yacht.csv,8,0.002,31,-1,-1,-1,30
yacht.csv,8,0.003,31,-1,-1,-1,30
yacht.csv,8,0.004,31,-1,-1,-1,30
yacht.csv,8,0.005,31,-1,-1,-1,30
yacht.csv,8,0.006,31,-1,-1,-1,30
yacht.csv,8,0.007,31,-1,-1,-1,30
yacht.csv,8,0.008,31,-1,-1,-1,30
yacht.csv,8,0.009000000000000001,31,-1,-1,-1,30
yacht.csv,8,0.01,31,-1,-1,-1,30
yacht.csv,8,0.035,31,-1,-1,-1,30
yacht.csv,8,0.060000000000000005,31,-1,-1,-1,30
yacht.csv,8,0.085,31,-1,-1,-1,30
yacht.csv,8,0.1,31,-1,-1,-1,30
yacht.csv,8,0.2,31,-1,-1,-1,30
yacht.csv,8,0.5,31,-1,-1,-1,30
yacht.csv,9,0.0001,31,-1,-1,-1,30
yacht.csv,9,0.0002,31,-1,-1,-1,30
yacht.csv,9,0.0005,31,-1,-1,-1,30
yacht.csv,9,0.001,31,-1,-1,-1,30
yacht.csv,9,0.002,31,-1,-1,-1,30
yacht.csv,9,0.003,31,-1,-1,-1,30
yacht.csv,9,0.004,31,-1,-1,-1,30
yacht.csv,9,0.005,31,-1,-1,-1,30
yacht.csv,9,0.006,31,-1,-1,-1,30
yacht.csv,9,0.007,31,-1,-1,-1,30
yacht.csv,9,0.008,31,-1,-1,-1,30
yacht.csv,9,0.009000000000000001,31,-1,-1,-1,30
yacht.csv,9,0.01,31,-1,-1,-1,30
yacht.csv,9,0.035,31,-1,-1,-1,30
yacht.csv,9,0.060000000000000005,31,-1,-1,-1,30
yacht.csv,9,0.085,31,-1,-1,-1,30
yacht.csv,9,0.1,31,-1,-1,-1,30
yacht.csv,9,0.2,31,-1,-1,-1,30
yacht.csv,9,0.5,31,-1,-1,-1,30
yacht.csv,10,0.0001,31,-1,-1,-1,30
yacht.csv,10,0.0002,31,-1,-1,-1,30
yacht.csv,10,0.0005,31,-1,-1,-1,30
yacht.csv,10,0.001,31,-1,-1,-1,30
yacht.csv,10,0.002,31,-1,-1,-1,30
yacht.csv,10,0.003,31,-1,-1,-1,30
yacht.csv,10,0.004,31,-1,-1,-1,30
yacht.csv,10,0.005,31,-1,-1,-1,30
yacht.csv,10,0.006,31,-1,-1,-1,30
yacht.csv,10,0.007,31,-1,-1,-1,30
yacht.csv,10,0.008,31,-1,-1,-1,30
