dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
yacht.csv,2,0.0001,0.001,64.2502,4,1,30
yacht.csv,2,0.0002,0.001,64.2502,4,1,30
yacht.csv,2,0.0005,0.001,64.2502,4,1,30
yacht.csv,2,0.001,0.001,64.2502,4,1,30
yacht.csv,2,0.002,0.001,64.2502,4,1,30
yacht.csv,2,0.003,0.0,64.7509,3,1,30
yacht.csv,2,0.004,0.0,64.7509,3,1,30
yacht.csv,2,0.005,0.0,64.7509,3,1,30
yacht.csv,2,0.006,0.001,64.7509,3,1,30
yacht.csv,2,0.007,0.0,64.7509,3,1,30
yacht.csv,2,0.008,0.001,64.7509,3,1,30
yacht.csv,2,0.009000000000000001,0.001,64.7509,3,1,30
yacht.csv,2,0.01,0.001,64.7509,3,1,30
yacht.csv,2,0.035,0.001,68.0875,2,1,30
yacht.csv,2,0.060000000000000005,0.001,68.0875,2,1,30
yacht.csv,2,0.085,0.001,68.0875,2,1,30
yacht.csv,2,0.1,0.001,68.0875,2,1,30
yacht.csv,2,0.2,0.001,68.0875,2,1,30
yacht.csv,2,0.5,0.001,68.0875,2,1,30
yacht.csv,3,0.0001,0.004,63.5886,8,70,30
yacht.csv,3,0.0002,0.003,63.6252,7,70,30
yacht.csv,3,0.0005,0.004,63.6252,7,70,30
yacht.csv,3,0.001,0.003,63.9725,5,70,30
yacht.csv,3,0.002,0.004,64.2502,4,70,30
yacht.csv,3,0.003,0.003,64.7509,3,70,30
yacht.csv,3,0.004,0.004,64.7509,3,70,30
yacht.csv,3,0.005,0.004,64.7509,3,70,30
yacht.csv,3,0.006,0.004,64.7509,3,70,30
yacht.csv,3,0.007,0.004,64.7509,3,70,30
yacht.csv,3,0.008,0.004,64.7509,3,70,30
yacht.csv,3,0.009000000000000001,0.004,64.7509,3,70,30
yacht.csv,3,0.01,0.003,64.7509,3,70,30
yacht.csv,3,0.035,0.004,68.0875,2,70,30
yacht.csv,3,0.060000000000000005,0.004,68.0875,2,70,30
yacht.csv,3,0.085,0.004,68.0875,2,70,30
yacht.csv,3,0.1,0.004,68.0875,2,69,30
yacht.csv,3,0.2,0.004,68.0875,2,69,30
yacht.csv,3,0.5,0.003,68.0875,2,63,30
yacht.csv,4,0.0001,0.068,63.0023,12,1913,30
yacht.csv,4,0.0002,0.068,63.039,11,1913,30
yacht.csv,4,0.0005,0.068,63.1766,9,1915,30
yacht.csv,4,0.001,0.068,63.9725,5,1917,30
yacht.csv,4,0.002,0.067,64.2502,4,1917,30
yacht.csv,4,0.003,0.068,64.7509,3,1916,30
yacht.csv,4,0.004,0.068,64.7509,3,1916,30
yacht.csv,4,0.005,0.068,64.7509,3,1909,30
yacht.csv,4,0.006,0.069,64.7509,3,1901,30
yacht.csv,4,0.007,0.069,64.7509,3,1888,30
yacht.csv,4,0.008,0.067,64.7509,3,1877,30
yacht.csv,4,0.009000000000000001,0.068,64.7509,3,1860,30
yacht.csv,4,0.01,0.067,64.7509,3,1840,30
yacht.csv,4,0.035,0.062,68.0875,2,1612,30
yacht.csv,4,0.060000000000000005,0.058,68.0875,2,1431,30
yacht.csv,4,0.085,0.057,68.0875,2,1378,30
yacht.csv,4,0.1,0.055,68.0875,2,1337,30
yacht.csv,4,0.2,0.05,68.0875,2,1147,30
yacht.csv,4,0.5,0.009,68.0875,2,0,30
yacht.csv,5,0.0001,0.953,62.6754,17,29905,30
yacht.csv,5,0.0002,0.947,62.7939,13,29862,30
yacht.csv,5,0.0005,0.953,63.1766,9,29902,30
yacht.csv,5,0.001,0.952,63.9725,5,29946,30
yacht.csv,5,0.002,0.953,64.2502,4,29757,30
yacht.csv,5,0.003,0.928,64.7509,3,28448,30
yacht.csv,5,0.004,0.896,64.7509,3,26641,30
yacht.csv,5,0.005,0.889,64.7509,3,25635,30
yacht.csv,5,0.006,0.888,64.7509,3,25237,30
yacht.csv,5,0.007,0.886,64.7509,3,24748,30
yacht.csv,5,0.008,0.869,64.7509,3,24374,30
yacht.csv,5,0.009000000000000001,0.86,64.7509,3,24021,30
yacht.csv,5,0.01,0.86,64.7509,3,23851,30
