method,timeout,depth,train_data,test_data,complexity_penalty,time,train_r2,test_r2,leaves,terminal_calls
cart,60,2,airfoil_train_0,airfoil_test_0,0.0,0.22983574867248535,0.4061499720009055,0.3497400965258929,4,-1
cart,60,2,airfoil_train_1,airfoil_test_1,0.0,0.27586793899536133,0.3909917720304654,0.38641386772106623,4,-1
cart,60,2,airfoil_train_2,airfoil_test_2,0.0,0.18300461769104004,0.39444881004655363,0.3906941698577123,4,-1
cart,60,2,airfoil_train_3,airfoil_test_3,0.0,0.19155216217041016,0.39671328319554877,0.3576949505744592,4,-1
cart,60,2,airfoil_train_4,airfoil_test_4,0.0,0.2748990058898926,0.3956045751391798,0.35040856697921485,4,-1
cart,60,2,auction_train_0,auction_test_0,0.0,0.21513962745666504,0.7277867581485977,0.7442530606956235,4,-1
cart,60,2,auction_train_1,auction_test_1,0.0,0.22829389572143555,0.73535441392871,0.7143069693933664,4,-1
cart,60,2,auction_train_2,auction_test_2,0.0,0.1598358154296875,0.7305455057907866,0.7332619864986166,4,-1
cart,60,2,auction_train_3,auction_test_3,0.0,0.1853783130645752,0.7361205106289378,0.7109590765975127,4,-1
cart,60,2,auction_train_4,auction_test_4,0.0,0.20827341079711914,0.7325006630428925,0.725595773743656,4,-1
cart,60,2,auto_mpg_train_0,auto_mpg_test_0,0.0,0.27309536933898926,0.735659499959215,0.7023232849398715,4,-1
cart,60,2,auto_mpg_train_1,auto_mpg_test_1,0.0,0.1836235523223877,0.7266766717021814,0.7101508704046672,4,-1
cart,60,2,auto_mpg_train_2,auto_mpg_test_2,0.0,0.1948378086090088,0.740648120141451,0.6973020642470231,4,-1
cart,60,2,auto_mpg_train_3,auto_mpg_test_3,0.0,0.2885122299194336,0.729902893144466,0.6695510866598975,4,-1
cart,60,2,auto_mpg_train_4,auto_mpg_test_4,0.0,0.2801191806793213,0.7485426770070935,0.5634988363678777,4,-1
cart,60,2,enb-cool_train_0,enb-cool_test_0,0.0,0.18149733543395996,0.8845300175651829,0.8889416480549155,4,-1
cart,60,2,enb-cool_train_1,enb-cool_test_1,0.0,0.26375675201416016,0.8872451793177525,0.8763667647222663,4,-1
cart,60,2,enb-cool_train_2,enb-cool_test_2,0.0,0.1801149845123291,0.8843112925651297,0.8896756364313823,4,-1
cart,60,2,enb-cool_train_3,enb-cool_test_3,0.0,0.26347923278808594,0.8815161224005734,0.9007313067677643,4,-1
cart,60,2,enb-cool_train_4,enb-cool_test_4,0.0,0.1907179355621338,0.8867238848048826,0.8795499723921981,4,-1
cart,60,2,enb-heat_train_0,enb-heat_test_0,0.0,0.1928713321685791,0.8832465030513683,0.9085066191982154,4,-1
cart,60,2,enb-heat_train_1,enb-heat_test_1,0.0,0.28563666343688965,0.8888895529757144,0.8783070230920585,4,-1
cart,60,2,enb-heat_train_2,enb-heat_test_2,0.0,0.17792296409606934,0.8848034951026221,0.9017503448276347,4,-1
cart,60,2,enb-heat_train_3,enb-heat_test_3,0.0,0.28021836280822754,0.890512407353259,0.8786459376876508,4,-1
cart,60,2,enb-heat_train_4,enb-heat_test_4,0.0,0.16760659217834473,0.8835799212914628,0.9074294018146867,4,-1
cart,60,2,optical_train_0,optical_test_0,0.0,0.16801738739013672,0.9797710128914364,0.8325123949520521,3,-1
cart,60,2,optical_train_1,optical_test_1,0.0,0.2802896499633789,0.9569183582998908,0.9589585840702796,3,-1
cart,60,2,optical_train_2,optical_test_2,0.0,0.20145821571350098,0.9723983059998634,0.9319826526665245,3,-1
cart,60,2,optical_train_3,optical_test_3,0.0,0.23598289489746094,0.967171499590257,0.8249298799491015,3,-1
cart,60,2,optical_train_4,optical_test_4,0.0,0.2924308776855469,0.9688563016973821,0.802764999336044,3,-1
cart,60,2,real-estate_train_0,real-estate_test_0,0.0,0.17142033576965332,0.6122542435552869,0.6349167960528829,4,-1
cart,60,2,real-estate_train_1,real-estate_test_1,0.0,0.17707443237304688,0.6074148986477157,0.6824471823243137,4,-1
cart,60,2,real-estate_train_2,real-estate_test_2,0.0,0.16611766815185547,0.6213009990375955,0.5151094148663662,4,-1
cart,60,2,real-estate_train_3,real-estate_test_3,0.0,0.17404985427856445,0.6116561760138398,0.6693453211584288,4,-1
cart,60,2,real-estate_train_4,real-estate_test_4,0.0,0.23224592208862305,0.6682313218565004,0.4149743935125424,4,-1
cart,60,2,seoul-bike_train_0,seoul-bike_test_0,0.0,0.5475268363952637,0.4290779792814218,0.455173583173507,4,-1
cart,60,2,seoul-bike_train_1,seoul-bike_test_1,0.0,0.588054895401001,0.43151992487275237,0.4455937748690466,4,-1
cart,60,2,seoul-bike_train_2,seoul-bike_test_2,0.0,0.49886059761047363,0.4384643402596655,0.4315888007036124,4,-1
cart,60,2,seoul-bike_train_3,seoul-bike_test_3,0.0,0.540656566619873,0.43115463025858436,0.4359626250633175,4,-1
cart,60,2,seoul-bike_train_4,seoul-bike_test_4,0.0,0.516754150390625,0.43238118997669905,0.44387861809675233,4,-1
cart,60,2,servo_train_0,servo_test_0,0.0,0.1508467197418213,0.7098148788997272,0.48357887864403637,3,-1
cart,60,2,servo_train_1,servo_test_1,0.0,0.1816256046295166,0.6724427603180592,0.44798671563643,3,-1
cart,60,2,servo_train_2,servo_test_2,0.0,0.39267516136169434,0.6182316572830862,0.47989504847132536,2,-1
cart,60,2,servo_train_3,servo_test_3,0.0,0.22530603408813477,0.590842539178412,0.5965460606054633,2,-1
cart,60,2,servo_train_4,servo_test_4,0.0,0.16460394859313965,0.6332622602388012,0.7331408848365605,3,-1
cart,60,2,sync_train_0,sync_test_0,0.0,0.16144466400146484,0.9262255613615231,0.9207711379476902,4,-1
cart,60,2,sync_train_1,sync_test_1,0.0,0.1796581745147705,0.9253105812292091,0.9239081819290096,4,-1
cart,60,2,sync_train_2,sync_test_2,0.0,0.17057228088378906,0.9245555286571954,0.9268307825973404,4,-1
cart,60,2,sync_train_3,sync_test_3,0.0,0.16516423225402832,0.9257283155920175,0.9223722186191491,4,-1
cart,60,2,sync_train_4,sync_test_4,0.0,0.27239060401916504,0.9255071619571148,0.9233251503047221,4,-1
cart,60,2,yacht_train_0,yacht_test_0,0.0,0.2309563159942627,0.948937163973712,0.9560177056992955,4,-1
cart,60,2,yacht_train_1,yacht_test_1,0.0,0.19896435737609863,0.9572919992993222,0.9603555787366727,4,-1
cart,60,2,yacht_train_2,yacht_test_2,0.0,0.19851279258728027,0.9481973317042405,0.9606522379173466,4,-1
cart,60,2,yacht_train_3,yacht_test_3,0.0,0.29280757904052734,0.9603677846906206,0.9462012041235007,4,-1
cart,60,2,yacht_train_4,yacht_test_4,0.0,0.1692337989807129,0.9566753750062447,0.961782372370147,4,-1
guide,60,2,airfoil_train_0,airfoil_test_0,0.0,0.4537,0.4061500781768681,0.349740194134177,4,-1
guide,60,2,airfoil_train_1,airfoil_test_1,0.0,0.4495,0.39099174410779947,0.3864138115163329,4,-1
guide,60,2,airfoil_train_2,airfoil_test_2,0.0,0.4531,0.39444875726869855,0.3906940943762206,4,-1
guide,60,2,airfoil_train_3,airfoil_test_3,0.0,0.4368,0.3967133211576106,0.35769486329275957,4,-1
guide,60,2,airfoil_train_4,airfoil_test_4,0.0,0.4474,0.3956045121041938,0.3504085182421883,4,-1
guide,60,2,auction_train_0,auction_test_0,0.0,0.4602,0.7274513146462886,0.7373906670808652,4,-1
guide,60,2,auction_train_1,auction_test_1,0.0,0.479,0.7324439272131453,0.717611243690599,4,-1
guide,60,2,auction_train_2,auction_test_2,0.0,0.471,0.7293751833385056,0.7296984194957883,4,-1
guide,60,2,auction_train_3,auction_test_3,0.0,0.4521,0.7339356100493613,0.7113672825336466,4,-1
guide,60,2,auction_train_4,auction_test_4,0.0,0.4583,0.7308424625934988,0.7239181413411433,4,-1
guide,60,2,auto_mpg_train_0,auto_mpg_test_0,0.0,0.1817,0.7261354947873083,0.7110818928264114,4,-1
guide,60,2,auto_mpg_train_1,auto_mpg_test_1,0.0,0.177,0.7215904823804073,0.7146555755298456,4,-1
guide,60,2,auto_mpg_train_2,auto_mpg_test_2,0.0,0.1929,0.7248205485334238,0.7292562517384711,4,-1
guide,60,2,auto_mpg_train_3,auto_mpg_test_3,0.0,0.1748,0.7253803719583561,0.7297393678646412,4,-1
guide,60,2,auto_mpg_train_4,auto_mpg_test_4,0.0,0.1767,0.7359252893236806,0.6106383970790962,4,-1
guide,60,2,enb-cool_train_0,enb-cool_test_0,0.0,0.257,0.8773420093378413,0.8793605689798325,3,-1
guide,60,2,enb-cool_train_1,enb-cool_test_1,0.0,0.2627,0.8795512006375426,0.8704645885380575,3,-1
guide,60,2,enb-cool_train_2,enb-cool_test_2,0.0,0.254,0.8767412343176125,0.8816701100059234,3,-1
guide,60,2,enb-cool_train_3,enb-cool_test_3,0.0,0.257,0.8730261314171772,0.8965011817879066,3,-1
guide,60,2,enb-cool_train_4,enb-cool_test_4,0.0,0.2669,0.8777440806935344,0.877486164495958,3,-1
guide,60,2,enb-heat_train_0,enb-heat_test_0,0.0,0.2486,0.8715004725063038,0.89188293927495,3,-1
guide,60,2,enb-heat_train_1,enb-heat_test_1,0.0,0.2577,0.8767266634573819,0.8706205631530622,3,-1
guide,60,2,enb-heat_train_2,enb-heat_test_2,0.0,0.256,0.872096366729823,0.8890629871451424,3,-1
guide,60,2,enb-heat_train_3,enb-heat_test_3,0.0,0.2502,0.8769552869062787,0.8694822911410222,3,-1
