method,timeout,depth,train_data,test_data,complexity_penalty,time,train_r2,test_r2,leaves,terminal_calls
cart,900,2,airfoil_train_0,airfoil_test_0,0.0,0.23160052299499512,0.4061499720009055,0.3497400965258932,4,-1
cart,900,3,airfoil_train_0,airfoil_test_0,0.0,0.25682544708251953,0.4958276682999889,0.44526256401388054,8,-1
cart,900,4,airfoil_train_0,airfoil_test_0,0.0,0.23562240600585938,0.6026422728599801,0.5537323498883249,16,-1
cart,900,2,airfoil_train_1,airfoil_test_1,0.0,0.3104569911956787,0.3909917720304653,0.3864138677210659,4,-1
cart,900,3,airfoil_train_1,airfoil_test_1,0.0,0.302264928817749,0.4838491185895344,0.44208689908552357,8,-1
cart,900,4,airfoil_train_1,airfoil_test_1,0.0,0.24477410316467285,0.5653920117146092,0.5154220641354235,16,-1
cart,900,2,airfoil_train_2,airfoil_test_2,0.0,0.2284383773803711,0.39444881004655363,0.3906941698577123,4,-1
cart,900,3,airfoil_train_2,airfoil_test_2,0.0,0.2789607048034668,0.500144355963554,0.4400625625281621,8,-1
cart,900,4,airfoil_train_2,airfoil_test_2,0.0,0.26225900650024414,0.6039005976169668,0.546992791238332,16,-1
cart,900,2,airfoil_train_3,airfoil_test_3,0.0,0.43492913246154785,0.39671328319554877,0.35769495057445777,4,-1
cart,900,3,airfoil_train_3,airfoil_test_3,0.0,0.27246809005737305,0.483413856543767,0.428564473628987,8,-1
cart,900,4,airfoil_train_3,airfoil_test_3,0.0,0.26236510276794434,0.5785624092248407,0.5187910602915593,16,-1
cart,900,2,airfoil_train_4,airfoil_test_4,0.0,0.25391674041748047,0.3956045751391797,0.3504085669792152,4,-1
cart,900,3,airfoil_train_4,airfoil_test_4,0.0,0.28508806228637695,0.504361310276537,0.4113279145324529,8,-1
cart,900,4,airfoil_train_4,airfoil_test_4,0.0,0.32676267623901367,0.6163150209941516,0.5238419546389155,16,-1
cart,900,5,airfoil_train_0,airfoil_test_0,0.0,0.34043145179748535,0.6737625140092802,0.5959384686174107,32,-1
cart,900,5,airfoil_train_1,airfoil_test_1,0.0,0.2586817741394043,0.6599722244853163,0.5723525492603196,29,-1
cart,900,5,airfoil_train_2,airfoil_test_2,0.0,0.2139890193939209,0.6890818451234548,0.6319603530634569,32,-1
