method,timeout,depth,train_data,test_data,complexity_penalty,time,train_r2,test_r2,leaves,terminal_calls
dtip,900,5,airfoil_train_0,airfoil_test_0,0.0,940.7568740844727,0.4446507919889575,0.35753959969504623,32,-1
dtip,900,5,airfoil_train_1,airfoil_test_1,0.0,940.786910533905,0.2609988533041314,0.23010793409736563,32,-1
dtip,900,5,airfoil_train_2,airfoil_test_2,0.0,940.6824827194214,0.28559464330060025,0.2697501711290682,32,-1
dtip,900,5,airfoil_train_3,airfoil_test_3,0.0,937.8655099868774,0.39968547902697016,0.3624497813200036,32,-1
dtip,900,5,airfoil_train_4,airfoil_test_4,0.0,940.9388294219971,0.6314213453023395,0.5569918632655718,32,-1
dtip,900,5,auction_train_0,auction_test_0,0.0,958.889764547348,0.0058760701935881565,0.045600894314387186,32,-1
dtip,900,5,auction_train_1,auction_test_1,0.0,963.7838184833527,0.25722998682561427,0.21603070098532162,32,-1
dtip,900,5,auction_train_2,auction_test_2,0.0,965.5832846164703,-0.09324611428792418,-0.10567333839333215,32,-1
dtip,900,5,auction_train_3,auction_test_3,0.0,958.7266535758972,0.4215566225629792,0.35675310447919106,32,-1
dtip,900,5,auction_train_4,auction_test_4,0.0,959.3806617259979,0.11091417662969971,0.03350287961232823,32,-1
dtip,900,5,auto_mpg_train_0,auto_mpg_test_0,0.0,912.4103851318359,0.929226714524797,0.7751941874879558,32,-1
dtip,900,5,auto_mpg_train_1,auto_mpg_test_1,0.0,912.3792543411255,0.9090422898307704,0.7639432359573942,32,-1
dtip,900,5,auto_mpg_train_2,auto_mpg_test_2,0.0,912.4773526191711,0.9185933955161845,0.7017777068001156,32,-1
dtip,900,5,auto_mpg_train_3,auto_mpg_test_3,0.0,912.3567614555359,0.9030650187456124,0.7279095263734856,32,-1
dtip,900,5,auto_mpg_train_4,auto_mpg_test_4,0.0,912.9234426021576,0.9072683629138774,0.8183611962427005,32,-1
dtip,900,5,enb-cool_train_0,enb-cool_test_0,0.0,924.0085759162903,0.9371437152960429,0.9227588550438763,32,-1
dtip,900,5,enb-cool_train_1,enb-cool_test_1,0.0,925.6790556907654,0.9479366864990982,0.929079414467664,32,-1
dtip,900,5,enb-cool_train_2,enb-cool_test_2,0.0,923.6878769397736,0.9402320300837436,0.9160435354761479,32,-1
dtip,900,5,enb-cool_train_3,enb-cool_test_3,0.0,925.6783430576324,0.9405892809443043,0.9279507358916999,32,-1
dtip,900,5,enb-cool_train_4,enb-cool_test_4,0.0,925.89897108078,0.9384828908746619,0.9174772620332488,32,-1
dtip,900,5,enb-heat_train_0,enb-heat_test_0,0.0,925.4347968101501,0.9931732642125736,0.9905928689972794,32,-1
dtip,900,5,enb-heat_train_1,enb-heat_test_1,0.0,925.633627653122,0.9663133464089707,0.9650936554125309,32,-1
