method,timeout,depth,train_data,test_data,complexity_penalty,time,train_r2,test_r2,leaves,terminal_calls
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size100,household_size100,0.0001,0.058903,0.992816327,0.992816327,16,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size100,household_size100,0.0001,0.053212,0.992816327,0.992816327,16,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size100,household_size100,0.0001,0.056983,0.992816327,0.992816327,16,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size100,household_size100,0.0001,0.05772,0.992816327,0.992816327,16,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size100,household_size100,0.0001,0.053565,0.992816327,0.992816327,16,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size1000,household_size1000,0.0001,0.12226,0.985334168,0.985334168,16,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size1000,household_size1000,0.0001,0.135003,0.985334168,0.985334168,16,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size1000,household_size1000,0.0001,0.12368,0.985334168,0.985334168,16,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size1000,household_size1000,0.0001,0.135159,0.985334168,0.985334168,16,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size1000,household_size1000,0.0001,0.121769,0.985334168,0.985334168,16,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size10000,household_size10000,0.0001,0.242745,0.984939179,0.984939179,15,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size10000,household_size10000,0.0001,0.243965,0.984939179,0.984939179,15,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size10000,household_size10000,0.0001,0.24222,0.984939179,0.984939179,15,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size10000,household_size10000,0.0001,0.242443,0.984939179,0.984939179,15,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size10000,household_size10000,0.0001,0.219966,0.984939179,0.984939179,15,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size100000,household_size100000,0.0001,0.507796,0.984370558,0.984370558,15,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size100000,household_size100000,0.0001,0.605223,0.984370558,0.984370558,15,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size100000,household_size100000,0.0001,0.605592,0.984370558,0.984370558,15,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size100000,household_size100000,0.0001,0.608018,0.984370558,0.984370558,15,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size100000,household_size100000,0.0001,0.595207,0.984370558,0.984370558,15,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size1000000,household_size1000000,0.0001,4.66802,0.984240697,0.984240697,14,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size1000000,household_size1000000,0.0001,4.67495,0.984240697,0.984240697,14,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size1000000,household_size1000000,0.0001,5.58828,0.984240697,0.984240697,14,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,4,household_size1000000,household_size1000000,0.0001,4.6745,0.984240697,0.984240697,14,0
