method,timeout,depth,train_data,test_data,complexity_penalty,time,train_r2,test_r2,leaves,terminal_calls
dtip,1000,1,airfoil,airfoil,0.0,25.377828359603882,0.02908895986608706,0.02908895986608706,2,-1
dtip,1000,1,airfoil,airfoil,0.0,27.19921875,0.02908895986608706,0.02908895986608706,2,-1
dtip,1000,1,airfoil,airfoil,0.0,26.24801993370056,0.02908895986608706,0.02908895986608706,2,-1
dtip,1000,1,airfoil,airfoil,0.0,24.51596164703369,0.02908895986608706,0.02908895986608706,2,-1
dtip,1000,1,airfoil,airfoil,0.0,24.112666845321655,0.02908895986608706,0.02908895986608706,2,-1
dtip,1000,10,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,10,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,10,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,10,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,10,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,2,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,2,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,2,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,2,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,2,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,3,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,3,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,3,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,3,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,3,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,4,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,4,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,4,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,4,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,4,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,5,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,5,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,5,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,5,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,5,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,6,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,6,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,6,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,6,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,6,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,7,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,7,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,7,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,7,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,7,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,8,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,8,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,8,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,8,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,8,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,9,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,9,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,9,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,9,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,9,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,1,auction,auction,0.0,17.037118196487427,0.1359795394967025,0.1359795394967025,2,-1
dtip,1000,1,auction,auction,0.0,17.39556384086609,0.1359795394967025,0.1359795394967025,2,-1
dtip,1000,1,auction,auction,0.0,18.760087728500366,0.1359795394967025,0.1359795394967025,2,-1
dtip,1000,1,auction,auction,0.0,16.720720052719116,0.1359795394967025,0.1359795394967025,2,-1
dtip,1000,1,auction,auction,0.0,18.904041051864624,0.1359795394967025,0.1359795394967025,2,-1
dtip,1000,10,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,10,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,10,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,10,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,10,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,2,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,2,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,2,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,2,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,2,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,3,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,3,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,3,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,3,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,3,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,4,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,4,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,4,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,4,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,4,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,5,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,5,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,5,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,5,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,5,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,6,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,6,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,6,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,6,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,6,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,7,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,7,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,7,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,7,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,7,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,8,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,8,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,8,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,8,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,8,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,9,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,9,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,9,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,9,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,9,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,1,auto_mpg,auto_mpg,0.0,3.328470468521118,0.419205516900644,0.419205516900644,2,-1
dtip,1000,1,auto_mpg,auto_mpg,0.0,3.87435245513916,0.419205516900644,0.419205516900644,2,-1
dtip,1000,1,auto_mpg,auto_mpg,0.0,4.175603866577148,0.419205516900644,0.419205516900644,2,-1
dtip,1000,1,auto_mpg,auto_mpg,0.0,3.5163350105285645,0.419205516900644,0.419205516900644,2,-1
dtip,1000,1,auto_mpg,auto_mpg,0.0,3.836801052093506,0.419205516900644,0.419205516900644,2,-1
dtip,1000,10,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,10,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,10,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,10,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,10,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,2,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,2,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,2,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,2,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,2,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,3,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,3,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,3,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,3,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,3,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,4,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,4,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,4,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,4,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,4,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,5,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,5,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,5,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,5,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,5,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,6,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,6,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,6,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,6,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,6,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,7,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,7,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,7,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,7,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,7,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,8,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,8,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,8,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,8,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,8,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,9,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,9,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,9,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,9,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,9,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,1,enb-cool,enb-cool,0.0,5.078701496124268,0.8013493983519065,0.8013493983519065,2,-1
dtip,1000,1,enb-cool,enb-cool,0.0,4.461179494857788,0.8013493983519065,0.8013493983519065,2,-1
dtip,1000,1,enb-cool,enb-cool,0.0,4.529135704040527,0.8013493983519065,0.8013493983519065,2,-1
dtip,1000,1,enb-cool,enb-cool,0.0,5.3321733474731445,0.8013493983519065,0.8013493983519065,2,-1
