method,timeout,depth,train_data,test_data,complexity_penalty,time,train_r2,test_r2,leaves,terminal_calls
cart,900,5,airfoil_train_0,airfoil_test_0,0,0.002943277,0.673762514,0.595938469,32,-1
cart,900,5,airfoil_train_1,airfoil_test_1,0,0.00280261,0.661019721,0.573397581,32,-1
cart,900,5,airfoil_train_2,airfoil_test_2,0,0.003211737,0.689081845,0.631960353,32,-1
cart,900,5,airfoil_train_3,airfoil_test_3,0,0.002733707,0.681234107,0.638757195,32,-1
cart,900,5,airfoil_train_4,airfoil_test_4,0,0.003386259,0.709174635,0.623033761,32,-1
cart,900,5,auction_train_0,auction_test_0,0,0.002977371,0.961307025,0.962154303,32,-1
cart,900,5,auction_train_1,auction_test_1,0,0.00302434,0.961227263,0.961719687,32,-1
cart,900,5,auction_train_2,auction_test_2,0,0.002839327,0.960328319,0.966081668,32,-1
cart,900,5,auction_train_3,auction_test_3,0,0.002920389,0.932207748,0.881211803,32,-1
cart,900,5,auction_train_4,auction_test_4,0,0.002868891,0.960563108,0.962548805,32,-1
cart,900,5,auto_mpg_train_0,auto_mpg_test_0,0,0.002710342,0.92971937,0.838309659,32,-1
cart,900,5,auto_mpg_train_1,auto_mpg_test_1,0,0.002911329,0.917360632,0.744383231,30,-1
cart,900,5,auto_mpg_train_2,auto_mpg_test_2,0,0.002773523,0.933430567,0.801031737,30,-1
cart,900,5,auto_mpg_train_3,auto_mpg_test_3,0,0.004640579,0.936049513,0.774179281,32,-1
cart,900,5,auto_mpg_train_4,auto_mpg_test_4,0,0.002744675,0.935391568,0.790667493,32,-1
cart,900,5,enb-cool_train_0,enb-cool_test_0,0,0.002538681,0.96525021,0.9597772,32,-1
cart,900,5,enb-cool_train_1,enb-cool_test_1,0,0.00245285,0.964203172,0.962466015,32,-1
cart,900,5,enb-cool_train_2,enb-cool_test_2,0,0.002971888,0.965533321,0.955512153,32,-1
cart,900,5,enb-cool_train_3,enb-cool_test_3,0,0.002467155,0.963923248,0.96270797,32,-1
cart,900,5,enb-cool_train_4,enb-cool_test_4,0,0.021375895,0.966005527,0.95345248,32,-1
cart,900,5,enb-heat_train_0,enb-heat_test_0,0,0.002526283,0.990374142,0.989495283,32,-1
cart,900,5,enb-heat_train_1,enb-heat_test_1,0,0.002339602,0.990025581,0.986972757,32,-1
cart,900,5,enb-heat_train_2,enb-heat_test_2,0,0.002373219,0.990666065,0.989304323,32,-1
cart,900,5,enb-heat_train_3,enb-heat_test_3,0,0.002267122,0.990093983,0.991735019,32,-1
