method,timeout,depth,train_data,test_data,complexity_penalty,time,train_r2,test_r2,leaves,terminal_calls
streed_pwsl,900,4,airfoil_train_0,airfoil_test_0,0,23.1486,0.785391106,0.662977736,15,1087
streed_pwsl,900,4,airfoil_train_1,airfoil_test_1,0,19.56,0.808447611,0.708894505,16,942
streed_pwsl,900,4,airfoil_train_2,airfoil_test_2,0,18.125,0.800435267,0.769384255,16,908
streed_pwsl,900,4,airfoil_train_3,airfoil_test_3,0,37.3001,0.79417131,0.726098397,15,1363
streed_pwsl,900,4,airfoil_train_4,airfoil_test_4,0,31.2491,0.796669538,0.737390278,16,1256
streed_pwsl,900,4,auction_train_0,auction_test_0,0,7.52728,0.960844235,0.962127345,12,386
streed_pwsl,900,4,auction_train_1,auction_test_1,0,4.9932,0.961434868,0.963650133,12,321
streed_pwsl,900,4,auction_train_2,auction_test_2,0,7.21182,0.960506714,0.967159801,12,407
streed_pwsl,900,4,auction_train_3,auction_test_3,0,6.55752,0.962009882,0.957265526,12,382
streed_pwsl,900,4,auction_train_4,auction_test_4,0,6.97188,0.962210117,0.960538712,12,409
streed_pwsl,900,4,auto_mpg_train_0,auto_mpg_test_0,0,13.5706,0.910603454,0.815933691,16,1192
streed_pwsl,900,4,auto_mpg_train_1,auto_mpg_test_1,0,7.80457,0.91875612,0.842692461,9,965
streed_pwsl,900,4,auto_mpg_train_2,auto_mpg_test_2,0,13.5833,0.885190647,0.822427557,15,1114
streed_pwsl,900,4,auto_mpg_train_3,auto_mpg_test_3,0,12.5935,0.907944336,0.821659282,7,1089
streed_pwsl,900,4,auto_mpg_train_4,auto_mpg_test_4,0,8.79604,0.909464161,0.873592017,8,969
streed_pwsl,900,4,enb-cool_train_0,enb-cool_test_0,0,15.3841,0.976964264,0.958230553,13,640
streed_pwsl,900,4,enb-cool_train_1,enb-cool_test_1,0,14.6691,0.976792391,0.975369463,16,624
streed_pwsl,900,4,enb-cool_train_2,enb-cool_test_2,0,12.4206,0.963532194,0.957518412,6,535
streed_pwsl,900,4,enb-cool_train_3,enb-cool_test_3,0,15.1512,0.977772107,0.976383001,16,648
streed_pwsl,900,4,enb-cool_train_4,enb-cool_test_4,0,12.6468,0.978053141,0.973601592,16,603
streed_pwsl,900,4,enb-heat_train_0,enb-heat_test_0,0,8.9261,0.997678917,0.997477384,15,477
streed_pwsl,900,4,enb-heat_train_1,enb-heat_test_1,0,10.1651,0.997722967,0.997294993,16,505
streed_pwsl,900,4,enb-heat_train_2,enb-heat_test_2,0,8.83769,0.997805404,0.996963927,15,480
streed_pwsl,900,4,enb-heat_train_3,enb-heat_test_3,0,10.5616,0.997689474,0.997482313,16,500
streed_pwsl,900,4,enb-heat_train_4,enb-heat_test_4,0,8.83227,0.997635914,0.997694256,16,459
streed_pwsl,900,4,optical_train_0,optical_test_0,0,13.2766,0.944996177,0.941963688,2,76
streed_pwsl,900,4,optical_train_1,optical_test_1,0,14.2618,0.980663611,0.937431722,5,522
streed_pwsl,900,4,optical_train_2,optical_test_2,0,19.3155,0.980860188,0.988765198,5,744
streed_pwsl,900,4,optical_train_3,optical_test_3,0,13.3797,0.805908597,0.95762946,4,388
streed_pwsl,900,4,optical_train_4,optical_test_4,0,17.9727,0.987064494,0.996027354,4,566
streed_pwsl,900,4,real-estate_train_0,real-estate_test_0,0,13.2702,0.603981222,0.603847639,2,580
streed_pwsl,900,4,real-estate_train_1,real-estate_test_1,0,31.4014,0.694155591,0.634414734,3,1276
streed_pwsl,900,4,real-estate_train_2,real-estate_test_2,0,20.6766,0.755484221,0.646263912,14,1260
streed_pwsl,900,4,real-estate_train_3,real-estate_test_3,0,36.4791,0.574847334,0.630647973,2,1066
streed_pwsl,900,4,real-estate_train_4,real-estate_test_4,0,17.4704,0.725695384,0.49118865,6,1147
streed_pwsl,900,4,seoul-bike_train_0,seoul-bike_test_0,0,901,-1,-1,-1,-1
streed_pwsl,900,4,seoul-bike_train_1,seoul-bike_test_1,0,670.387,0.784275367,0.733423348,14,3066
streed_pwsl,900,4,seoul-bike_train_2,seoul-bike_test_2,0,901,-1,-1,-1,-1
streed_pwsl,900,4,seoul-bike_train_3,seoul-bike_test_3,0,901,-1,-1,-1,-1
streed_pwsl,900,4,seoul-bike_train_4,seoul-bike_test_4,0,818.659,0.773410661,0.730230924,16,3335
streed_pwsl,900,4,servo_train_0,servo_test_0,0,0.647028,0.887901626,0.237636686,4,137
streed_pwsl,900,4,servo_train_1,servo_test_1,0,0.71219,0.631804068,0.472336557,2,153
