method,timeout,depth,train_data,test_data,complexity_penalty,time,train_r2,test_r2,leaves,terminal_calls
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.0001,0.003349,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.0001,0.004202,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.0001,0.003103,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.0001,0.003268,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.0001,0.003306,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.0005,0.003238,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.0005,0.003289,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.0005,0.003374,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.0005,0.003556,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.0005,0.00324,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.001,0.003329,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.001,0.003273,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.001,0.003463,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.001,0.003224,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.001,0.003374,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.0025,0.003219,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.0025,0.003396,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.0025,0.003248,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.0025,0.003694,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.0025,0.003431,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.005,0.003336,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.005,0.004219,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.005,0.003308,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.005,0.003503,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.005,0.003579,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.0075,0.003363,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.0075,0.003354,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.0075,0.00326,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.0075,0.003348,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.0075,0.003316,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.01,0.003188,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.01,0.003405,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.01,0.00327,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.01,0.003249,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.01,0.003652,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.025,0.003399,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.025,0.003211,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.025,0.003268,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.025,0.003397,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.025,0.003974,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.05,0.003378,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.05,0.003417,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.05,0.003375,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.05,0.003274,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.05,0.003316,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.1,0.003351,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.1,0.003958,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.1,0.003314,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.1,0.003311,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,1,airfoil,airfoil,0.1,0.003504,0.1608137888175083,0.16081378881657005,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.0001,0.020911,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.0001,0.021112,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.0001,0.020797,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.0001,0.02046,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.0001,0.020906,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.0005,0.020684,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.0005,0.020999,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.0005,0.020983,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.0005,0.021588,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.0005,0.020994,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.001,0.0246,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.001,0.020991,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.001,0.020921,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.001,0.020836,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.001,0.020723,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.0025,0.020886,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.0025,0.020764,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.0025,0.021262,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.0025,0.021042,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.0025,0.021155,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.005,0.020799,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.005,0.021011,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.005,0.021019,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.005,0.021965,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.005,0.022326,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.0075,0.020318,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.0075,0.021054,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.0075,0.020783,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.0075,0.021179,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.0075,0.020778,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.01,0.020865,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.01,0.020887,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.01,0.021886,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.01,0.022024,0.39857226197215967,0.39857226197152784,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,2,airfoil,airfoil,0.01,0.020825,0.39857226197215967,0.39857226197152784,4,0
