method,timeout,depth,train_data,test_data,complexity_penalty,time,train_r2,test_r2,leaves,terminal_calls
ort_lTrue_metricMAE,1000,10,sync,sync,0.0001,1083.2200801372528,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.0001,1172.1968622207642,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.0001,1100.9683365821838,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.0001,1196.1853847503662,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.0001,1067.7628421783447,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.0005,1198.7929954528809,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.0005,1142.9195535182953,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.0005,1252.8186914920807,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.0005,1233.5223712921143,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.0005,1072.6875009536743,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.001,1068.9994642734528,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.001,1060.462093114853,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.001,1145.2446584701538,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.001,1227.15722322464,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.001,1089.8658819198608,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.0025,1063.9435150623322,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.0025,1116.5109059810638,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.0025,1164.4389474391937,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.0025,1261.277095079422,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.0025,1065.772792339325,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.005,1074.6510837078094,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.005,1150.1231763362885,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.005,1140.4240679740906,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.005,1086.0868747234344,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.005,1172.44358253479,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.0075,1157.662605047226,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.0075,1209.650274515152,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.0075,1067.5608282089233,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.0075,1203.9835240840912,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.0075,1064.6598675251007,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.01,1147.6471560001373,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.01,1073.0470051765442,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.01,1194.2655091285706,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.01,1067.6481668949127,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.01,1067.634978055954,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.025,1180.9708375930786,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.025,1090.2309865951538,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.025,1260.2830967903137,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.025,1082.4930219650269,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.025,1087.25945186615,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.05,1186.3810226917267,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.05,1111.4657378196716,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.05,1215.3060460090637,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.05,1210.8402507305145,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.05,1207.343495130539,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.1,1142.9916472434998,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.1,1184.290390253067,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.1,1085.3253514766693,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.1,1064.9990074634552,1.0,-1.4322384847296243,1024,-1
ort_lTrue_metricMAE,1000,10,sync,sync,0.1,1261.6117296218872,1.0,-1.4322384847296243,1024,-1
osrt,1000,10,airfoil,airfoil,0.005,1001,-1,-1,-1,-1
osrt,1000,10,airfoil,airfoil,0.005,1001,-1,-1,-1,-1
osrt,1000,10,airfoil,airfoil,0.005,1001,-1,-1,-1,-1
osrt,1000,10,airfoil,airfoil,0.005,1001,-1,-1,-1,-1
osrt,1000,10,airfoil,airfoil,0.005,1001,-1,-1,-1,-1
osrt,1000,10,airfoil,airfoil,0.0075,919.546,0.7022264961477965,0.7022264961477965,19,-1
osrt,1000,10,airfoil,airfoil,0.0075,889.83,0.7022264961477965,0.7022264961477965,19,-1
osrt,1000,10,airfoil,airfoil,0.0075,1001,-1,-1,-1,-1
osrt,1000,10,airfoil,airfoil,0.0075,1001,-1,-1,-1,-1
osrt,1000,10,airfoil,airfoil,0.0075,890.06,0.7022264961477965,0.7022264961477965,19,-1
osrt,1000,10,airfoil,airfoil,0.01,729.126,0.6841465992277345,0.6841465992277345,17,-1
osrt,1000,10,airfoil,airfoil,0.01,890.641,0.6841465992277345,0.6841465992277345,17,-1
osrt,1000,10,airfoil,airfoil,0.01,778.18,0.6841465992277345,0.6841465992277345,17,-1
osrt,1000,10,airfoil,airfoil,0.01,924.938,0.6841465992277345,0.6841465992277345,17,-1
osrt,1000,10,airfoil,airfoil,0.01,786.074,0.6841465992277345,0.6841465992277345,17,-1
osrt,1000,10,airfoil,airfoil,0.025,359.213,0.5530248113234983,0.5530248113234983,8,-1
osrt,1000,10,airfoil,airfoil,0.025,333.421,0.5530248113234983,0.5530248113234983,8,-1
osrt,1000,10,airfoil,airfoil,0.025,333.18,0.5530248113234983,0.5530248113234983,8,-1
osrt,1000,10,airfoil,airfoil,0.025,394.822,0.5530248113234983,0.5530248113234983,8,-1
osrt,1000,10,airfoil,airfoil,0.025,335.162,0.5530248113234983,0.5530248113234983,8,-1
osrt,1000,10,airfoil,airfoil,0.05,70.325,0.3530631203726565,0.3530631203726565,3,-1
osrt,1000,10,airfoil,airfoil,0.05,58.968,0.3530631203726565,0.3530631203726565,3,-1
osrt,1000,10,airfoil,airfoil,0.05,59.075,0.3530631203726565,0.3530631203726565,3,-1
osrt,1000,10,airfoil,airfoil,0.05,64.552,0.3530631203726565,0.3530631203726565,3,-1
