method,timeout,depth,train_data,test_data,complexity_penalty,time,train_r2,test_r2,leaves,terminal_calls
dtip,1000,10,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,10,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,10,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,10,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,10,airfoil,airfoil,0.0,1001,-1,-1,-1,-1
dtip,1000,10,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,10,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,10,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,10,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,10,auction,auction,0.0,1001,-1,-1,-1,-1
dtip,1000,10,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,10,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,10,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,10,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,10,auto_mpg,auto_mpg,0.0,1001,-1,-1,-1,-1
dtip,1000,10,enb-cool,enb-cool,0.0,1001,-1,-1,-1,-1
dtip,1000,10,enb-cool,enb-cool,0.0,1001,-1,-1,-1,-1
dtip,1000,10,enb-cool,enb-cool,0.0,1001,-1,-1,-1,-1
dtip,1000,10,enb-cool,enb-cool,0.0,1001,-1,-1,-1,-1
dtip,1000,10,enb-cool,enb-cool,0.0,1001,-1,-1,-1,-1
dtip,1000,10,enb-heat,enb-heat,0.0,1001,-1,-1,-1,-1
dtip,1000,10,enb-heat,enb-heat,0.0,1001,-1,-1,-1,-1
dtip,1000,10,enb-heat,enb-heat,0.0,1001,-1,-1,-1,-1
dtip,1000,10,enb-heat,enb-heat,0.0,1001,-1,-1,-1,-1
dtip,1000,10,enb-heat,enb-heat,0.0,1001,-1,-1,-1,-1
dtip,1000,10,optical,optical,0.0,1001,-1,-1,-1,-1
dtip,1000,10,optical,optical,0.0,1001,-1,-1,-1,-1
dtip,1000,10,optical,optical,0.0,1001,-1,-1,-1,-1
dtip,1000,10,optical,optical,0.0,1001,-1,-1,-1,-1
dtip,1000,10,optical,optical,0.0,1001,-1,-1,-1,-1
dtip,1000,10,real-estate,real-estate,0.0,1001,-1,-1,-1,-1
dtip,1000,10,real-estate,real-estate,0.0,1001,-1,-1,-1,-1
dtip,1000,10,real-estate,real-estate,0.0,1001,-1,-1,-1,-1
dtip,1000,10,real-estate,real-estate,0.0,1001,-1,-1,-1,-1
dtip,1000,10,real-estate,real-estate,0.0,1001,-1,-1,-1,-1
dtip,1000,10,seoul-bike,seoul-bike,0.0,1001,-1,-1,-1,-1
dtip,1000,10,seoul-bike,seoul-bike,0.0,1001,-1,-1,-1,-1
dtip,1000,10,seoul-bike,seoul-bike,0.0,1001,-1,-1,-1,-1
dtip,1000,10,seoul-bike,seoul-bike,0.0,1001,-1,-1,-1,-1
dtip,1000,10,seoul-bike,seoul-bike,0.0,1001,-1,-1,-1,-1
dtip,1000,10,servo,servo,0.0,1001,-1,-1,-1,-1
dtip,1000,10,servo,servo,0.0,1001,-1,-1,-1,-1
dtip,1000,10,servo,servo,0.0,1001,-1,-1,-1,-1
dtip,1000,10,servo,servo,0.0,1001,-1,-1,-1,-1
dtip,1000,10,servo,servo,0.0,1001,-1,-1,-1,-1
dtip,1000,10,sync,sync,0.0,1001,-1,-1,-1,-1
