method,depth,train_data,complexity_penalty,timeout,test_data,time,train_r2,test_r2,leaves,terminal_calls
osrt,5,airfoil,0.0001,1000,airfoil,37.182,0.747317381,0.747317381,32,-1
osrt,5,airfoil,0.001,1000,airfoil,32.629,0.747317381,0.747317381,32,-1
osrt,5,airfoil,0.01,1000,airfoil,22.496,0.659953418,0.659953418,15,-1
osrt,5,airfoil,0.1,1000,airfoil,1.812,0.35306312,0.35306312,3,-1
osrt,5,auction,0.0001,1000,auction,30.482,0.972790972,0.972790972,20,-1
osrt,5,auction,0.001,1000,auction,25.093,0.971426135,0.971426135,16,-1
osrt,5,auction,0.01,1000,auction,20.658,0.930223109,0.930223109,8,-1
osrt,5,auction,0.1,1000,auction,3.787,0.854121535,0.854121535,4,-1
osrt,5,auto_mpg,0.0001,1000,auto_mpg,118.03,0.930756769,0.930756769,32,-1
osrt,5,auto_mpg,0.001,1000,auto_mpg,90.832,0.930005734,0.930005734,31,-1
osrt,5,auto_mpg,0.01,1000,auto_mpg,50.281,0.838631297,0.838631297,7,-1
osrt,5,auto_mpg,0.1,1000,auto_mpg,0.146,0.690938776,0.690938776,3,-1
osrt,5,enb-cool,0.0001,1000,enb-cool,35.007,0.975604758,0.975604758,32,-1
osrt,5,enb-cool,0.001,1000,enb-cool,26.583,0.969784108,0.969784108,24,-1
osrt,5,enb-cool,0.01,1000,enb-cool,7.952,0.896626073,0.896626073,4,-1
osrt,5,enb-cool,0.1,1000,enb-cool,0.007,0.802431069,0.802431069,2,-1
osrt,5,enb-heat,0.0001,1000,enb-heat,33.719,0.996843105,0.996843105,32,-1
osrt,5,enb-heat,0.001,1000,enb-heat,23.234,0.993631113,0.993631113,24,-1
osrt,5,enb-heat,0.01,1000,enb-heat,8.249,0.934772083,0.934772083,6,-1
osrt,5,enb-heat,0.1,1000,enb-heat,0.007,0.791086551,0.791086551,2,-1
osrt,5,optical,0.0001,1000,optical,20.819,0.999994838,0.999994838,10,-1
osrt,5,optical,0.001,1000,optical,15.149,0.998647134,0.998647134,7,-1
osrt,5,optical,0.01,1000,optical,12.204,0.987754836,0.987754836,4,-1
osrt,5,optical,0.1,1000,optical,0.024,0.959097293,0.959097293,3,-1
osrt,5,real-estate,0.0001,1000,real-estate,266.734,0.877937179,0.877937179,32,-1
osrt,5,real-estate,0.001,1000,real-estate,228.141,0.877937179,0.877937179,32,-1
osrt,5,real-estate,0.01,1000,real-estate,170.844,0.771751002,0.771751002,10,-1
osrt,5,real-estate,0.1,1000,real-estate,0.12,0.49297523,0.49297523,2,-1
osrt,5,seoul-bike,0.0001,1000,seoul-bike,1001.0,-1.0,-1.0,-1,-1
osrt,5,seoul-bike,0.001,1000,seoul-bike,1001.0,-1.0,-1.0,-1,-1
osrt,5,seoul-bike,0.01,1000,seoul-bike,1001.0,-1.0,-1.0,-1,-1
osrt,5,seoul-bike,0.1,1000,seoul-bike,1001.0,-1.0,-1.0,-1,-1
osrt,5,servo,0.0001,1000,servo,1.862,0.987525457,0.987525457,30,-1
osrt,5,servo,0.001,1000,servo,1.132,0.983364401,0.983364401,18,-1
osrt,5,servo,0.01,1000,servo,0.861,0.957763495,0.957763495,10,-1
osrt,5,servo,0.1,1000,servo,0.028,0.694627348,0.694627348,3,-1
osrt,5,sync,0.0001,1000,sync,2.611,0.99002335,0.99002335,22,-1
osrt,5,sync,0.001,1000,sync,2.281,0.987290947,0.987290947,11,-1
osrt,5,sync,0.01,1000,sync,1.241,0.964080445,0.964080445,6,-1
osrt,5,sync,0.1,1000,sync,0.005,0.873866241,0.873866241,3,-1
osrt,5,yacht,0.0001,1000,yacht,428.822,0.998483913,0.998483913,27,-1
osrt,5,yacht,0.001,1000,yacht,284.873,0.993452532,0.993452532,10,-1
osrt,5,yacht,0.01,1000,yacht,98.392,0.977140083,0.977140083,5,-1
osrt,5,yacht,0.1,1000,yacht,0.011,0.911807465,0.911807465,3,-1
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,airfoil,0.0001,1000,airfoil,19.5799,0.747317380861476,0.7473173808616668,32,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,airfoil,0.001,1000,airfoil,24.2766,0.747317380861476,0.7473173808616668,32,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,airfoil,0.01,1000,airfoil,24.3712,0.6599534178192925,0.6599534178191884,15,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,airfoil,0.1,1000,airfoil,8.22801,0.3530631207815848,0.3530631207810571,3,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,auction,0.0001,1000,auction,5.60273,0.9727909721772908,0.9727909721772912,20,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,auction,0.001,1000,auction,7.28101,0.9714261356928564,0.9714261356928569,16,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,auction,0.01,1000,auction,10.2557,0.9302231093184627,0.9302231093184608,8,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,auction,0.1,1000,auction,0.558803,0.8541215351512084,0.8541215351512069,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,auto_mpg,0.0001,1000,auto_mpg,37.076,0.9307567689871732,0.9307567689871734,32,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,auto_mpg,0.001,1000,auto_mpg,42.3199,0.9300057341141073,0.9300057341141073,31,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,auto_mpg,0.01,1000,auto_mpg,35.6304,0.8386312970860546,0.8386312970860544,7,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,auto_mpg,0.1,1000,auto_mpg,2.16333,0.6909387762311829,0.6909387762311807,3,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,enb-cool,0.0001,1000,enb-cool,17.7956,0.9756047582634936,0.9756047582634936,32,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,enb-cool,0.001,1000,enb-cool,24.9324,0.9697841077440597,0.9697841077440584,24,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,enb-cool,0.01,1000,enb-cool,15.1712,0.8966260727439682,0.8966260727439783,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,enb-cool,0.1,1000,enb-cool,0.03277,0.8024310688076812,0.8024310688076921,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,enb-heat,0.0001,1000,enb-heat,4.1433,0.9968431049384696,0.9968431049384692,32,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,enb-heat,0.001,1000,enb-heat,13.2505,0.9936311125640404,0.9936311125640394,24,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,enb-heat,0.01,1000,enb-heat,12.4296,0.9347720831215964,0.9347720831216006,6,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,enb-heat,0.1,1000,enb-heat,0.042635,0.7910865510662002,0.791086551066186,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,optical,0.0001,1000,optical,2.66685,0.9999948376753924,0.9999948376753924,10,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,optical,0.001,1000,optical,5.78391,0.9986471340156254,0.9986471340156254,7,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,optical,0.01,1000,optical,4.85054,0.9877548356075356,0.9877548356075356,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,optical,0.1,1000,optical,0.389672,0.9590972926078478,0.959097292607848,3,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,real-estate,0.0001,1000,real-estate,129.032,0.8779371786785941,0.8779371786785946,32,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,real-estate,0.001,1000,real-estate,131.5,0.8779371786785941,0.8779371786785946,32,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,real-estate,0.01,1000,real-estate,126.115,0.7717510021616741,0.7717510021616764,10,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,real-estate,0.1,1000,real-estate,16.5289,0.4929752304735941,0.4929752304735973,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,seoul-bike,0.0001,1000,seoul-bike,1001.0,-1.0,-1.0,-1,-1
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,seoul-bike,0.001,1000,seoul-bike,1001.0,-1.0,-1.0,-1,-1
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,seoul-bike,0.01,1000,seoul-bike,1001.0,-1.0,-1.0,-1,-1
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,seoul-bike,0.1,1000,seoul-bike,1001.0,-1.0,-1.0,-1,-1
