method,timeout,depth,train_data,test_data,complexity_penalty,time,train_r2,test_r2,leaves,terminal_calls
osrt,1000,9,airfoil,airfoil,0.0001,1001,-1,-1,-1,-1
osrt,1000,9,airfoil,airfoil,0.001,1001,-1,-1,-1,-1
osrt,1000,9,airfoil,airfoil,0.01,559.727,0.684146599,0.684146599,17,-1
osrt,1000,9,airfoil,airfoil,0.1,1.729,0.35306312,0.35306312,3,-1
osrt,1000,9,auction,auction,0.0001,1001,-1,-1,-1,-1
osrt,1000,9,auction,auction,0.001,1001,-1,-1,-1,-1
osrt,1000,9,auction,auction,0.01,482.842,0.930223109,0.930223109,8,-1
osrt,1000,9,auction,auction,0.1,4.178,0.854121535,0.854121535,4,-1
osrt,1000,9,auto_mpg,auto_mpg,0.0001,1001,-1,-1,-1,-1
osrt,1000,9,auto_mpg,auto_mpg,0.001,1001,-1,-1,-1,-1
osrt,1000,9,auto_mpg,auto_mpg,0.01,1001,-1,-1,-1,-1
osrt,1000,9,auto_mpg,auto_mpg,0.1,0.133,0.690938776,0.690938776,3,-1
osrt,1000,9,enb-cool,enb-cool,0.0001,1001,-1,-1,-1,-1
osrt,1000,9,enb-cool,enb-cool,0.001,1001,-1,-1,-1,-1
osrt,1000,9,enb-cool,enb-cool,0.01,41.415,0.896626073,0.896626073,4,-1
osrt,1000,9,enb-cool,enb-cool,0.1,0.007,0.802431069,0.802431069,2,-1
osrt,1000,9,enb-heat,enb-heat,0.0001,1001,-1,-1,-1,-1
osrt,1000,9,enb-heat,enb-heat,0.001,1001,-1,-1,-1,-1
osrt,1000,9,enb-heat,enb-heat,0.01,59.797,0.934772083,0.934772083,6,-1
osrt,1000,9,enb-heat,enb-heat,0.1,0.007,0.791086551,0.791086551,2,-1
osrt,1000,9,optical,optical,0.0001,113.83,0.999994838,0.999994838,10,-1
osrt,1000,9,optical,optical,0.001,106.901,0.998647134,0.998647134,7,-1
osrt,1000,9,optical,optical,0.01,49.581,0.987754836,0.987754836,4,-1
osrt,1000,9,optical,optical,0.1,0.024,0.959097293,0.959097293,3,-1
osrt,1000,9,real-estate,real-estate,0.0001,1001,-1,-1,-1,-1
osrt,1000,9,real-estate,real-estate,0.001,1001,-1,-1,-1,-1
osrt,1000,9,real-estate,real-estate,0.01,1001,-1,-1,-1,-1
osrt,1000,9,real-estate,real-estate,0.1,0.12,0.49297523,0.49297523,2,-1
osrt,1000,9,seoul-bike,seoul-bike,0.0001,1001,-1,-1,-1,-1
osrt,1000,9,seoul-bike,seoul-bike,0.001,1001,-1,-1,-1,-1
osrt,1000,9,seoul-bike,seoul-bike,0.01,1001,-1,-1,-1,-1
osrt,1000,9,seoul-bike,seoul-bike,0.1,1001,-1,-1,-1,-1
osrt,1000,9,servo,servo,0.0001,63.368,0.997878667,0.997878667,49,-1
osrt,1000,9,servo,servo,0.001,27.01,0.987769535,0.987769535,20,-1
osrt,1000,9,servo,servo,0.01,16.238,0.948951217,0.948951217,9,-1
osrt,1000,9,servo,servo,0.1,0.028,0.694627348,0.694627348,3,-1
osrt,1000,9,sync,sync,0.0001,19.738,0.990732431,0.990732431,28,-1
osrt,1000,9,sync,sync,0.001,14.486,0.987290947,0.987290947,11,-1
osrt,1000,9,sync,sync,0.01,5.581,0.964080445,0.964080445,6,-1
osrt,1000,9,sync,sync,0.1,0.005,0.873866241,0.873866241,3,-1
osrt,1000,9,yacht,yacht,0.0001,1001,-1,-1,-1,-1
osrt,1000,9,yacht,yacht,0.001,1001,-1,-1,-1,-1
osrt,1000,9,yacht,yacht,0.01,1001,-1,-1,-1,-1
osrt,1000,9,yacht,yacht,0.1,0.011,0.911807465,0.911807465,3,-1
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,9,airfoil,airfoil,0.1,434.255,0.353063121,0.353063121,3,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,9,auction,auction,0.1,0.684574,0.854121535,0.854121535,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,9,auto_mpg,auto_mpg,0.1,2.20813,0.690938776,0.690938776,3,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,9,enb-cool,enb-cool,0.1,0.031043,0.802431069,0.802431069,2,0
