method,timeout,depth,train_data,test_data,complexity_penalty,time,train_r2,test_r2,leaves,terminal_calls
iai,1000,1,airfoil,airfoil,0.0001,0.10417366,0.160813789,0.160813789,2,-1
iai,1000,1,airfoil,airfoil,0.001,0.121957064,0.160813789,0.160813789,2,-1
iai,1000,1,airfoil,airfoil,0.01,0.135963917,0.160813789,0.160813789,2,-1
iai,1000,1,airfoil,airfoil,0.1,0.120005608,0.160813789,0.160813789,2,-1
iai,1000,1,auction,auction,0.0001,0.169996262,0.334927923,0.334927923,2,-1
iai,1000,1,auction,auction,0.001,0.228000164,0.334927923,0.334927923,2,-1
iai,1000,1,auction,auction,0.01,0.147453785,0.334927923,0.334927923,2,-1
iai,1000,1,auction,auction,0.1,0.168010473,0.334927923,0.334927923,2,-1
iai,1000,1,auto_mpg,auto_mpg,0.0001,0.067967415,0.580331134,0.580331134,2,-1
iai,1000,1,auto_mpg,auto_mpg,0.001,0.060973406,0.580331134,0.580331134,2,-1
iai,1000,1,auto_mpg,auto_mpg,0.01,0.066973686,0.580331134,0.580331134,2,-1
iai,1000,1,auto_mpg,auto_mpg,0.1,0.063329935,0.580331134,0.580331134,2,-1
iai,1000,1,enb-cool,enb-cool,0.0001,0.095970631,0.802431069,0.802431069,2,-1
iai,1000,1,enb-cool,enb-cool,0.001,0.124997616,0.802431069,0.802431069,2,-1
iai,1000,1,enb-cool,enb-cool,0.01,0.076973915,0.802431069,0.802431069,2,-1
iai,1000,1,enb-cool,enb-cool,0.1,0.096997738,0.802431069,0.802431069,2,-1
iai,1000,1,enb-heat,enb-heat,0.0001,0.087913752,0.791086551,0.791086551,2,-1
iai,1000,1,enb-heat,enb-heat,0.001,0.089532375,0.791086551,0.791086551,2,-1
iai,1000,1,enb-heat,enb-heat,0.01,0.093975544,0.791086551,0.791086551,2,-1
iai,1000,1,enb-heat,enb-heat,0.1,0.09099865,0.791086551,0.791086551,2,-1
iai,1000,1,optical,optical,0.0001,0.106996298,0.827428523,0.827428523,2,-1
iai,1000,1,optical,optical,0.001,0.188005447,0.827428523,0.827428523,2,-1
iai,1000,1,optical,optical,0.01,0.111954689,0.827428523,0.827428523,2,-1
iai,1000,1,optical,optical,0.1,0.10441947,0.827428523,0.827428523,2,-1
